Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 683335, -0.942749, -0.184937, -0.266479, 0.244141, 0.732422, 0.793457,falling
A, 1069790, -0.987793, 0.140991, 0.091064, 0.915528, -1.586915, 0.610352,falling
B, 683355, -0.941162, -0.178711, -0.269287, 0.183106, 0.915528, 0.976563,falling
A, 1069810, -0.991211, 0.123047, 0.089111, 0.854492, -1.525879, 0.915528,falling
B, 683375, -0.942749, -0.171143, -0.266479, -0.915528, 0.976563, 0.854492,falling
A, 1069830, -0.992188, 0.116699, 0.089722, -0.244141, -1.464844, 1.525879,falling
B, 683395, -0.941895, -0.175293, -0.267456, -0.061035, 1.342773, 1.342773,falling
A, 1069850, -0.990234, 0.126343, 0.093750, 0.976563, -1.708985, 2.014160,falling
B, 683415, -0.940430, -0.188477, -0.266113, 1.220703, 1.953125, 2.075195,falling
A, 1069870, -0.991455, 0.121582, 0.095093, 2.258301, -1.770020, 2.136230,falling
B, 683435, -0.942627, -0.197754, -0.255615, 0.976563, 2.075195, 2.136230,falling
A, 1069890, -0.993774, 0.106689, 0.079712, 1.403809, -1.647950, 2.502441,falling
B, 683455, -0.945068, -0.195923, -0.242065, -0.427246, 2.197266, 2.075195,falling
A, 1069910, -0.995850, 0.090210, 0.082397, -0.427246, -1.525879, 2.990724,falling
B, 683475, -0.943237, -0.203857, -0.248291, -2.258301, 2.441406, 2.136230,falling
A, 1069930, -1.000122, 0.072754, 0.092651, -1.037598, -1.464844, 3.417970,falling
B, 683495, -0.943726, -0.204712, -0.245483, -2.258301, 2.868653, 2.563477,falling
A, 1069950, -1.003418, 0.048462, 0.090454, -0.366211, -1.342773, 4.211426,falling
B, 683515, -0.942017, -0.213257, -0.246094, -1.281738, 3.784181, 3.662110,falling
A, 1069970, -1.009521, 0.019409, 0.056641, 1.159668, -1.647950, 4.882813,falling
B, 683535, -0.940918, -0.236572, -0.235962, -0.366211, 4.699707, 4.943848,falling
A, 1069990, -1.018066, -0.031494, 0.024292, 2.014160, -2.197266, 6.042482,falling
B, 683555, -0.939575, -0.267456, -0.218018, -2.075195, 5.187988, 5.798342,falling
A, 1070010, -1.029541, -0.094238, 0.009644, 0.061035, -2.197266, 7.568361,falling
B, 683575, -0.938232, -0.303345, -0.196411, -4.150391, 5.859377, 6.713869,falling
A, 1070030, -1.039917, -0.158813, -0.012573, -1.464844, -2.563477, 9.460449,falling
B, 683595, -0.938477, -0.341553, -0.174194, -6.713869, 6.652834, 8.056641,falling
