Device,timestamp,ax,ay,az,gx,gy,gz,activity
A, 1669631, -0.991821, 0.154541, 0.068115, 0.061035, 0.061035, 0.366211,falling
B, 224795, -0.925537, 0.018066, -0.371338, 1.647950, 0.488281, 0.061035,falling
A, 1669651, -0.991577, 0.138550, 0.067993, 5.310059, -0.732422, -0.427246,falling
B, 224815, -0.930176, -0.001343, -0.356323, 6.042482, 0.488281, 1.647950,falling
A, 1669671, -0.997559, 0.113159, 0.097046, 7.202150, -0.793457, -0.305176,falling
B, 224835, -0.924561, 0.007080, -0.374023, 6.042482, 1.098633, 1.342773,falling
A, 1669691, -0.998291, 0.111206, 0.102661, 4.760742, 0.610352, 0.366211,falling
B, 224855, -0.922607, 0.033813, -0.375000, 2.380371, 1.892090, -0.305176,falling
A, 1669711, -0.994995, 0.125366, 0.084717, 1.525879, 1.647950, 1.037598,falling
B, 224875, -0.930420, 0.021484, -0.358276, 1.281738, 2.319336, -0.915528,falling
A, 1669731, -0.989990, 0.143555, 0.068115, 1.586915, 1.525879, 1.098633,falling
B, 224895, -0.934326, -0.005371, -0.347778, 6.164553, 2.502441, 1.098633,falling
A, 1669751, -0.994263, 0.121094, 0.103027, 7.385256, 0.854492, 0.244141,falling
B, 224915, -0.930420, -0.013062, -0.365845, 9.155273, 3.234864, 1.892090,falling
A, 1669771, -0.998291, 0.100220, 0.132813, 12.329105, 1.953125, 0.122070,falling
B, 224935, -0.929443, 0.025146, -0.365356, 11.474613, 3.906251, 2.624512,falling
A, 1669791, -0.997314, 0.096558, 0.113281, 14.953617, 2.014160, 0.610352,falling
B, 224955, -0.931641, 0.053833, -0.352417, 14.282230, 4.211426, 3.784181,falling
A, 1669811, -0.994751, 0.099731, 0.108276, 20.568848, 1.220703, 0.732422,falling
B, 224975, -0.925171, 0.037109, -0.361816, 25.756844, 4.821777, 8.239746,falling
A, 1669831, -0.993530, 0.093506, 0.139282, 30.151375, 0.305176, 0.915528,falling
B, 224995, -0.933716, 0.013916, -0.355347, 32.104492, 5.432129, 10.498047,falling
A, 1669851, -0.996338, 0.084229, 0.163086, 34.118652, 0.915528, 0.610352,falling
B, 225015, -0.954224, -0.004272, -0.300781, 34.179688, 6.469728, 11.291508,falling
A, 1669871, -0.993530, 0.062622, 0.163208, 37.170410, 1.342773, 0.244141,falling
B, 225035, -0.951172, -0.014771, -0.307251, 38.085938, 7.263186, 12.451176,falling
A, 1669891, -1.001831, 0.028442, 0.185303, 42.724609, 1.464844, 0.061035,falling
B, 225055, -0.932373, 0.015015, -0.350708, 41.870117, 8.361816, 13.488773,falling
A, 1669911, -1.001099, 0.018066, 0.189941, 45.715347, 2.685547, 1.220703,falling
B, 225075, -0.934448, 0.038696, -0.344604, 40.710449, 9.826660, 12.695316,falling
