Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 772335, -0.922729, -0.253906, -0.276245, -0.610352, 0.976563, -0.183106,falling
A, 1158790, -0.979858, 0.199463, 0.114990, 0.122070, -0.488281, 1.281738,falling
B, 772355, -0.919189, -0.243286, -0.293579, 0.671387, 1.525879, 0.305176,falling
A, 1158810, -0.980713, 0.199707, 0.103638, 1.342773, -0.488281, 0.976563,falling
B, 772375, -0.914185, -0.246338, -0.304688, 1.037598, 1.892090, 0.427246,falling
A, 1158830, -0.986206, 0.181152, 0.085571, 1.831055, -0.488281, 1.037598,falling
B, 772395, -0.912842, -0.243286, -0.310547, -0.671387, 1.220703, -0.244141,falling
A, 1158850, -0.983643, 0.192993, 0.060425, -0.305176, -0.244141, 1.953125,falling
B, 772415, -0.914307, -0.234131, -0.314087, -1.098633, 1.037598, -0.427246,falling
A, 1158870, -0.977051, 0.221680, 0.074707, -0.793457, -0.366211, 2.136230,falling
B, 772435, -0.912964, -0.234741, -0.315430, -0.549316, 1.159668, -0.122070,falling
A, 1158890, -0.970459, 0.247192, 0.083618, 0.793457, -0.610352, 1.647950,falling
B, 772455, -0.911011, -0.249756, -0.307007, 1.770020, 1.892090, 0.671387,falling
A, 1158910, -0.972900, 0.234863, 0.086914, 3.112794, -0.976563, 0.793457,falling
B, 772475, -0.916016, -0.258057, -0.286987, 1.159668, 1.464844, 0.183106,falling
A, 1158930, -0.979614, 0.207764, 0.081909, 1.586915, -0.488281, 0.488281,falling
B, 772495, -0.913818, -0.240112, -0.307373, -1.220703, 0.427246, -0.915528,falling
A, 1158950, -0.980347, 0.210205, 0.074341, -0.793457, -0.122070, 0.793457,falling
B, 772515, -0.911011, -0.222290, -0.330688, -1.098633, 0.488281, -0.915528,falling
A, 1158970, -0.976807, 0.224609, 0.085205, -0.854492, -0.122070, 0.915528,falling
B, 772535, -0.906006, -0.229248, -0.341431, 1.098633, 1.220703, 0.061035,falling
A, 1158990, -0.974731, 0.236328, 0.072021, 1.708985, -0.488281, 0.793457,falling
B, 772555, -0.905273, -0.247437, -0.323608, 3.662110, 1.892090, 0.976563,falling
A, 1159010, -0.976318, 0.227783, 0.052246, 3.356935, -1.159668, 0.671387,falling
B, 772575, -0.916748, -0.249878, -0.293701, 1.647950, 1.037598, 0.061035,falling
A, 1159030, -0.976440, 0.218994, 0.087158, -1.220703, -0.366211, 0.488281,falling
B, 772595, -0.922119, -0.245239, -0.278076, -1.770020, -0.183106, -1.403809,falling
A, 1159050, -0.973267, 0.228394, 0.123901, -1.525879, -0.122070, 0.000000,falling
B, 772615, -0.912476, -0.248657, -0.307861, 1.708985, 1.098633, -0.244141,falling
A, 1159070, -0.979004, 0.206787, 0.128662, 2.563477, -0.305176, -0.671387,falling
B, 772635, -0.915039, -0.243652, -0.306396, 2.746582, 1.647950, -0.061035,falling
A, 1159090, -0.990723, 0.162720, 0.093384, 3.356935, 0.061035, -0.488281,falling
B, 772655, -0.924438, -0.236084, -0.287231, 1.586915, 1.586915, -0.427246,falling
A, 1159110, -0.995605, 0.130737, 0.060791, 1.708985, -0.061035, 0.366211,falling
B, 772675, -0.927856, -0.239502, -0.274292, -0.244141, 1.342773, -0.854492,falling
A, 1159130, -0.997070, 0.127075, 0.102661, -0.732422, 0.061035, 1.342773,falling
B, 772695, -0.925781, -0.259277, -0.271118, 1.464844, 2.685547, 0.061035,falling
A, 1159150, -0.995117, 0.129883, 0.143188, 2.990724, -0.122070, 1.281738,falling
B, 772715, -0.929565, -0.265015, -0.253418, 7.446291, 4.943848, 2.014160,falling
A, 1159170, -0.998413, 0.107544, 0.163086, 10.803223, -1.098633, 1.098633,falling
B, 772735, -0.940186, -0.246094, -0.239868, 11.657719, 7.629396, 3.784181,falling
A, 1159190, -1.010620, 0.050659, 0.128906, 14.404301, -1.098633, 1.831055,falling
B, 772755, -0.943237, -0.252441, -0.229980, 11.047363, 8.728027, 4.028320,falling
A, 1159210, -1.021851, 0.004395, 0.138794, 13.854984, -0.915528, 2.746582,falling
B, 772775, -0.949341, -0.270264, -0.208374, 12.573246, 10.803223, 4.943848,falling
A, 1159230, -1.032471, -0.054565, 0.190552, 16.052246, -0.793457, 4.211426,falling
B, 772795, -0.958374, -0.275757, -0.173340, 12.634281, 12.451176, 5.126953,falling
A, 1159250, -1.037476, -0.103149, 0.253296, 17.089844, 0.061035, 6.042482,falling
B, 772815, -0.982300, -0.243164, -0.143311, 14.526371, 15.136723, 5.493164,falling
A, 1159270, -1.039307, -0.126953, 0.317871, 22.399910, 0.549316, 7.141115,falling
B, 772835, -0.994995, -0.229492, -0.114624, 21.423340, 20.202637, 8.361816,falling
A, 1159290, -1.044922, -0.196167, 0.374878, 30.273445, 0.610352, 8.850098,falling
B, 772855, -0.998657, -0.218628, -0.103760, 24.902351, 24.353035, 9.704590,falling
A, 1159310, -1.051880, -0.254761, 0.426025, 33.447266, 1.525879, 11.779789,falling
B, 772875, -0.987793, -0.219971, -0.123413, 24.108894, 29.052742, 8.728027,falling
A, 1159330, -1.046021, -0.251343, 0.414185, 34.057617, 4.333496, 15.319828,falling
B, 772895, -0.975098, -0.202026, -0.161377, 34.729004, 35.217285, 12.207035,falling
A, 1159350, -1.015503, -0.156860, 0.326416, 46.813980, 3.417970, 17.578125,falling
B, 772915, -0.953369, -0.214111, -0.205688, 45.654312, 41.442871, 16.662598,falling
A, 1159370, -0.991089, -0.070801, 0.214233, 63.537613, 2.075195, 19.592285,falling
B, 772935, -0.929810, -0.226318, -0.240845, 48.339859, 44.189453, 16.845703,falling
A, 1159390, -0.967285, -0.014771, 0.215820, 61.645523, 2.990724, 21.789551,falling
