Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 717535, -0.890259, -0.342896, -0.271729, -0.122070, -0.610352, -0.305176,falling
A, 1103990, -0.990723, 0.149902, 0.013916, 0.183106, -1.586915, -0.549316,falling
B, 717555, -0.890991, -0.345581, -0.265381, 0.427246, -0.366211, 0.061035,falling
A, 1104010, -0.994751, 0.134521, 0.010132, -0.366211, -1.586915, -0.488281,falling
B, 717575, -0.889771, -0.345459, -0.274048, -0.915528, -0.915528, -0.366211,falling
A, 1104030, -0.994629, 0.131958, 0.013184, -1.770020, -1.403809, 0.000000,falling
B, 717595, -0.894165, -0.329834, -0.277344, -1.464844, -0.976563, -0.427246,falling
A, 1104050, -0.992676, 0.143311, 0.021362, -1.525879, -1.342773, 0.183106,falling
B, 717615, -0.893433, -0.336426, -0.272217, 0.610352, -0.061035, 0.549316,falling
A, 1104070, -0.993896, 0.142822, 0.019653, 0.671387, -1.831055, 0.244141,falling
B, 717635, -0.889282, -0.350830, -0.265137, 0.854492, 0.061035, 0.671387,falling
A, 1104090, -0.995483, 0.134644, 0.020386, 0.793457, -1.831055, 0.366211,falling
B, 717655, -0.890625, -0.351318, -0.264771, -0.671387, -0.488281, 0.061035,falling
A, 1104110, -0.992676, 0.144775, 0.019043, -0.610352, -1.525879, 0.488281,falling
B, 717675, -0.890747, -0.343506, -0.270874, -0.915528, -0.549316, 0.122070,falling
A, 1104130, -0.990479, 0.152344, 0.015137, -0.793457, -1.464844, 0.305176,falling
B, 717695, -0.889893, -0.339600, -0.279297, -0.305176, -0.305176, 0.488281,falling
A, 1104150, -0.990845, 0.142944, 0.009888, 0.061035, -1.770020, 0.366211,falling
B, 717715, -0.893066, -0.338501, -0.272095, -0.244141, -0.122070, 0.610352,falling
A, 1104170, -0.993530, 0.132568, 0.017944, -0.305176, -1.831055, 0.549316,falling
B, 717735, -0.892822, -0.342041, -0.269287, -0.061035, -0.061035, 0.915528,falling
A, 1104190, -0.995117, 0.131958, 0.022461, 0.244141, -1.953125, 0.854492,falling
B, 717755, -0.891235, -0.342773, -0.272949, -0.366211, 0.000000, 0.793457,falling
A, 1104210, -0.996582, 0.132935, 0.034058, -0.183106, -1.708985, 1.098633,falling
B, 717775, -0.892944, -0.340942, -0.266602, -0.488281, 0.061035, 0.976563,falling
A, 1104230, -0.992920, 0.136475, 0.022339, 0.305176, -1.647950, 1.159668,falling
B, 717795, -0.892334, -0.345337, -0.266479, 0.610352, 0.610352, 1.525879,falling
A, 1104250, -0.992065, 0.135132, 0.010010, 1.281738, -2.075195, 1.159668,falling
B, 717815, -0.892334, -0.346191, -0.261475, 0.061035, 0.488281, 1.403809,falling
A, 1104270, -0.996338, 0.125977, 0.020386, 0.305176, -1.953125, 1.403809,falling
B, 717835, -0.892578, -0.342529, -0.266235, -0.732422, 0.244141, 1.281738,falling
A, 1104290, -0.995605, 0.130859, 0.027344, -0.122070, -1.831055, 1.647950,falling
B, 717855, -0.893433, -0.337769, -0.268921, -0.732422, 0.549316, 1.525879,falling
A, 1104310, -0.994873, 0.129028, 0.033447, 0.000000, -1.647950, 1.831055,falling
B, 717875, -0.896729, -0.333618, -0.267944, -1.037598, 0.610352, 1.525879,falling
A, 1104330, -0.994751, 0.135376, 0.025391, -0.183106, -1.586915, 2.197266,falling
B, 717895, -0.895874, -0.337158, -0.260864, -0.793457, 0.976563, 1.953125,falling
A, 1104350, -0.994019, 0.126343, 0.027344, 0.122070, -1.831055, 2.319336,falling
B, 717915, -0.894409, -0.348755, -0.256592, -0.915528, 1.098633, 2.136230,falling
A, 1104370, -0.998169, 0.112915, 0.032593, 0.244141, -1.831055, 2.502441,falling
B, 717935, -0.891846, -0.352783, -0.259033, -0.610352, 1.403809, 2.258301,falling
A, 1104390, -0.999268, 0.107178, 0.034180, 0.854492, -1.708985, 2.868653,falling
B, 717955, -0.891968, -0.350464, -0.262695, -0.793457, 1.708985, 2.563477,falling
A, 1104410, -1.000732, 0.096924, 0.021973, 0.610352, -1.525879, 3.112794,falling
B, 717975, -0.892090, -0.354858, -0.258057, -1.159668, 1.892090, 2.990724,falling
