Device,timestamp,ax,ay,az,gx,gy,gz,activity
A, 1570371, -0.978882, 0.236084, 0.025146, 5.004883, -0.549316, -1.892090,falling
B, 125535, -0.898071, 0.068481, -0.427246, 5.371094, -0.305176, -0.305176,falling
A, 1570391, -0.978760, 0.230835, 0.023438, 4.089355, -0.244141, -1.647950,falling
B, 125555, -0.902832, 0.068970, -0.418091, 4.394531, -0.122070, -0.854492,falling
A, 1570411, -0.977661, 0.233887, 0.021118, 3.601075, -0.183106, -1.525879,falling
B, 125575, -0.901245, 0.062500, -0.419556, 4.333496, -0.061035, -0.915528,falling
A, 1570431, -0.977905, 0.235107, 0.025635, 3.540040, 0.000000, -1.586915,falling
B, 125595, -0.901245, 0.056763, -0.421753, 4.455566, 0.061035, -1.037598,falling
A, 1570451, -0.977661, 0.236084, 0.031128, 3.906251, 0.244141, -1.770020,falling
B, 125615, -0.903198, 0.058472, -0.416870, 5.126953, 0.244141, -0.915528,falling
A, 1570471, -0.979126, 0.229858, 0.028198, 4.699707, 0.305176, -1.953125,falling
B, 125635, -0.903442, 0.059326, -0.416138, 5.371094, 0.366211, -0.915528,falling
A, 1570491, -0.981812, 0.218506, 0.025513, 4.211426, 0.549316, -1.831055,falling
B, 125655, -0.902710, 0.057739, -0.417480, 4.089355, 0.610352, -1.464844,falling
A, 1570511, -0.983154, 0.212769, 0.026245, 2.380371, 1.037598, -1.525879,falling
B, 125675, -0.902710, 0.060425, -0.417114, 2.624512, 0.793457, -2.075195,falling
A, 1570531, -0.979492, 0.229126, 0.028809, 2.197266, 1.281738, -1.464844,falling
B, 125695, -0.903564, 0.058594, -0.416016, 4.333496, 1.098633, -1.525879,falling
A, 1570551, -0.979492, 0.224854, 0.035034, 4.455566, 1.098633, -1.708985,falling
B, 125715, -0.903931, 0.047974, -0.416870, 5.859377, 1.220703, -1.037598,falling
A, 1570571, -0.983521, 0.207031, 0.035156, 5.126953, 1.403809, -1.770020,falling
B, 125735, -0.904053, 0.046143, -0.414795, 5.371094, 1.464844, -1.281738,falling
A, 1570591, -0.983154, 0.202881, 0.024658, 3.967286, 1.831055, -1.403809,falling
B, 125755, -0.905396, 0.052002, -0.411499, 4.089355, 1.831055, -1.831055,falling
A, 1570611, -0.981445, 0.208130, 0.020264, 2.624512, 2.136230, -1.159668,falling
B, 125775, -0.901245, 0.051758, -0.420776, 2.929688, 1.953125, -2.319336,falling
A, 1570631, -0.980469, 0.221313, 0.019897, 1.525879, 2.502441, -0.854492,falling
B, 125795, -0.897827, 0.047485, -0.430420, 2.258301, 2.197266, -2.685547,falling
A, 1570651, -0.977295, 0.235229, 0.012451, 1.464844, 2.807618, -1.037598,falling
B, 125815, -0.898315, 0.051270, -0.428345, 3.845216, 2.319336, -2.319336,falling
A, 1570671, -0.975464, 0.242798, 0.006470, 2.990724, 2.563477, -1.281738,falling
B, 125835, -0.894409, 0.048462, -0.436401, 3.967286, 2.319336, -2.380371,falling
A, 1570691, -0.977661, 0.238037, 0.001831, 2.685547, 2.929688, -1.525879,falling
B, 125855, -0.892212, 0.047607, -0.442261, 3.540040, 2.380371, -2.685547,falling
A, 1570711, -0.977905, 0.237061, -0.015381, 2.624512, 2.929688, -1.586915,falling
B, 125875, -0.891968, 0.050537, -0.440796, 3.723145, 2.319336, -2.685547,falling
A, 1570731, -0.979004, 0.231934, -0.020874, 2.929688, 2.807618, -1.708985,falling
B, 125895, -0.891479, 0.040649, -0.444946, 4.150391, 2.258301, -2.502441,falling
A, 1570751, -0.981323, 0.221191, -0.033447, 3.417970, 2.746582, -1.708985,falling
B, 125915, -0.888794, 0.027344, -0.453857, 4.638672, 2.197266, -2.319336,falling
A, 1570771, -0.983765, 0.210083, -0.050659, 4.394531, 2.502441, -1.770020,falling
B, 125935, -0.889160, 0.018433, -0.451660, 5.615236, 2.136230, -1.770020,falling
A, 1570791, -0.986450, 0.195068, -0.062378, 5.187988, 2.136230, -1.770020,falling
B, 125955, -0.891113, 0.007813, -0.447266, 5.920412, 1.953125, -1.281738,falling
A, 1570811, -0.990356, 0.174438, -0.059204, 5.004883, 1.831055, -1.525879,falling
B, 125975, -0.893555, -0.000977, -0.442261, 4.882813, 2.014160, -1.281738,falling
A, 1570831, -0.994507, 0.153076, -0.050781, 3.906251, 1.892090, -1.098633,falling
B, 125995, -0.895996, -0.013428, -0.439453, 4.272461, 2.075195, -1.037598,falling
A, 1570851, -0.997559, 0.132202, -0.056519, 3.540040, 1.831055, -0.549316,falling
B, 126015, -0.896118, -0.022461, -0.437134, 3.051759, 2.258301, -1.037598,falling
A, 1570871, -1.001343, 0.115967, -0.066895, -0.122070, 2.258301, 0.732422,falling
B, 126035, -0.896118, -0.033447, -0.440918, -0.610352, 2.441406, -1.831055,falling
A, 1570891, -0.998901, 0.131470, -0.113403, -3.540040, 2.563477, 1.403809,falling
B, 126055, -0.887695, -0.047363, -0.459229, -3.479005, 2.502441, -2.136230,falling
A, 1570911, -0.999390, 0.131592, -0.166016, -3.967286, 1.708985, 1.708985,falling
B, 126075, -0.877930, -0.067993, -0.481934, -5.371094, 2.075195, -1.586915,falling
A, 1570931, -1.003296, 0.118896, -0.186035, -6.408693, 1.159668, 2.441406,falling
B, 126095, -0.874878, -0.060669, -0.487061, -10.375977, 1.770020, -2.624512,falling
A, 1570951, -1.004028, 0.120361, -0.199707, -12.878422, 1.525879, 3.417970,falling
B, 126115, -0.870850, -0.050903, -0.494751, -16.906738, 1.342773, -4.211426,falling
A, 1570971, -0.997803, 0.147461, -0.210571, -19.653320, 1.586915, 4.699707,falling
B, 126135, -0.863770, -0.043823, -0.509399, -22.155769, 0.793457, -5.371094,falling
A, 1570991, -0.990112, 0.196899, -0.214722, -24.353035, 1.342773, 5.187988,falling
B, 126155, -0.856934, -0.035767, -0.528320, -25.268562, 0.061035, -5.981447,falling
A, 1571011, -0.980713, 0.248779, -0.216919, -26.733406, 0.671387, 5.249023,falling
B, 126175, -0.855835, -0.006836, -0.526733, -26.977547, -0.915528, -6.225588,falling
A, 1571031, -0.970947, 0.294434, -0.199829, -28.747566, -0.061035, 4.699707,falling
B, 126195, -0.857788, 0.031494, -0.518066, -28.869637, -1.953125, -6.958010,falling
A, 1571051, -0.960327, 0.346802, -0.131104, -31.066902, -1.159668, 3.723145,falling
B, 126215, -0.856323, 0.087036, -0.516479, -28.808601, -3.417970, -7.202150,falling
A, 1571071, -0.952881, 0.380615, -0.074219, -28.198250, -1.953125, 2.685547,falling
B, 126235, -0.858032, 0.122192, -0.508179, -22.644051, -4.272461, -5.432129,falling
A, 1571091, -0.946167, 0.408325, -0.023071, -19.531250, -3.356935, 1.037598,falling
B, 126255, -0.866577, 0.149048, -0.490112, -12.451176, -5.126953, -2.258301,falling
A, 1571111, -0.945313, 0.406372, 0.016113, -8.117676, -5.249023, -0.671387,falling
B, 126275, -0.874756, 0.155884, -0.470581, -2.319336, -5.798342, 0.854492,falling
A, 1571131, -0.950073, 0.375610, 0.062622, 0.610352, -6.652834, -1.892090,falling
B, 126295, -0.887817, 0.142090, -0.443970, 2.502441, -5.920412, 1.831055,falling
A, 1571151, -0.956665, 0.341553, 0.099609, 1.647950, -6.103518, -2.380371,falling
B, 126315, -0.900146, 0.127686, -0.415649, 1.770020, -5.676271, 0.549316,falling
A, 1571171, -0.956787, 0.331787, 0.109375, 0.671387, -5.310059, -3.051759,falling
B, 126335, -0.905762, 0.112793, -0.402100, 2.075195, -5.432129, -0.244141,falling
A, 1571191, -0.958618, 0.315918, 0.126953, 1.708985, -4.760742, -3.906251,falling
