Device,timestamp,ax,ay,az,gx,gy,gz,activity
A, 1711511, -0.977173, 0.231934, 0.056274, 0.732422, -0.732422, -0.427246,falling
B, 266675, -0.941650, 0.051636, -0.303711, -0.122070, -0.549316, -1.220703,falling
A, 1711531, -0.974731, 0.240356, 0.058594, -1.281738, -0.671387, -1.098633,falling
B, 266695, -0.935059, 0.068970, -0.324341, -0.488281, -0.488281, -1.281738,falling
A, 1711551, -0.980469, 0.226318, 0.063599, -0.061035, -0.549316, -1.159668,falling
B, 266715, -0.930298, 0.078735, -0.341309, 0.671387, -0.488281, -0.854492,falling
A, 1711571, -0.984253, 0.201416, 0.044922, 1.098633, -0.671387, -0.915528,falling
B, 266735, -0.936279, 0.078369, -0.318481, 1.159668, -0.366211, -0.671387,falling
A, 1711591, -0.983887, 0.199219, 0.039185, -1.037598, -0.671387, -0.061035,falling
B, 266755, -0.941040, 0.081909, -0.306396, -0.854492, -0.427246, -1.098633,falling
A, 1711611, -0.979736, 0.220703, 0.054443, -1.892090, -0.854492, 0.427246,falling
B, 266775, -0.932373, 0.066406, -0.336182, 0.366211, -0.305176, -0.610352,falling
A, 1711631, -0.976318, 0.236938, 0.079956, 0.244141, -0.915528, 0.183106,falling
B, 266795, -0.935669, 0.047363, -0.326416, 1.281738, -0.244141, -0.183106,falling
A, 1711651, -0.975464, 0.235474, 0.062988, 1.098633, -0.427246, -0.488281,falling
B, 266815, -0.942749, 0.043335, -0.301025, 0.244141, -0.244141, -0.793457,falling
A, 1711671, -0.979004, 0.224121, 0.047119, -0.671387, -0.305176, -0.610352,falling
B, 266835, -0.940063, 0.066650, -0.308594, -1.464844, -0.122070, -1.220703,falling
A, 1711691, -0.980713, 0.215088, 0.057495, -2.502441, -0.244141, -0.488281,falling
B, 266855, -0.932129, 0.094482, -0.334229, -1.403809, -0.061035, -1.281738,falling
A, 1711711, -0.981445, 0.217773, 0.071899, -0.793457, 0.000000, 0.122070,falling
B, 266875, -0.930664, 0.093506, -0.337891, -0.183106, 0.061035, -0.549316,falling
A, 1711731, -0.980835, 0.217407, 0.032593, 0.549316, -0.244141, 0.366211,falling
B, 266895, -0.939331, 0.048462, -0.313110, 0.061035, 0.061035, -0.488281,falling
A, 1711751, -0.979492, 0.222656, 0.021240, -1.342773, -0.366211, 0.427246,falling
B, 266915, -0.936035, 0.044556, -0.322266, -1.892090, -0.061035, -1.098633,falling
A, 1711771, -0.976685, 0.238525, 0.036377, -2.502441, -0.427246, 0.183106,falling
B, 266935, -0.930054, 0.062744, -0.342285, -0.915528, -0.122070, -0.793457,falling
A, 1711791, -0.977783, 0.238647, 0.056396, -0.244141, -0.549316, -0.427246,falling
B, 266955, -0.931152, 0.074951, -0.334839, 0.732422, -0.061035, -0.244141,falling
A, 1711811, -0.980469, 0.216187, 0.055908, 0.549316, -0.488281, -0.244141,falling
B, 266975, -0.938965, 0.080078, -0.309570, -0.183106, -0.061035, -0.427246,falling
A, 1711831, -0.982300, 0.205078, 0.048340, -1.403809, -0.305176, 0.183106,falling
B, 266995, -0.936157, 0.069458, -0.319946, -1.342773, 0.000000, -0.610352,falling
A, 1711851, -0.983032, 0.209717, 0.045044, -1.464844, -0.549316, 0.732422,falling
B, 267015, -0.932739, 0.066772, -0.334351, -0.244141, 0.061035, -0.366211,falling
A, 1711871, -0.980591, 0.221436, 0.057739, 0.488281, -0.610352, 0.488281,falling
B, 267035, -0.937988, 0.036011, -0.317871, 2.380371, 0.061035, 0.915528,falling
A, 1711891, -0.986572, 0.177002, 0.046631, 2.319336, -0.976563, 0.244141,falling
B, 267055, -0.944092, 0.027954, -0.300171, 0.854492, 0.244141, 0.610352,falling
A, 1711911, -0.991821, 0.154785, 0.056396, -0.183106, -0.488281, 0.549316,falling
B, 267075, -0.940918, 0.030518, -0.312866, -0.122070, 0.427246, 0.854492,falling
A, 1711931, -0.997803, 0.121948, 0.056274, 0.366211, -0.549316, 1.098633,falling
B, 267095, -0.938232, 0.021729, -0.324219, -0.427246, 0.732422, 1.342773,falling
A, 1711951, -1.004028, 0.094116, 0.043457, -0.793457, 0.061035, 2.258301,falling
B, 267115, -0.943359, 0.019531, -0.307007, -1.708985, 0.976563, 1.708985,falling
A, 1711971, -1.002686, 0.093140, 0.019165, -1.525879, -0.305176, 3.540040,falling
B, 267135, -0.944092, 0.019775, -0.299927, -1.831055, 1.159668, 2.441406,falling
A, 1711991, -1.002686, 0.089844, 0.036499, -0.976563, -0.854492, 4.394531,falling
B, 267155, -0.944702, 0.001831, -0.308960, -1.892090, 1.586915, 4.028320,falling
A, 1712011, -1.006348, 0.069214, 0.059937, -1.159668, -0.610352, 5.126953,falling
B, 267175, -0.941650, -0.040527, -0.313965, -6.713869, 2.136230, 3.234864,falling
