Device,timestamp,ax,ay,az,gx,gy,gz,activity
A, 1222110, -0.016357, -0.128052, -0.049072, -73.364258, -22.766121, 104.858429,falling
B, 835675, -0.305542, 0.176636, -0.335938, -112.121613, 44.433609, 51.452652,falling
A, 1222130, 0.049683, -0.130005, -0.058960, -77.514648, -26.733406, 108.520538,falling
B, 835695, -0.240234, 0.209717, -0.323120, -119.384796, 44.250504, 58.776871,falling
A, 1222150, 0.146362, -0.162720, -0.065552, -81.665039, -31.005867, 112.670929,falling
B, 835715, -0.202881, 0.233887, -0.313721, -123.168976, 44.006348, 64.453125,falling
A, 1222170, 0.230591, -0.161987, -0.078491, -83.984375, -36.071777, 116.333038,falling
B, 835735, -0.180542, 0.257202, -0.311279, -125.671417, 43.579102, 70.678711,falling
A, 1222190, 0.304321, -0.182617, -0.098999, -84.716797, -41.809082, 119.689972,falling
B, 835755, -0.149536, 0.272095, -0.302246, -127.807648, 42.907715, 77.087402,falling
A, 1222210, 0.390259, -0.183105, -0.105957, -85.937500, -47.790543, 123.230011,falling
B, 835775, -0.135620, 0.294800, -0.276245, -129.882813, 42.358398, 83.862305,falling
A, 1222230, 0.469604, -0.178955, -0.107666, -86.547852, -54.321304, 125.671417,falling
B, 835795, -0.120728, 0.299805, -0.264893, -130.676270, 41.381836, 91.064484,falling
A, 1222250, 0.540649, -0.207153, -0.115601, -88.134766, -60.607925, 127.807648,falling
B, 835815, -0.102661, 0.298706, -0.230591, -137.634277, 37.475586, 99.731476,falling
A, 1222270, 0.648071, -0.197876, -0.122803, -95.642120, -69.396973, 131.286621,falling
B, 835835, -0.112915, 0.303101, -0.214600, -144.042969, 33.264160, 104.309113,falling
A, 1222290, 0.693604, -0.191040, -0.106079, -101.806671, -76.049805, 132.507324,falling
B, 835855, -0.124512, 0.277710, -0.191040, -147.277832, 29.235847, 110.351593,falling
A, 1222310, 0.736816, -0.167236, -0.101440, -106.201202, -82.092285, 131.530762,falling
B, 835875, -0.148926, 0.249512, -0.252930, -159.240723, 23.193367, 112.243683,falling
A, 1222330, 0.719360, -0.212646, -0.004150, -120.361359, -86.669922, 135.253906,falling
B, 835895, -0.142456, 0.205566, -0.188843, -167.358398, 14.709476, 114.807159,falling
A, 1222350, 0.842041, -0.084351, -0.106079, -125.915558, -90.759308, 132.080078,falling
B, 835915, -0.736450, 1.666016, -0.951904, -163.696289, 45.349136, 141.235352,falling
A, 1222370, 1.496460, 1.609741, -0.481323, 2.014160, -122.680695, 120.239288,falling
B, 835935, 0.621460, 2.262329, -1.984375, 608.886719, -171.569824, -562.438965,falling
A, 1222390, -0.311890, -0.526001, 0.901611, 236.816467, -165.039063, -52.307144,falling
B, 835955, 0.401001, -0.585693, -0.673828, 160.217285, 20.263672, 8.728027,falling
A, 1222410, 1.556641, 1.709961, 0.087769, -53.710953, -199.401917, -34.912109,falling
B, 835975, -0.131714, -0.530640, 0.001221, -122.863800, -164.123535, -74.096680,falling
A, 1222430, -0.661987, -0.229370, 0.442261, -4.638672, 23.498543, 24.841316,falling
B, 835995, 0.243774, -0.041138, -0.226440, 210.693420, -21.911621, 45.898453,falling
A, 1222450, -0.005859, 0.852905, 1.186157, 21.667480, 21.667480, -41.015625,falling
B, 836015, -0.205688, -0.949951, 1.327515, 231.811584, 47.485367, 208.862366,falling
A, 1222470, 0.606812, 0.636841, -0.542847, 100.280792, 36.437988, -54.626480,falling
B, 836035, -0.338989, 1.645142, -0.356445, 121.582062, 70.678711, 20.385742,falling
A, 1222490, -0.231689, -1.764282, -0.519531, 239.990295, -45.959488, -36.743164,falling
B, 836055, 0.792725, 1.047852, -1.997437, 103.332550, -31.738289, -54.931656,falling
A, 1222510, -0.043579, -1.676880, -0.240723, 167.541504, -24.353035, 25.146492,falling
B, 836075, 0.083496, 1.273315, -0.812988, 41.259766, -10.070801, -27.404793,falling
A, 1222530, 0.103271, -0.428589, 0.148682, 39.062500, -15.197758, 45.715347,falling
B, 836095, -0.095459, -0.239868, 0.283447, -18.676758, 40.710449, 9.094238,falling
A, 1222550, 0.183105, 0.541748, 0.429932, -18.798828, 19.042969, 21.545410,falling
B, 836115, 0.019287, 0.220093, -0.036133, 44.799820, 127.807648, 88.378906,falling
A, 1222570, 0.077148, -0.078369, -0.018677, -35.827637, 23.376472, 5.615236,falling
B, 836135, 0.250854, 0.478271, -0.578125, 17.761230, 56.030289, 26.794441,falling
A, 1222590, 0.003784, -0.404907, -0.297363, -19.348145, 21.240234, 24.719246,falling
B, 836155, 0.099731, 0.759521, -0.753540, -49.438492, 21.911621, -0.976563,falling
A, 1222610, -0.043945, -0.576538, -0.339111, -33.264160, 3.173829, 58.349625,falling
B, 836175, 0.108887, 2.676636, -3.038330, -28.015144, -159.179688, -155.029297,falling
A, 1222630, 0.736694, 2.925781, -0.213623, 256.896973, -57.678238, 49.621597,falling
B, 836195, -0.456909, -0.508667, 0.817505, 208.618225, 124.633820, 104.797394,falling
A, 1222650, 0.848389, 2.241455, 0.272339, 63.659683, -27.221687, -49.865738,falling
B, 836215, -0.150024, 1.463989, -1.001831, -24.047859, 29.357918, 39.611816,falling
A, 1222670, 0.371704, 0.322754, -0.343018, -21.362305, 22.827156, -27.832039,falling
B, 836235, 0.163696, 0.186523, -0.456177, -69.580078, 38.879395, 9.826660,falling
A, 1222690, -0.145142, -0.886108, -0.284790, -98.510773, -0.366211, 17.883301,falling
B, 836255, 0.152466, 0.547852, -0.647583, -123.352081, -38.330078, -28.686531,falling
A, 1222710, 0.090576, 0.412720, 0.166138, -136.535645, 24.047859, 55.358902,falling
B, 836275, -0.372559, -0.092773, 0.520386, 11.779789, 52.246109, 52.185074,falling
A, 1222730, 0.230835, 1.498535, 0.297241, -30.395515, 2.624512, -10.864258,falling
B, 836295, 0.096680, 1.643555, -1.144287, 118.652374, 13.671879, -0.488281,falling
A, 1222750, 0.299561, 1.212891, 0.780640, 153.503418, -35.156250, -30.151375,falling
B, 836315, 0.106689, -0.649048, -0.419189, 7.202150, -14.282230, -11.657719,falling
A, 1222770, -0.011353, 1.074829, -0.044922, -98.144562, 25.634773, 18.981934,falling
B, 836335, -0.278809, 1.209717, -0.567017, -50.109879, -62.011734, -34.973145,falling
A, 1222790, 0.281250, 1.949463, 0.332642, -12.878422, -4.455566, -7.385256,falling
B, 836355, -0.233154, 1.153442, -0.843140, -26.000984, -15.930180, -16.296387,falling
A, 1222810, 0.194092, 0.755981, 0.102783, -68.298340, 15.625004, -20.568848,falling
B, 836375, 0.219604, 0.677856, -1.063232, -17.700195, 19.226074, 5.004883,falling
A, 1222830, 0.117920, 0.412109, -0.087524, -56.884781, 11.901859, -9.826660,falling
B, 836395, 0.181885, 0.760132, -0.906494, -0.183106, 11.657719, 12.756351,falling
A, 1222850, 0.121094, 0.459839, -0.119263, -21.057129, 0.976563, 4.699707,falling
B, 836415, -0.074341, 0.772095, -0.774536, -3.906251, -4.943848, -5.126953,falling
A, 1222870, -0.025146, 0.609253, 0.286377, -13.854984, -2.990724, 7.690432,falling
B, 836435, -0.184692, 0.809448, -0.782104, -26.733406, -7.873537, -8.422852,falling
A, 1222890, 0.057617, 0.980835, 0.490234, -32.409668, 4.211426, 10.009766,falling
