Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 795155, -0.829468, -0.274780, -0.494141, -2.685547, -2.563477, -0.061035,falling
A, 1181610, -0.948975, 0.366943, -0.085327, -3.723145, -2.197266, 0.610352,falling
B, 795175, -0.824585, -0.263184, -0.513916, -3.723145, -3.356935, -0.549316,falling
A, 1181630, -0.935547, 0.424072, -0.096313, -5.432129, -2.136230, 0.671387,falling
B, 795195, -0.822021, -0.245117, -0.530518, -5.187988, -4.882813, -1.281738,falling
A, 1181650, -0.914795, 0.511841, -0.104004, -7.141115, -2.319336, 0.244141,falling
B, 795215, -0.817871, -0.222778, -0.567749, -5.004883, -6.958010, -2.136230,falling
A, 1181670, -0.891968, 0.606079, -0.086304, -7.324221, -2.868653, -1.159668,falling
B, 795235, -0.813721, -0.186035, -0.594360, -3.540040, -8.361816, -2.746582,falling
A, 1181690, -0.870117, 0.697266, -0.048828, -6.469728, -3.173829, -3.479005,falling
B, 795255, -0.810669, -0.167847, -0.612671, -1.770020, -10.131836, -3.417970,falling
A, 1181710, -0.850830, 0.767822, -0.033325, -5.249023, -3.234864, -6.286623,falling
B, 795275, -0.813232, -0.145264, -0.617310, 2.441406, -11.169437, -3.540040,falling
A, 1181730, -0.830933, 0.828247, -0.036377, 0.427246, -4.577637, -11.657719,falling
B, 795295, -0.815186, -0.111694, -0.634644, 8.300781, -12.329105, -3.356935,falling
A, 1181750, -0.818726, 0.840332, -0.022217, 7.324221, -6.164553, -15.502934,falling
B, 795315, -0.805054, -0.119995, -0.639771, 17.578125, -12.329105, -1.586915,falling
A, 1181770, -0.829346, 0.808472, -0.020264, 17.395020, -8.361816, -19.714355,falling
B, 795335, -0.819580, -0.127808, -0.623169, 29.174812, -9.826660, 1.525879,falling
A, 1181790, -0.840698, 0.712769, -0.017944, 28.381355, -10.620117, -23.742683,falling
B, 795355, -0.838257, -0.179443, -0.492676, 51.513687, -5.004883, 8.728027,falling
A, 1181810, -0.870605, 0.537354, -0.020264, 45.898453, -14.709476, -27.832039,falling
B, 795375, -0.860596, -0.274780, -0.382446, 74.279785, 2.441406, 18.371582,falling
A, 1181830, -0.936768, 0.241699, -0.007446, 69.458008, -20.263672, -31.799324,falling
B, 795395, -0.882324, -0.401367, -0.243042, 89.416534, 10.070801, 26.672371,falling
A, 1181850, -1.046021, -0.219360, 0.003540, 84.350586, -23.681648, -32.165527,falling
B, 795415, -0.927612, -0.482178, -0.084106, 93.322784, 16.235352, 32.104492,falling
A, 1181870, -1.170044, -0.709473, 0.029419, 87.951660, -24.780281, -25.695808,falling
B, 795435, -0.956299, -0.549561, 0.015747, 79.528809, 17.639160, 31.433113,falling
A, 1181890, -1.250854, -1.020020, 0.115356, 71.289063, -20.812988, -11.718754,falling
B, 795455, -0.985229, -0.579956, 0.094482, 42.663574, 9.948730, 19.470215,falling
A, 1181910, -1.249023, -1.010498, 0.205322, 9.155273, -6.958010, 5.859377,falling
B, 795475, -0.990479, -0.579712, 0.118896, -6.042482, -0.549316, 1.831055,falling
A, 1181930, -1.193726, -0.803223, 0.217529, -32.836914, 3.723145, 13.610844,falling
B, 795495, -0.971436, -0.562012, 0.077759, -56.579605, -8.056641, -13.427738,falling
A, 1181950, -1.130859, -0.542114, 0.194214, -63.964859, 12.146000, 19.104004,falling
B, 795515, -0.935547, -0.505737, -0.045776, -80.322266, -12.573246, -20.935059,falling
A, 1181970, -1.060181, -0.232056, 0.158691, -81.604004, 16.296387, 24.597176,falling
B, 795535, -0.877319, -0.389771, -0.253662, -90.087921, -14.709476, -24.047859,falling
A, 1181990, -0.976563, 0.127197, 0.092041, -84.838867, 18.066406, 25.695808,falling
B, 795555, -0.854614, -0.238037, -0.422729, -89.538605, -15.747074, -24.902351,falling
A, 1182010, -0.924683, 0.368042, -0.033081, -81.787109, 16.357422, 24.719246,falling
B, 795575, -0.845093, -0.120483, -0.532349, -88.134766, -19.042969, -25.756844,falling
A, 1182030, -0.888794, 0.550659, -0.059692, -77.758789, 13.977055, 24.536140,falling
B, 795595, -0.837891, -0.120972, -0.598267, -79.956055, -17.150879, -20.568848,falling
A, 1182050, -0.843628, 0.762939, -0.022949, -72.143555, 12.695316, 21.728516,falling
B, 795615, -0.810791, -0.096680, -0.664673, -45.959488, -5.615236, -7.690432,falling
A, 1182070, -0.815186, 0.886963, -0.020264, -50.964371, 7.934572, 15.502934,falling
B, 795635, -0.825684, -0.084351, -0.644653, -35.949707, -5.920412, -6.469728,falling
A, 1182090, -0.821167, 0.901001, 0.026123, -34.240723, 3.845216, 10.070801,falling
B, 795655, -0.825195, -0.073364, -0.650635, -33.081055, -8.178711, -7.385256,falling
A, 1182110, -0.804810, 0.965942, 0.010010, -33.813477, 3.845216, 6.103518,falling
B, 795675, -0.817627, -0.068848, -0.669922, -30.456551, -10.803223, -8.728027,falling
A, 1182130, -0.791992, 1.026123, 0.008301, -31.860359, 3.295899, 1.770020,falling
B, 795695, -0.816040, -0.036987, -0.705688, -24.719246, -13.244633, -10.131836,falling
A, 1182150, -0.779785, 1.087646, 0.046997, -26.062019, 2.380371, -3.173829,falling
B, 795715, -0.815796, 0.008789, -0.724731, -17.517090, -16.174316, -11.169437,falling
A, 1182170, -0.761719, 1.132446, 0.048950, -15.136723, 0.305176, -8.605957,falling
B, 795735, -0.809204, 0.008545, -0.747070, -4.882813, -16.662598, -9.399414,falling
A, 1182190, -0.752563, 1.140625, 0.022949, -5.065918, -2.075195, -13.977055,falling
B, 795755, -0.804688, 0.032227, -0.766968, 9.277344, -17.028809, -8.666992,falling
A, 1182210, -0.738770, 1.173340, 0.021118, 1.403809, -3.479005, -18.859863,falling
B, 795775, -0.792847, 0.045898, -0.783569, 14.526371, -20.874023, -10.498047,falling
A, 1182230, -0.711304, 1.232788, 0.027222, 5.615236, -4.699707, -23.437508,falling
B, 795795, -0.774902, -0.009521, -0.763184, 18.005371, -23.193367, -11.474613,falling
A, 1182250, -0.684570, 1.259033, 0.029907, 4.272461, -3.173829, -32.470703,falling
B, 795815, -0.762573, -0.077393, -0.701782, 14.465336, -28.930672, -15.991215,falling
A, 1182270, -0.650391, 1.236328, -0.003418, -8.605957, -1.037598, -37.902832,falling
B, 795835, -0.779907, -0.155151, -0.600586, 1.586915, -37.841797, -24.719246,falling
A, 1182290, -0.671753, 1.008423, 0.108398, -34.057617, 6.774904, -47.058121,falling
B, 795855, -0.910767, -0.223267, -0.272339, -5.676271, -37.963867, -28.198250,falling
A, 1182310, -0.775635, 0.471069, 0.068848, -23.559578, 8.361816, -55.114761,falling
B, 795875, -0.781860, -0.235840, -0.346191, 18.920898, -46.081558, -18.005371,falling
A, 1182330, -0.827637, 0.205078, 0.009277, 4.638672, -2.075195, -54.748550,falling
B, 795895, -0.830200, -0.174561, -0.507568, 14.282230, -40.405273, -27.343758,falling
A, 1182350, -0.929810, -0.109497, 0.091431, -6.225588, 1.037598, -48.156754,falling
B, 795915, -0.827393, -0.114624, -0.461426, -8.850098, -45.471207, -35.217285,falling
A, 1182370, -0.891968, 0.017456, -0.003906, -32.165527, 8.239746, -39.733887,falling
B, 795935, -0.855103, -0.162354, -0.297852, -1.831055, -42.236328, -32.226563,falling
A, 1182390, -0.825806, 0.285767, -0.041504, -24.414070, 3.845216, -37.536621,falling
B, 795955, -0.812622, -0.354004, -0.230957, 28.198250, -30.578621, -18.920898,falling
A, 1182410, -0.763184, 0.462524, 0.059326, 4.150391, -1.586915, -45.043961,falling
B, 795975, -0.796143, -0.369019, -0.261108, 64.819336, -21.789551, -6.774904,falling
A, 1182430, -0.756592, 0.389404, 0.072388, 67.504883, -13.916019, -58.410660,falling
B, 795995, -0.806274, -0.322388, -0.284790, 86.608887, -20.385742, -2.685547,falling
