Device,timestamp,ax,ay,az,gx,gy,gz,activity
A, 1554551, -0.948364, 0.378296, -0.037109, -1.403809, -3.112794, -3.417970,falling
B, 109715, -0.877075, 0.070068, -0.476563, 2.441406, -4.333496, -1.892090,falling
A, 1554571, -0.952026, 0.357910, -0.027466, 1.525879, -3.967286, -4.638672,falling
B, 109735, -0.882324, 0.072144, -0.464478, 4.211426, -4.821777, -1.525879,falling
A, 1554591, -0.961670, 0.321777, -0.026489, 2.868653, -4.516602, -5.004883,falling
B, 109755, -0.884888, 0.067383, -0.457520, 4.211426, -5.187988, -1.647950,falling
A, 1554611, -0.967896, 0.295166, -0.027344, 2.319336, -4.821777, -4.943848,falling
B, 109775, -0.885742, 0.053589, -0.455566, 3.906251, -5.554201, -1.831055,falling
A, 1554631, -0.970093, 0.280518, -0.017944, 1.770020, -5.126953, -4.760742,falling
B, 109795, -0.888428, 0.034180, -0.453369, 3.723145, -5.798342, -1.892090,falling
A, 1554651, -0.970215, 0.276367, -0.024536, 1.342773, -5.187988, -4.943848,falling
B, 109815, -0.890991, 0.019043, -0.447144, 2.990724, -6.225588, -2.136230,falling
A, 1554671, -0.972534, 0.266479, -0.034668, 0.549316, -5.310059, -5.187988,falling
B, 109835, -0.892212, 0.015137, -0.441650, 2.075195, -6.530764, -2.502441,falling
A, 1554691, -0.975586, 0.256226, -0.039673, -0.183106, -5.615236, -5.432129,falling
B, 109855, -0.890625, 0.015747, -0.447266, 2.014160, -6.835939, -2.258301,falling
A, 1554711, -0.980835, 0.235107, -0.030518, -0.549316, -5.920412, -5.249023,falling
B, 109875, -0.892212, 0.017700, -0.446411, 1.037598, -7.080080, -2.380371,falling
A, 1554731, -0.983398, 0.222046, -0.029785, -1.586915, -5.981447, -4.821777,falling
B, 109895, -0.893677, 0.019165, -0.439331, 0.488281, -7.385256, -2.319336,falling
A, 1554751, -0.981934, 0.225342, -0.036621, -1.586915, -6.469728, -4.333496,falling
B, 109915, -0.895630, 0.017578, -0.432739, 1.098633, -7.690432, -1.770020,falling
A, 1554771, -0.980225, 0.229126, -0.026001, -0.793457, -7.141115, -4.211426,falling
A, 1554791, -0.981934, 0.221436, -0.016113, -0.671387, -7.446291, -4.211426,falling
B, 109955, -0.900635, -0.005737, -0.423340, 1.159668, -8.300781, -1.037598,falling
A, 1554811, -0.980957, 0.221191, -0.022217, -0.976563, -7.690432, -4.211426,falling
B, 109975, -0.903442, 0.004883, -0.415039, 0.976563, -8.544922, -0.732422,falling
A, 1554831, -0.982666, 0.213623, -0.017090, -0.488281, -8.300781, -4.211426,falling
B, 109995, -0.902344, 0.009399, -0.417847, 1.892090, -8.789063, -0.061035,falling
A, 1554851, -0.986572, 0.195313, 0.003174, 0.244141, -8.850098, -4.028320,falling
B, 110015, -0.902100, 0.000610, -0.422119, 2.136230, -8.911133, 0.549316,falling
A, 1554871, -0.990601, 0.176636, 0.006104, 0.915528, -8.972168, -3.479005,falling
B, 110035, -0.908813, -0.005493, -0.401978, 2.136230, -8.972168, 0.976563,falling
A, 1554891, -0.991211, 0.167969, 0.003174, 0.366211, -9.155273, -2.929688,falling
B, 110055, -0.915649, -0.014893, -0.385498, 1.098633, -9.033203, 1.159668,falling
A, 1554911, -0.994751, 0.152222, 0.011108, -1.464844, -9.277344, -2.380371,falling
B, 110075, -0.916992, -0.031494, -0.388916, -1.464844, -8.972168, 0.793457,falling
A, 1554931, -0.996826, 0.142334, 0.025635, -4.455566, -8.728027, -1.586915,falling
B, 110095, -0.917725, -0.022461, -0.383789, -4.821777, -8.789063, 0.244141,falling
A, 1554951, -0.993774, 0.149048, 0.029663, -5.981447, -8.422852, -0.976563,falling
B, 110115, -0.920654, -0.006714, -0.373657, -3.845216, -8.728027, 1.220703,falling
A, 1554971, -0.993408, 0.145142, 0.041870, -4.211426, -9.216309, -0.427246,falling
B, 110135, -0.918701, -0.013428, -0.378906, -3.723145, -8.728027, 1.953125,falling
A, 1554991, -0.997192, 0.132324, 0.041992, -5.249023, -8.911133, 0.549316,falling
B, 110155, -0.919067, -0.018921, -0.381836, -5.493164, -8.605957, 1.831055,falling
A, 1555011, -0.994629, 0.141846, 0.023438, -7.202150, -8.605957, 1.342773,falling
B, 110175, -0.921997, -0.010376, -0.369141, -7.141115, -8.544922, 1.892090,falling
A, 1555031, -0.990967, 0.156372, 0.019775, -7.812502, -9.155273, 1.892090,falling
B, 110195, -0.921509, -0.015991, -0.368286, -7.629396, -8.666992, 2.258301,falling
A, 1555051, -0.991699, 0.149780, 0.038208, -9.460449, -9.094238, 2.319336,falling
B, 110215, -0.918701, -0.018066, -0.377808, -10.803223, -8.666992, 1.892090,falling
A, 1555071, -0.989014, 0.158936, 0.038330, -11.169437, -8.544922, 3.051759,falling
B, 110235, -0.921265, -0.004883, -0.368652, -11.169437, -8.728027, 2.319336,falling
A, 1555091, -0.987793, 0.165649, 0.025757, -11.108402, -9.033203, 3.173829,falling
B, 110255, -0.919434, 0.001831, -0.371338, -11.535648, -8.972168, 2.685547,falling
A, 1555111, -0.988281, 0.162842, 0.025391, -11.779789, -9.338379, 3.845216,falling
B, 110275, -0.918823, 0.011597, -0.371460, -12.695316, -9.033203, 2.868653,falling
A, 1555131, -0.985352, 0.168823, 0.036499, -12.634281, -9.582520, 4.394531,falling
B, 110295, -0.919312, 0.016479, -0.367310, -12.634281, -9.216309, 3.356935,falling
A, 1555151, -0.978638, 0.184570, 0.063599, -12.023930, -10.192871, 5.065918,falling
B, 110315, -0.924561, 0.023193, -0.354248, -12.268070, -9.277344, 4.028320,falling
A, 1555171, -0.973267, 0.192505, 0.081787, -10.864258, -10.620117, 5.187988,falling
B, 110335, -0.928467, 0.026367, -0.341309, -10.925293, -9.399414, 4.882813,falling
A, 1555191, -0.971802, 0.191650, 0.112305, -8.544922, -11.291508, 5.004883,falling
B, 110355, -0.934814, 0.031128, -0.325806, -8.361816, -9.216309, 6.286623,falling
A, 1555211, -0.973511, 0.179688, 0.141724, -7.202150, -11.291508, 5.126953,falling
B, 110375, -0.938599, 0.036499, -0.316406, -7.690432, -8.911133, 6.896975,falling
A, 1555231, -0.973633, 0.169434, 0.152710, -6.042482, -11.108402, 5.432129,falling
B, 110395, -0.941162, 0.040894, -0.307739, -6.286623, -8.605957, 7.812502,falling
A, 1555251, -0.975586, 0.157959, 0.150024, -4.089355, -11.413578, 5.798342,falling
B, 110415, -0.942505, 0.037476, -0.303711, -5.065918, -8.239746, 8.789063,falling
A, 1555271, -0.978882, 0.142578, 0.155151, -2.929688, -11.596684, 6.347658,falling
B, 110435, -0.944580, 0.026001, -0.299438, -5.493164, -7.812502, 9.216309,falling
A, 1555291, -0.982910, 0.124878, 0.161743, -4.455566, -10.986328, 7.324221,falling
B, 110455, -0.947876, 0.020264, -0.289185, -8.483887, -7.263186, 8.605957,falling
A, 1555311, -0.981812, 0.121704, 0.161743, -7.751467, -10.131836, 8.544922,falling
B, 110475, -0.947632, 0.022217, -0.287231, -12.023930, -6.713869, 7.873537,falling
A, 1555331, -0.976685, 0.140259, 0.147217, -11.230473, -9.216309, 9.887695,falling
B, 110495, -0.939819, 0.030884, -0.303467, -13.488773, -6.225588, 8.361816,falling
A, 1555351, -0.972778, 0.152344, 0.138916, -9.582520, -9.460449, 10.192871,falling
B, 110515, -0.937622, 0.038574, -0.303711, -11.230473, -6.042482, 9.887695,falling
A, 1555371, -0.973877, 0.145386, 0.131714, -7.080080, -10.131836, 10.620117,falling
B, 110535, -0.934570, 0.038086, -0.308472, -10.375977, -5.920412, 11.047363,falling
A, 1555391, -0.976807, 0.134399, 0.110718, -7.263186, -10.192871, 11.474613,falling
A, 1555411, -0.976318, 0.130371, 0.081787, -10.131836, -9.948730, 12.695316,falling
B, 110575, -0.928711, 0.031372, -0.314697, -15.502934, -5.798342, 10.925293,falling
A, 1555431, -0.972046, 0.138550, 0.072388, -13.427738, -10.009766, 13.977055,falling
B, 110595, -0.928467, 0.036255, -0.309814, -18.798828, -5.920412, 10.559082,falling
A, 1555451, -0.965576, 0.152710, 0.088989, -16.662598, -9.887695, 14.953617,falling
B, 110615, -0.919189, 0.044434, -0.326050, -21.850586, -6.164553, 10.742188,falling
A, 1555471, -0.958862, 0.174927, 0.091919, -17.700195, -9.948730, 15.625004,falling
B, 110635, -0.916382, 0.063965, -0.322876, -20.019531, -6.530764, 12.268070,falling
A, 1555491, -0.950073, 0.193115, 0.071411, -13.793949, -11.718754, 15.747074,falling
B, 110655, -0.917480, 0.068481, -0.317383, -17.822266, -7.019045, 13.977055,falling
A, 1555511, -0.951416, 0.176758, 0.074097, -12.939457, -12.756351, 16.235352,falling
B, 110675, -0.915161, 0.067749, -0.315918, -18.310547, -7.324221, 14.709476,falling
A, 1555531, -0.950928, 0.158081, 0.092651, -14.709476, -13.061527, 17.211914,falling
B, 110695, -0.919434, 0.068970, -0.302124, -20.874023, -7.507326, 14.709476,falling
A, 1555551, -0.945435, 0.153809, 0.117065, -17.822266, -12.939457, 18.554688,falling
B, 110715, -0.922852, 0.080200, -0.284302, -23.620613, -7.568361, 14.709476,falling
A, 1555571, -0.935425, 0.164795, 0.146240, -18.188477, -13.366703, 19.287109,falling
B, 110735, -0.925415, 0.090088, -0.268799, -22.766121, -7.690432, 15.930180,falling
A, 1555591, -0.927979, 0.167725, 0.189575, -14.343266, -14.404301, 19.531250,falling
A, 1555611, -0.924438, 0.155151, 0.222046, -8.728027, -15.380863, 19.531250,falling
B, 110775, -0.936890, 0.120361, -0.217529, -9.460449, -7.202150, 23.376472,falling
A, 1555631, -0.921387, 0.127197, 0.269409, -1.525879, -16.723633, 20.019531,falling
B, 110795, -0.953735, 0.113525, -0.178589, -5.249023, -6.347658, 26.245125,falling
A, 1555651, -0.933228, 0.062500, 0.339722, 1.342773, -16.601563, 20.996094,falling
B, 110815, -0.961304, 0.085938, -0.154907, -8.544922, -4.821777, 26.367195,falling
A, 1555671, -0.934692, -0.023315, 0.394043, -5.981447, -13.488773, 25.390633,falling
B, 110835, -0.969482, 0.072754, -0.123657, -15.747074, -2.868653, 25.268562,falling
A, 1555691, -0.930542, -0.057617, 0.428833, -13.061527, -10.986328, 28.259285,falling
B, 110855, -0.975708, 0.057983, -0.086792, -23.193367, -0.793457, 24.292000,falling
A, 1555711, -0.923950, -0.080933, 0.465820, -19.165039, -8.239746, 31.311043,falling
B, 110875, -0.980713, 0.072144, -0.050171, -30.395515, 2.746582, 24.230965,falling
A, 1555731, -0.915039, -0.100098, 0.530029, -22.155769, -5.432129, 33.935547,falling
B, 110895, -0.985474, 0.081177, -0.020020, -31.982430, 5.310059, 25.634773,falling
A, 1555751, -0.910156, -0.162964, 0.578369, -24.902351, -2.929688, 37.048340,falling
B, 110915, -0.988770, 0.050781, 0.001709, -42.663574, 8.483887, 24.108894,falling
A, 1555771, -0.908325, -0.236816, 0.620850, -38.574219, 1.159668, 41.625977,falling
B, 110935, -0.982178, 0.035767, 0.025146, -63.293472, 11.718754, 18.859863,falling
