Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 699915, -0.975220, -0.303589, -0.098633, 12.084965, 22.399910, 17.089844,falling
A, 1086370, -1.065308, -0.376709, 0.006836, 24.414070, -6.652834, 21.545410,falling
B, 699935, -0.966553, -0.320190, -0.098389, 21.911621, 27.526863, 22.583015,falling
A, 1086390, -1.050659, -0.373901, -0.045410, 35.949707, -9.094238, 24.230965,falling
B, 699955, -0.967285, -0.317017, -0.075317, 27.282722, 31.921394, 26.428230,falling
A, 1086410, -1.044189, -0.412109, -0.030396, 39.611816, -10.498047, 27.282722,falling
B, 699975, -0.958862, -0.312988, -0.079590, 22.216805, 33.935547, 26.550301,falling
A, 1086430, -1.035278, -0.439331, 0.031250, 31.494148, -9.033203, 31.555183,falling
B, 699995, -0.951172, -0.324341, -0.098877, 8.544922, 34.606934, 23.559578,falling
A, 1086450, -1.029297, -0.474487, 0.135010, 13.610844, -4.882813, 36.499023,falling
B, 700015, -0.929932, -0.303589, -0.115356, -28.259285, 31.555183, 12.146000,falling
A, 1086470, -0.991699, -0.424561, 0.130981, -11.230473, 1.281738, 42.968750,falling
B, 700035, -0.903809, -0.300781, -0.146240, -53.100601, 28.808601, 5.493164,falling
A, 1086490, -0.938965, -0.255127, 0.039917, -45.471207, 7.934572, 49.987808,falling
B, 700055, -0.920776, -0.237427, -0.115112, -61.950699, 30.822762, 4.699707,falling
A, 1086510, -0.885376, -0.239746, 0.044067, -53.894058, 7.690432, 51.086441,falling
B, 700075, -0.873779, -0.285889, -0.128296, -77.575684, 27.587898, 1.586915,falling
A, 1086530, -0.875244, -0.203003, 0.031128, -67.932129, 10.070801, 55.419937,falling
B, 700095, -0.845337, -0.236084, -0.236450, -86.547852, 27.771004, 0.915528,falling
A, 1086550, -0.843140, -0.130249, -0.032349, -72.998047, 9.094238, 56.640640,falling
B, 700115, -0.800903, -0.164063, -0.334839, -91.674835, 26.855476, 1.708985,falling
A, 1086570, -0.800171, -0.037842, -0.090698, -73.669434, 7.080080, 61.584488,falling
B, 700135, -0.794312, -0.039917, -0.392944, -86.120605, 28.625496, 8.300781,falling
A, 1086590, -0.755493, 0.083130, -0.066650, -68.420410, 1.831055, 63.598648,falling
B, 700155, -0.788818, -0.084595, -0.383667, -77.026367, 31.921394, 15.686039,falling
A, 1086610, -0.719727, 0.211426, 0.003906, -60.241714, -1.708985, 63.720718,falling
B, 700175, -0.778076, -0.134644, -0.341064, -64.086914, 33.935547, 21.484375,falling
A, 1086630, -0.700806, 0.256958, 0.024414, -44.494644, -5.859377, 62.927261,falling
B, 700195, -0.784790, -0.106689, -0.300049, -51.330582, 37.048340, 27.648933,falling
A, 1086650, -0.681763, 0.269653, -0.013550, -29.907234, -9.277344, 59.692398,falling
B, 700215, -0.774536, -0.028320, -0.325317, -38.574219, 39.306641, 33.752441,falling
A, 1086670, -0.679565, 0.166626, -0.043213, -11.047363, -16.113281, 58.288589,falling
B, 700235, -0.734741, 0.003052, -0.421997, -28.930672, 42.602539, 39.733887,falling
A, 1086690, -0.678467, 0.084229, -0.014526, -0.488281, -19.409180, 61.462418,falling
B, 700255, -0.705811, 0.000000, -0.491943, -20.996094, 45.349136, 44.006348,falling
A, 1086710, -0.658447, 0.049316, -0.003906, 6.713869, -20.996094, 65.185547,falling
B, 700275, -0.710327, 0.018555, -0.425415, -13.854984, 50.354019, 49.377457,falling
A, 1086730, -0.612305, 0.086548, -0.044189, 12.390141, -22.827156, 69.091797,falling
