Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 328255, -0.927246, -0.001587, -0.362671, 1.220703, -0.305176, 0.122070,falling
A, 1773111, -0.982788, 0.217529, 0.033936, 0.854492, -0.915528, 0.305176,falling
B, 328275, -0.934204, -0.012207, -0.343140, -0.061035, -0.366211, -0.305176,falling
A, 1773131, -0.978760, 0.226929, 0.028320, -0.976563, -0.671387, 0.305176,falling
B, 328295, -0.935181, -0.004272, -0.336182, -1.098633, -0.549316, -0.610352,falling
A, 1773151, -0.977051, 0.238770, 0.038330, -1.281738, -0.976563, 0.122070,falling
B, 328315, -0.928589, 0.003662, -0.356445, -0.366211, -0.549316, -0.244141,falling
A, 1773171, -0.978394, 0.233643, 0.061646, -0.427246, -0.915528, -0.244141,falling
B, 328335, -0.929932, 0.010010, -0.357910, -0.183106, -0.427246, -0.305176,falling
A, 1773191, -0.980103, 0.225830, 0.061646, -0.305176, -0.610352, 0.000000,falling
B, 328355, -0.935913, 0.023682, -0.338867, -0.183106, -0.366211, -0.244141,falling
A, 1773211, -0.979492, 0.228760, 0.047363, -0.366211, -0.915528, 0.183106,falling
B, 328375, -0.935425, 0.021973, -0.339111, -0.061035, -0.427246, -0.061035,falling
A, 1773231, -0.978394, 0.229248, 0.051392, -0.610352, -0.915528, 0.427246,falling
B, 328395, -0.928711, -0.002319, -0.360840, -0.122070, -0.366211, -0.061035,falling
A, 1773251, -0.977295, 0.234741, 0.045288, -0.183106, -0.732422, 0.366211,falling
B, 328415, -0.932983, -0.000977, -0.343628, 0.183106, -0.305176, -0.061035,falling
A, 1773271, -0.975586, 0.238281, 0.049316, 0.000000, -0.854492, 0.183106,falling
B, 328435, -0.938477, 0.009888, -0.330444, -0.366211, -0.366211, -0.183106,falling
A, 1773291, -0.977661, 0.233032, 0.063110, -0.976563, -0.854492, -0.061035,falling
B, 328455, -0.935181, 0.014526, -0.343384, -0.915528, -0.305176, -0.427246,falling
A, 1773311, -0.976807, 0.228271, 0.080200, -1.403809, -0.549316, 0.244141,falling
B, 328475, -0.932373, 0.022461, -0.352173, -1.037598, -0.122070, -0.549316,falling
A, 1773331, -0.977173, 0.234497, 0.075317, -0.732422, -0.183106, 0.305176,falling
B, 328495, -0.933594, 0.020508, -0.343262, 0.244141, 0.000000, -0.122070,falling
A, 1773351, -0.975708, 0.234497, 0.052856, 0.610352, -0.488281, 0.305176,falling
B, 328515, -0.936035, 0.011597, -0.337402, 0.244141, 0.000000, -0.122070,falling
A, 1773371, -0.976929, 0.234497, 0.049683, -0.549316, -0.366211, 0.305176,falling
B, 328535, -0.930664, -0.001221, -0.349121, -0.366211, 0.061035, -0.427246,falling
A, 1773391, -0.976440, 0.232788, 0.059814, -0.793457, -0.244141, 0.244141,falling
