Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 757875, -0.919312, -0.262329, -0.273804, -0.854492, -0.305176, 1.403809,falling
A, 1144330, -0.992310, 0.140991, 0.075562, -0.915528, -2.563477, 1.953125,falling
B, 757895, -0.920288, -0.247681, -0.279785, -1.342773, -0.427246, 1.098633,falling
A, 1144350, -0.982666, 0.186279, 0.111328, -0.915528, -2.319336, 2.197266,falling
B, 757915, -0.920532, -0.245483, -0.283936, -0.427246, 0.061035, 1.464844,falling
A, 1144370, -0.978271, 0.209961, 0.117676, 1.037598, -2.319336, 1.647950,falling
B, 757935, -0.922974, -0.262695, -0.262207, -0.122070, 0.061035, 1.098633,falling
A, 1144390, -0.977661, 0.213379, 0.116577, -0.610352, -1.586915, 1.098633,falling
B, 757955, -0.923950, -0.254395, -0.262817, -2.075195, -0.793457, -0.183106,falling
A, 1144410, -0.973389, 0.223511, 0.107544, -2.136230, -1.159668, 0.427246,falling
B, 757975, -0.922241, -0.241943, -0.275391, -1.586915, -0.793457, -0.305176,falling
A, 1144430, -0.975220, 0.217285, 0.110840, -1.220703, -1.098633, -0.244141,falling
B, 757995, -0.920410, -0.232300, -0.295044, 0.671387, -0.061035, 0.244141,falling
A, 1144450, -0.980469, 0.197266, 0.105713, 1.098633, -1.342773, -0.488281,falling
B, 758015, -0.916138, -0.236328, -0.300903, 1.586915, 0.183106, 0.366211,falling
A, 1144470, -0.985229, 0.175781, 0.088257, 1.892090, -1.281738, -0.183106,falling
B, 758035, -0.914673, -0.254272, -0.288696, 1.892090, 0.305176, 0.488281,falling
A, 1144490, -0.987549, 0.170654, 0.053833, 1.953125, -1.342773, 0.061035,falling
B, 758055, -0.912842, -0.278564, -0.275757, 1.098633, -0.244141, 0.244141,falling
A, 1144510, -0.985107, 0.179688, 0.043091, 0.183106, -1.586915, 0.122070,falling
B, 758075, -0.909668, -0.284790, -0.273560, -0.366211, -0.976563, -0.305176,falling
A, 1144530, -0.981812, 0.189087, 0.051636, -1.342773, -1.342773, -0.183106,falling
B, 758095, -0.911499, -0.276611, -0.279541, -0.854492, -1.403809, -0.549316,falling
A, 1144550, -0.982178, 0.192871, 0.060791, -1.159668, -1.464844, -0.610352,falling
B, 758115, -0.914307, -0.261230, -0.284546, -0.488281, -1.342773, -0.488281,falling
A, 1144570, -0.983643, 0.184448, 0.066895, -0.915528, -1.525879, -0.854492,falling
B, 758135, -0.916870, -0.254028, -0.282593, 0.061035, -1.159668, -0.183106,falling
A, 1144590, -0.987793, 0.166382, 0.073120, -0.488281, -1.708985, -0.854492,falling
B, 758155, -0.916748, -0.257935, -0.278809, 0.305176, -1.098633, -0.061035,falling
A, 1144610, -0.988037, 0.153076, 0.085083, -0.610352, -1.708985, -0.488281,falling
B, 758175, -0.917725, -0.260742, -0.278198, -0.305176, -1.342773, -0.427246,falling
A, 1144630, -0.987793, 0.162720, 0.090698, -0.976563, -1.464844, -0.244141,falling
