Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 937595, -0.938599, -0.126221, -0.124512, 50.048843, 28.564461, -27.160652,falling
A, 1324051, -0.903809, -0.128418, 0.379639, 51.757828, 32.836914, 10.437012,falling
B, 937615, -0.937744, -0.156494, -0.093994, 59.448257, 32.287598, -26.306160,falling
A, 1324071, -0.868530, -0.062866, 0.357910, 70.495605, 32.653809, 8.056641,falling
B, 937635, -0.925293, -0.125488, -0.040039, 85.876465, 38.208008, -19.958496,falling
A, 1324091, -0.829834, -0.069092, 0.197388, 108.947784, 25.939949, 3.051759,falling
B, 937655, -0.916138, -0.146729, -0.117065, 137.023926, 48.522964, -6.347658,falling
A, 1324111, -0.896240, -0.259033, 0.149170, 143.066406, 18.371582, -0.732422,falling
B, 937675, -0.886108, -0.365967, -0.067505, 122.802765, 49.926773, -10.986328,falling
A, 1324131, -0.958984, -0.651001, 0.098389, 102.478058, 29.663094, 11.230473,falling
B, 937695, -0.867065, -0.382690, -0.048950, 80.993652, 42.419434, -26.306160,falling
A, 1324151, -0.938232, -0.501587, -0.151611, 83.923340, 37.231445, 13.671879,falling
B, 937715, -0.966553, -0.440796, 0.179077, 86.669922, 50.842300, -22.766121,falling
A, 1324171, -0.930420, -0.538940, -0.397705, 98.815948, 32.653809, 10.925293,falling
B, 937735, -0.909424, -0.416870, 0.161133, 107.177765, 60.180679, -12.695316,falling
A, 1324191, -0.980347, -0.711914, -0.445313, 111.328156, 27.954109, 10.986328,falling
B, 937755, -0.804688, -0.681274, 0.030640, 112.609894, 54.504410, -8.239746,falling
A, 1324211, -1.009644, -0.831665, -0.590576, 110.900909, 26.794441, 18.920898,falling
B, 937775, -0.784790, -0.704834, -0.108032, 90.332062, 53.161636, -17.395020,falling
A, 1324231, -0.996216, -0.729736, -0.810547, 111.389191, 26.123055, 23.193367,falling
B, 937795, -0.825195, -0.607422, -0.030029, 109.069855, 61.218277, -5.737307,falling
A, 1324251, -1.004150, -0.738037, -1.039429, 122.192413, 17.883301, 25.207527,falling
B, 937815, -0.820435, -0.769287, 0.075684, 108.642609, 64.208984, -0.854492,falling
A, 1324271, -1.036987, -0.823486, -1.019653, 115.478546, 15.380863, 29.113777,falling
B, 937835, -0.780762, -0.980469, 0.077759, 98.510773, 64.636230, -0.793457,falling
A, 1324291, -1.015747, -0.798706, -0.973389, 100.769073, 18.371582, 33.203125,falling
B, 937855, -0.780151, -1.021484, 0.101929, 67.626953, 62.988297, -6.530764,falling
A, 1324311, -1.000366, -0.738281, -1.251465, 71.777344, 21.118164, 40.100098,falling
B, 937875, -0.801758, -0.951538, 0.129272, 54.870621, 63.354507, -5.493164,falling
A, 1324331, -1.003052, -0.694458, -1.464844, 81.115723, 11.474613, 41.748047,falling
B, 937895, -0.757202, -0.940308, 0.026123, 69.396973, 69.335938, 6.042482,falling
A, 1324351, -1.015503, -0.804565, -1.415649, 93.811066, 1.953125, 44.555679,falling
B, 937915, -0.666992, -1.023193, -0.179321, 65.856934, 73.791504, 13.793949,falling
A, 1324371, -1.022949, -0.905273, -1.326050, 83.068848, 2.075195, 53.527847,falling
B, 937935, -0.677124, -0.965576, -0.156372, 61.950699, 77.697754, 18.554688,falling
A, 1324391, -0.957520, -0.826660, -1.461182, 84.167480, -1.464844, 61.218277,falling
B, 937955, -0.741455, -0.918335, 0.045776, 78.979492, 86.791992, 30.883797,falling
A, 1324411, -0.924927, -0.861206, -1.456909, 100.158722, -11.413578, 64.025879,falling
B, 937975, -0.769287, -1.010620, 0.233154, 89.477570, 95.642120, 40.161133,falling
A, 1324431, -0.904541, -1.010254, -1.259277, 106.079132, -16.845703, 68.298340,falling
B, 937995, -0.697144, -0.992065, 0.165649, 75.622559, 97.900421, 38.879395,falling
A, 1324451, -0.845215, -1.108643, -1.027832, 87.219238, -13.610844, 76.171875,falling
B, 938015, -0.645874, -0.936401, 0.036865, 36.437988, 94.116241, 27.465828,falling
A, 1324471, -0.755005, -1.055054, -0.907227, 57.312027, -6.652834, 87.890625,falling
