Device,timestamp,ax,ay,az,gx,gy,gz,activity
A, 1619951, -0.976929, 0.241577, 0.071533, -2.990724, 1.220703, -0.305176,falling
B, 175115, -0.908447, 0.037476, -0.398315, -2.624512, 0.610352, -2.258301,falling
A, 1619971, -0.976929, 0.237183, 0.039185, -1.647950, 0.732422, -1.037598,falling
B, 175135, -0.910278, 0.103516, -0.391113, -0.305176, -0.122070, -1.220703,falling
A, 1619991, -0.982422, 0.208618, 0.016846, 0.366211, -0.671387, -1.098633,falling
B, 175155, -0.906006, 0.087280, -0.404297, 1.342773, -0.549316, -0.427246,falling
A, 1620011, -0.987305, 0.184082, 0.047607, 0.488281, -1.220703, -0.366211,falling
B, 175175, -0.907837, 0.061890, -0.401367, 0.732422, -0.854492, -0.549316,falling
A, 1620031, -0.985107, 0.195435, 0.057861, -0.183106, -1.037598, 0.061035,falling
B, 175195, -0.916748, 0.050171, -0.380859, 0.671387, -1.037598, -0.671387,falling
A, 1620051, -0.979370, 0.219849, 0.056274, -0.183106, -1.220703, -0.244141,falling
B, 175215, -0.923218, 0.040527, -0.364624, 0.305176, -1.342773, -0.732422,falling
A, 1620071, -0.978271, 0.229126, 0.057983, -0.427246, -1.403809, -1.220703,falling
B, 175235, -0.918335, 0.029297, -0.374023, 0.488281, -1.647950, -0.671387,falling
A, 1620091, -0.981812, 0.210938, 0.061768, 0.183106, -1.586915, -1.953125,falling
B, 175255, -0.914795, 0.042847, -0.385986, 0.610352, -1.953125, -0.549316,falling
A, 1620111, -0.986816, 0.182861, 0.039917, 0.366211, -1.525879, -2.319336,falling
B, 175275, -0.915405, 0.061768, -0.382324, 0.305176, -2.258301, -0.427246,falling
A, 1620131, -0.990845, 0.155151, 0.017090, -0.122070, -2.136230, -1.708985,falling
B, 175295, -0.913330, 0.068726, -0.388062, 0.000000, -2.502441, -0.183106,falling
A, 1620151, -0.990967, 0.158325, 0.033325, -0.061035, -3.234864, -0.610352,falling
B, 175315, -0.910645, 0.052246, -0.394775, 1.037598, -2.807618, 0.610352,falling
A, 1620171, -0.987549, 0.175293, 0.041382, 2.075195, -3.601075, -0.427246,falling
B, 175335, -0.914673, 0.021362, -0.386719, 2.868653, -3.051759, 1.708985,falling
A, 1620191, -0.986084, 0.179077, 0.018555, 3.356935, -3.967286, -0.915528,falling
B, 175355, -0.920898, -0.004150, -0.366821, 3.112794, -3.356935, 2.136230,falling
A, 1620211, -0.987549, 0.160889, -0.006836, 1.403809, -4.272461, -1.403809,falling
B, 175375, -0.918701, -0.015869, -0.370117, 0.244141, -3.845216, 1.464844,falling
A, 1620231, -0.994263, 0.142822, -0.043701, -1.708985, -4.333496, -1.525879,falling
B, 175395, -0.889771, -0.016479, -0.438843, -2.197266, -4.760742, 1.525879,falling
A, 1620251, -0.998291, 0.133301, -0.122803, -1.281738, -5.187988, -0.976563,falling
B, 175415, -0.884766, 0.003784, -0.451904, -0.549316, -5.737307, 3.417970,falling
A, 1620271, -0.999023, 0.128662, -0.214722, 1.464844, -7.690432, -0.305176,falling
B, 175435, -0.890015, 0.006226, -0.431030, 0.610352, -7.019045, 5.310059,falling
A, 1620291, -0.999634, 0.112427, -0.226563, 1.281738, -10.498047, 0.488281,falling
B, 175455, -0.887085, -0.019775, -0.436646, -0.976563, -8.361816, 6.103518,falling
A, 1620311, -0.997314, 0.110718, -0.170288, -0.854492, -12.268070, 1.159668,falling
B, 175475, -0.882446, -0.050171, -0.437500, -1.464844, -9.338379, 7.202150,falling
A, 1620331, -0.990845, 0.137817, -0.114136, 1.342773, -13.732914, 1.281738,falling
B, 175495, -0.889160, -0.077759, -0.429688, -0.122070, -10.375977, 9.094238,falling
A, 1620351, -0.987183, 0.129639, -0.193604, 2.624512, -14.465336, 0.061035,falling
B, 175515, -0.891724, -0.111816, -0.418945, 0.732422, -11.474613, 11.291508,falling
A, 1620371, -0.994263, 0.050293, -0.296509, 5.187988, -17.822266, -0.244141,falling
B, 175535, -0.908569, -0.097778, -0.367676, 1.770020, -13.122562, 15.075687,falling
A, 1620391, -1.003296, -0.063232, -0.283081, 9.582520, -22.888191, -0.244141,falling
B, 175555, -0.932861, -0.087158, -0.310059, 10.925293, -13.671879, 21.728516,falling
A, 1620411, -1.030884, -0.285767, -0.072632, 18.127441, -27.038582, 1.525879,falling
B, 175575, -0.960083, -0.118774, -0.254883, 9.216309, -12.634281, 24.292000,falling
A, 1620431, -1.056763, -0.489990, 0.162231, 10.986328, -25.268562, 7.019045,falling
B, 175595, -0.986450, -0.094360, -0.188843, -0.305176, -10.437012, 22.949226,falling
A, 1620451, -1.047607, -0.522339, 0.272217, 2.197266, -22.399910, 13.977055,falling
B, 175615, -1.021484, -0.041870, -0.100220, -9.216309, -7.324221, 22.216805,falling
A, 1620471, -1.021973, -0.469360, 0.353394, -7.446291, -20.568848, 19.470215,falling
B, 175635, -1.032837, -0.007690, -0.049561, -17.028809, -4.455566, 21.301270,falling
A, 1620491, -1.000732, -0.358643, 0.462524, -15.014652, -17.883301, 23.620613,falling
B, 175655, -1.030640, -0.063965, -0.062622, -25.451668, 0.366211, 20.507813,falling
A, 1620511, -0.969360, -0.247192, 0.531006, -20.996094, -13.061527, 26.306160,falling
B, 175675, -1.024170, -0.059448, -0.037354, -30.151375, 4.272461, 19.836426,falling
A, 1620531, -0.959839, -0.197998, 0.479004, -25.512703, -9.826660, 28.015144,falling
B, 175695, -0.976685, -0.008911, -0.158813, -39.245605, 4.516602, 17.089844,falling
A, 1620551, -0.955933, -0.105103, 0.252197, -28.564461, -7.812502, 30.456551,falling
