Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 160775, -0.918823, 0.069336, -0.375732, -0.427246, -0.427246, -0.732422,falling
A, 1605631, -0.986816, 0.187378, 0.058350, -0.732422, -0.610352, -0.305176,falling
B, 160795, -0.917969, 0.072021, -0.376099, 0.183106, -0.488281, -0.488281,falling
A, 1605651, -0.988037, 0.176147, 0.050171, 0.061035, -0.793457, -0.366211,falling
B, 160815, -0.919800, 0.072632, -0.372314, 0.366211, -0.549316, -0.488281,falling
A, 1605671, -0.988403, 0.172974, 0.049805, -0.183106, -0.915528, -0.366211,falling
B, 160835, -0.919678, 0.071655, -0.373901, 0.244141, -0.610352, -0.488281,falling
A, 1605691, -0.989746, 0.170410, 0.054565, 0.000000, -0.976563, -0.366211,falling
B, 160855, -0.919800, 0.059692, -0.374146, 0.549316, -0.671387, -0.427246,falling
A, 1605711, -0.989990, 0.167480, 0.049927, 0.061035, -0.915528, -0.427246,falling
B, 160875, -0.920288, 0.056152, -0.369019, 0.488281, -0.732422, -0.427246,falling
A, 1605731, -0.990356, 0.166626, 0.044800, 0.122070, -0.976563, -0.488281,falling
B, 160895, -0.924194, 0.056641, -0.364746, 0.610352, -0.732422, -0.366211,falling
A, 1605751, -0.990845, 0.158936, 0.050293, 0.122070, -1.098633, -0.549316,falling
B, 160915, -0.923340, 0.056030, -0.365967, 0.183106, -0.732422, -0.427246,falling
A, 1605771, -0.993042, 0.146240, 0.055786, -0.183106, -0.976563, -0.610352,falling
B, 160935, -0.921997, 0.052368, -0.369263, 0.244141, -0.610352, -0.305176,falling
A, 1605791, -0.994019, 0.133911, 0.048706, 0.000000, -0.976563, -0.305176,falling
B, 160955, -0.924561, 0.053711, -0.364990, 0.183106, -0.610352, -0.122070,falling
A, 1605811, -0.995850, 0.129272, 0.044556, -0.427246, -1.037598, 0.000000,falling
B, 160975, -0.927002, 0.050171, -0.357666, -0.122070, -0.427246, 0.061035,falling
A, 1605831, -0.996826, 0.121460, 0.046143, -0.183106, -1.281738, 0.305176,falling
B, 160995, -0.923950, 0.031372, -0.366333, 0.427246, -0.366211, 0.671387,falling
A, 1605851, -0.999268, 0.106934, 0.025024, 1.098633, -1.281738, 0.366211,falling
B, 161015, -0.927490, 0.012207, -0.361084, 1.647950, -0.244141, 1.647950,falling
A, 1605871, -1.002930, 0.077637, 0.004639, 2.563477, -1.708985, 0.671387,falling
B, 161035, -0.932129, 0.009277, -0.348267, 2.075195, -0.122070, 2.441406,falling
A, 1605891, -1.007690, 0.042236, -0.000366, 3.051759, -2.319336, 0.915528,falling
B, 161055, -0.936157, 0.000610, -0.342773, 2.807618, 0.122070, 3.662110,falling
A, 1605911, -1.017212, -0.016113, 0.005981, 5.493164, -2.990724, 1.708985,falling
B, 161075, -0.935547, -0.028076, -0.351074, 5.310059, 0.366211, 6.042482,falling
A, 1605931, -1.026855, -0.095581, -0.031860, 8.239746, -3.540040, 3.112794,falling
B, 161095, -0.939453, -0.070068, -0.340576, 5.859377, 0.915528, 7.873537,falling
A, 1605951, -1.031128, -0.141235, -0.072388, 8.361816, -4.699707, 5.859377,falling
B, 161115, -0.950684, -0.084351, -0.313477, 2.502441, 1.892090, 9.460449,falling
A, 1605971, -1.035400, -0.165405, -0.087891, 5.187988, -5.126953, 7.324221,falling
B, 161135, -0.949829, -0.139404, -0.317993, 0.915528, 2.685547, 11.657719,falling
A, 1605991, -1.042114, -0.237183, -0.117798, 5.859377, -6.896975, 10.742188,falling
B, 161155, -0.947876, -0.186157, -0.321289, 1.831055, 4.150391, 15.747074,falling
A, 1606011, -1.048096, -0.338013, -0.145386, 8.178711, -8.666992, 14.526371,falling
B, 161175, -0.959106, -0.185913, -0.295410, -0.793457, 4.882813, 17.395020,falling
A, 1606031, -1.054810, -0.390503, -0.143433, 2.380371, -9.338379, 18.310547,falling
