Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 885035, -0.882324, -0.114136, -0.475952, 1.647950, -6.591799, -3.051759,falling
A, 1271491, -0.900024, 0.518433, 0.111084, -0.610352, -1.037598, -5.615236,falling
B, 885055, -0.876953, -0.126831, -0.480713, 4.028320, -6.530764, -2.807618,falling
A, 1271511, -0.892212, 0.545410, 0.121948, 0.732422, -0.610352, -7.019045,falling
B, 885075, -0.878052, -0.125244, -0.470337, 4.150391, -7.995607, -3.967286,falling
A, 1271531, -0.881714, 0.577026, 0.122681, 2.929688, -0.366211, -9.460449,falling
B, 885095, -0.882202, -0.103882, -0.463501, 8.178711, -8.300781, -3.356935,falling
A, 1271551, -0.874390, 0.593384, 0.124146, 6.896975, -1.403809, -11.901859,falling
B, 885115, -0.880615, -0.105835, -0.473389, 11.657719, -8.544922, -3.234864,falling
A, 1271571, -0.875488, 0.579346, 0.138306, 8.666992, -1.098633, -13.977055,falling
B, 885135, -0.875610, -0.121826, -0.479980, 14.038090, -9.521484, -3.479005,falling
A, 1271591, -0.875732, 0.569336, 0.129639, 10.864258, -1.159668, -15.625004,falling
B, 885155, -0.878662, -0.107300, -0.471558, 16.296387, -10.986328, -4.394531,falling
A, 1271611, -0.874268, 0.563721, 0.116455, 10.986328, -0.793457, -17.150879,falling
B, 885175, -0.879639, -0.110229, -0.471680, 17.883301, -12.451176, -4.882813,falling
A, 1271631, -0.870239, 0.572388, 0.104980, 13.244633, -1.342773, -18.920898,falling
B, 885195, -0.880493, -0.123413, -0.448975, 21.667480, -12.268070, -4.516602,falling
A, 1271651, -0.872314, 0.540161, 0.139160, 15.380863, -1.281738, -21.179199,falling
B, 885215, -0.882568, -0.144653, -0.431885, 26.733406, -12.695316, -3.784181,falling
A, 1271671, -0.878174, 0.509766, 0.130737, 21.301270, -2.319336, -23.254402,falling
B, 885235, -0.890381, -0.147095, -0.402344, 28.869637, -13.061527, -3.784181,falling
A, 1271691, -0.890869, 0.438354, 0.130249, 21.606445, -1.770020, -24.719246,falling
B, 885255, -0.888794, -0.142090, -0.401001, 27.343758, -14.953617, -5.249023,falling
