Device,timestamp,ax,ay,az,gx,gy,gz,activity
A, 1126810, -0.983276, 0.197632, 0.048218, -0.732422, -1.220703, 0.000000,falling
B, 740375, -0.915405, -0.253052, -0.299683, -0.793457, -0.915528, -0.427246,falling
A, 1126830, -0.981689, 0.205444, 0.050903, -1.342773, -1.281738, 0.061035,falling
B, 740395, -0.914673, -0.256714, -0.300171, -0.305176, -0.793457, -0.305176,falling
A, 1126850, -0.981445, 0.208008, 0.062378, -0.793457, -1.525879, -0.122070,falling
B, 740415, -0.915161, -0.258545, -0.298462, -0.305176, -0.793457, -0.305176,falling
A, 1126870, -0.983521, 0.201782, 0.072632, -0.671387, -1.281738, -0.366211,falling
B, 740435, -0.915894, -0.258545, -0.294556, -0.061035, -0.732422, -0.305176,falling
A, 1126890, -0.982910, 0.191772, 0.066406, -0.183106, -1.403809, -0.488281,falling
B, 740455, -0.916382, -0.253296, -0.295654, -0.061035, -0.732422, -0.305176,falling
A, 1126910, -0.986938, 0.186401, 0.064819, -0.488281, -1.403809, -0.183106,falling
B, 740475, -0.914917, -0.247070, -0.307983, -0.976563, -0.915528, -0.488281,falling
A, 1126930, -0.985474, 0.190430, 0.066406, -1.464844, -1.220703, 0.000000,falling
B, 740495, -0.915894, -0.250366, -0.301880, -0.915528, -0.854492, -0.549316,falling
A, 1126950, -0.984863, 0.194458, 0.070435, -1.342773, -1.220703, 0.305176,falling
B, 740515, -0.915771, -0.257080, -0.298706, -0.915528, -0.793457, -0.427246,falling
A, 1126970, -0.981567, 0.206177, 0.067993, -1.342773, -1.037598, 0.244141,falling
B, 740535, -0.915771, -0.258667, -0.296387, -0.366211, -0.732422, -0.427246,falling
A, 1126990, -0.980591, 0.214111, 0.062500, -0.488281, -1.281738, 0.000000,falling
B, 740555, -0.914307, -0.259644, -0.298462, -0.671387, -0.915528, -0.427246,falling
A, 1127010, -0.980347, 0.212280, 0.058838, -1.159668, -1.098633, -0.305176,falling
B, 740575, -0.912598, -0.256592, -0.303589, -0.671387, -0.976563, -0.488281,falling
A, 1127030, -0.980347, 0.210083, 0.051270, -0.549316, -1.342773, -0.549316,falling
B, 740595, -0.911621, -0.253296, -0.311279, 0.122070, -0.793457, -0.183106,falling
A, 1127050, -0.984619, 0.200073, 0.045288, -0.122070, -1.586915, -0.366211,falling
B, 740615, -0.912842, -0.249878, -0.311890, -0.549316, -1.098633, -0.366211,falling
A, 1127070, -0.983521, 0.197876, 0.049072, -1.525879, -1.403809, -0.122070,falling
B, 740635, -0.919312, -0.248657, -0.292603, -2.136230, -1.586915, -0.854492,falling
A, 1127090, -0.981934, 0.198242, 0.064941, -3.356935, -1.342773, -0.061035,falling
B, 740655, -0.923218, -0.255737, -0.274780, -2.807618, -1.708985, -1.037598,falling
A, 1127110, -0.980835, 0.196167, 0.095215, -3.601075, -1.342773, -0.305176,falling
B, 740675, -0.924438, -0.262329, -0.271973, -1.708985, -1.281738, -0.854492,falling
A, 1127130, -0.983398, 0.183350, 0.126953, -1.770020, -1.159668, -0.793457,falling
B, 740695, -0.930664, -0.256226, -0.258789, 0.854492, 0.122070, -0.183106,falling
A, 1127150, -0.992188, 0.140625, 0.138550, 1.403809, -1.159668, -1.037598,falling
B, 740715, -0.936157, -0.262939, -0.242188, 1.647950, 1.037598, 0.427246,falling
A, 1127170, -1.004761, 0.079468, 0.135864, 1.892090, -0.732422, -0.976563,falling
B, 740735, -0.945435, -0.287964, -0.203003, 0.793457, 2.502441, 0.610352,falling
A, 1127190, -1.018555, 0.004028, 0.137573, 1.586915, -0.427246, -0.061035,falling
