Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 291075, -0.940186, 0.033569, -0.322021, -0.732422, -0.793457, -0.366211,falling
A, 1735931, -0.983643, 0.218018, 0.031372, -0.793457, -1.342773, 0.244141,falling
B, 291095, -0.939453, 0.031128, -0.327881, -0.183106, -0.854492, -0.244141,falling
A, 1735951, -0.982300, 0.218140, 0.037231, -0.305176, -1.342773, 0.244141,falling
B, 291115, -0.939453, 0.026733, -0.325073, 0.183106, -0.793457, -0.122070,falling
A, 1735971, -0.983276, 0.215332, 0.038696, -0.183106, -1.342773, 0.122070,falling
B, 291135, -0.940308, 0.026978, -0.323120, -0.671387, -0.854492, -0.366211,falling
A, 1735991, -0.982788, 0.215820, 0.031494, -1.159668, -1.159668, 0.183106,falling
B, 291155, -0.941528, 0.031860, -0.320679, -1.159668, -0.793457, -0.610352,falling
A, 1736011, -0.981079, 0.218262, 0.040771, -1.403809, -1.281738, 0.122070,falling
B, 291175, -0.940552, 0.035034, -0.322021, -0.915528, -0.854492, -0.488281,falling
A, 1736031, -0.981689, 0.218018, 0.050903, -0.976563, -1.220703, 0.122070,falling
B, 291195, -0.939941, 0.035889, -0.327515, -0.488281, -0.793457, -0.427246,falling
A, 1736051, -0.981812, 0.220825, 0.049072, -0.244141, -1.159668, 0.122070,falling
B, 291215, -0.942383, 0.037720, -0.318359, 0.122070, -0.793457, -0.305176,falling
A, 1736071, -0.980103, 0.218506, 0.044922, -0.122070, -1.220703, 0.061035,falling
B, 291235, -0.941650, 0.031128, -0.316772, -0.244141, -0.671387, -0.427246,falling
A, 1736091, -0.982300, 0.215698, 0.046143, -0.671387, -1.098633, 0.061035,falling
B, 291255, -0.941040, 0.029053, -0.323120, -0.610352, -0.610352, -0.610352,falling
A, 1736111, -0.983032, 0.215942, 0.048950, -1.037598, -0.915528, 0.122070,falling
B, 291275, -0.940552, 0.033325, -0.321655, -0.610352, -0.549316, -0.610352,falling
A, 1736131, -0.981079, 0.220825, 0.045898, -0.854492, -0.793457, 0.061035,falling
B, 291295, -0.942017, 0.036865, -0.319214, -0.366211, -0.549316, -0.610352,falling
A, 1736151, -0.980713, 0.222168, 0.040283, -0.549316, -0.854492, 0.000000,falling
B, 291315, -0.941040, 0.031738, -0.322754, -0.183106, -0.488281, -0.610352,falling
