Device,timestamp,ax,ay,az,gx,gy,gz,activity
A, 1813371, -0.963257, 0.291626, 0.059326, -2.502441, -3.479005, -0.549316,falling
B, 368535, -0.924194, 0.159058, -0.327759, -1.220703, -3.356935, 0.000000,falling
A, 1813391, -0.965332, 0.275391, 0.073364, -1.708985, -3.540040, -0.915528,falling
B, 368555, -0.925171, 0.160400, -0.319458, -1.831055, -3.356935, -0.183106,falling
A, 1813411, -0.966309, 0.261719, 0.081665, -3.417970, -3.356935, -0.366211,falling
B, 368575, -0.928223, 0.171631, -0.312500, -3.051759, -3.356935, -0.610352,falling
A, 1813431, -0.964233, 0.274170, 0.084717, -3.784181, -3.417970, -0.244141,falling
B, 368595, -0.926880, 0.176147, -0.312134, -2.380371, -3.417970, -0.244141,falling
A, 1813451, -0.963867, 0.281006, 0.088745, -2.746582, -3.540040, -0.305176,falling
B, 368615, -0.925781, 0.160034, -0.317871, -1.586915, -3.479005, -0.183106,falling
A, 1813471, -0.964111, 0.284424, 0.087891, -1.831055, -3.540040, -0.610352,falling
B, 368635, -0.928955, 0.153564, -0.310425, -1.220703, -3.540040, -0.122070,falling
A, 1813491, -0.963135, 0.279663, 0.078003, -1.892090, -3.540040, -0.915528,falling
B, 368655, -0.929443, 0.158447, -0.305420, -2.075195, -3.601075, -0.549316,falling
A, 1813511, -0.964600, 0.271362, 0.081299, -3.295899, -3.540040, -0.976563,falling
B, 368675, -0.928711, 0.171753, -0.307251, -3.051759, -3.601075, -0.732422,falling
A, 1813531, -0.966064, 0.268555, 0.089722, -3.723145, -3.540040, -0.976563,falling
B, 368695, -0.926392, 0.174316, -0.312744, -2.258301, -3.723145, -0.549316,falling
A, 1813551, -0.966309, 0.265747, 0.097656, -2.197266, -3.723145, -0.732422,falling
B, 368715, -0.926025, 0.177124, -0.313843, -1.342773, -3.723145, -0.244141,falling
A, 1813571, -0.964355, 0.276978, 0.085327, -1.831055, -3.662110, -0.549316,falling
B, 368735, -0.932007, 0.164185, -0.295288, -1.464844, -3.662110, -0.305176,falling
A, 1813591, -0.962402, 0.281006, 0.089478, -2.807618, -3.845216, -0.732422,falling
B, 368755, -0.932495, 0.153564, -0.296387, -2.380371, -3.845216, -0.671387,falling
A, 1813611, -0.962524, 0.287109, 0.101074, -3.112794, -3.784181, -1.159668,falling
B, 368775, -0.926147, 0.159180, -0.317139, -1.831055, -3.906251, -0.671387,falling
A, 1813631, -0.962158, 0.283447, 0.099121, -1.220703, -3.662110, -1.586915,falling
B, 368795, -0.930420, 0.163940, -0.305786, -0.061035, -3.845216, 0.000000,falling
A, 1813651, -0.965820, 0.252686, 0.085938, -0.488281, -3.784181, -1.831055,falling
B, 368815, -0.935303, 0.159668, -0.284912, -0.549316, -3.967286, -0.122070,falling
A, 1813671, -0.970215, 0.231934, 0.078003, -1.831055, -4.028320, -1.342773,falling
B, 368835, -0.931030, 0.155884, -0.299683, -1.647950, -4.089355, -0.305176,falling
A, 1813691, -0.971191, 0.232300, 0.083618, -3.051759, -4.028320, -0.732422,falling
B, 368855, -0.928467, 0.158325, -0.314087, -2.685547, -3.967286, -0.366211,falling
A, 1813711, -0.970703, 0.235962, 0.084595, -2.929688, -3.967286, -0.610352,falling
B, 368875, -0.942261, 0.118652, -0.270996, -1.281738, -4.028320, 0.732422,falling
A, 1813731, -0.971436, 0.210815, 0.084229, -1.892090, -4.394531, -0.732422,falling
B, 368895, -0.950439, 0.085083, -0.252930, -3.356935, -3.662110, 0.488281,falling
A, 1813751, -0.979614, 0.127686, 0.155396, -8.178711, -3.784181, -0.366211,falling
B, 368915, -0.975952, 0.082275, -0.184448, -9.582520, -2.258301, -1.037598,falling
A, 1813771, -0.983765, 0.006348, 0.352417, -19.958496, -2.258301, 0.671387,falling
B, 368935, -1.049194, 0.080444, 0.023926, -22.338875, 1.586915, -3.784181,falling
A, 1813791, -1.012939, -0.214844, 0.899536, -47.790543, 5.493164, 3.601075,falling
B, 368955, -1.169067, 0.151489, 0.343384, -48.706070, 12.817387, -10.864258,falling
A, 1813811, -1.032104, -0.275513, 1.754150, -93.750031, 35.827637, 15.319828,falling
B, 368975, -1.175171, 0.593750, 0.503662, -74.829102, 23.559578, -33.813477,falling
A, 1813831, -0.904663, -0.027100, 2.390259, -145.629883, 58.105484, 6.347658,falling
B, 368995, -1.202148, 0.853394, 0.534180, -77.392578, 37.231445, -65.429688,falling
A, 1813851, -0.848999, 0.344116, 2.503052, -149.902344, 69.274902, -3.601075,falling
B, 369015, -1.130005, 0.813599, 0.463135, -42.907715, 44.982925, -41.809082,falling
A, 1813871, -0.761597, 0.594238, 2.219238, -68.603516, 57.617203, 8.239746,falling
B, 369035, -1.072388, 0.580933, 0.330322, 27.282722, 52.429214, -7.629396,falling
A, 1813891, -0.760376, 0.324585, 1.705322, 23.803719, 59.265152, 15.441898,falling
B, 369055, -0.970459, 0.520020, 0.116333, 99.487335, 58.837906, 18.554688,falling
A, 1813911, -0.660645, 0.447021, 1.038574, 126.892120, 54.138199, 4.455566,falling
B, 369075, -0.885864, 0.443237, 0.014282, 174.560547, 56.152359, 33.752441,falling
A, 1813931, -0.631958, 0.379883, 0.262207, 210.083069, 45.043961, -7.202150,falling
B, 369095, -0.785034, -0.001221, -0.208252, 196.106018, 54.016129, 42.175293,falling
A, 1813951, -0.576050, 0.211304, -0.326538, 206.481995, 35.644531, -7.385256,falling
B, 369115, -0.707764, -0.193848, -0.503906, 183.349670, 47.729507, 38.391113,falling
A, 1813971, -0.569580, 0.129639, -0.933228, 258.789063, -12.634281, -1.037598,falling
B, 369135, -0.642334, -0.584961, -0.917358, 170.288086, 45.532242, 22.583015,falling
A, 1813991, -0.949463, -0.444946, -1.221313, 272.216797, -0.183106, -17.517090,falling
B, 369155, -0.638794, -0.449219, -0.902710, 171.142578, 37.841797, 15.563969,falling
A, 1814011, -1.121826, -0.302368, -1.075195, 313.171387, -2.807618, -15.747074,falling
B, 369175, -0.669312, -0.247803, -0.795776, 181.640686, 31.250008, 21.728516,falling
A, 1814031, -0.869507, -0.965332, -1.084351, 207.458557, 7.995607, -33.569336,falling
B, 369195, -0.758057, -0.276611, -0.587769, 135.925293, 28.930672, 13.793949,falling
A, 1814051, -1.226563, -1.583618, -1.296631, 132.690430, 18.005371, -29.357918,falling
B, 369215, -0.852173, -0.403809, -0.494873, 40.710449, 25.939949, -5.065918,falling
A, 1814071, -1.167847, -1.072021, -1.267700, -12.451176, 31.494148, 17.883301,falling
B, 369235, -0.761963, -0.520630, -0.716919, -27.893074, 23.010262, -21.301270,falling
A, 1814091, -0.973022, 0.053711, -0.839355, -73.608398, 40.954590, 27.099617,falling
B, 369255, -0.721191, -0.715454, -0.905273, -44.250504, 21.606445, -21.972656,falling
A, 1814111, -0.844238, 0.760986, -0.527466, -82.397461, 46.386734, -3.479005,falling
B, 369275, -0.832642, -0.458130, -0.564575, -62.194839, 22.033691, -26.062019,falling
A, 1814131, -0.884766, 0.505981, -0.693115, -85.388184, 38.391113, -17.700195,falling
B, 369295, -0.813965, -0.058594, -0.541870, -70.373535, 13.061527, -36.560059,falling
A, 1814151, -1.036621, 0.000366, -0.588257, -92.529327, 27.893074, -9.887695,falling
B, 369315, -0.807617, 0.107910, -0.662476, -92.285187, 13.305668, -41.870117,falling
A, 1814171, -1.006470, -0.108643, -0.185547, -97.290070, 25.329597, 4.089355,falling
B, 369335, -0.855835, 0.194946, -0.481323, -85.998535, 16.662598, -37.658691,falling
A, 1814191, -1.007690, -0.197876, 0.156982, -108.215363, 31.982430, 13.122562,falling
B, 369355, -0.926392, 0.131836, -0.276367, -96.984894, 19.897461, -36.804199,falling
A, 1814211, -0.939331, 0.004272, 0.435303, -132.324219, 36.926270, 17.395020,falling
B, 369375, -0.937866, 0.118042, -0.218506, -104.064972, 23.742683, -38.879395,falling
A, 1814231, -0.895508, 0.223633, 0.734131, -150.878906, 46.447769, 12.756351,falling
B, 369395, -0.942017, -0.033813, -0.174072, -108.093292, 32.470703, -40.954590,falling
A, 1814251, -0.879395, 0.332642, 0.786133, -154.968262, 61.584488, 3.479005,falling
B, 369415, -0.888306, -0.085815, -0.243530, -97.229034, 36.682129, -37.841797,falling
A, 1814271, -0.818359, 0.260254, 0.199463, -131.286621, 57.434097, -2.502441,falling
B, 369435, -0.878052, -0.133179, -0.355225, -126.342804, 39.001465, -47.302261,falling
A, 1814291, -0.883301, -0.194458, -0.050049, -170.410156, 58.227554, 10.559082,falling
B, 369455, -0.832642, 0.044678, -0.326538, -179.443420, 45.715347, -62.683121,falling
A, 1814311, -0.846069, 0.066406, 0.067627, -163.208008, 46.569839, 33.874512,falling
B, 369475, -0.825317, 0.207275, -0.311890, -169.433594, 45.593277, -60.241714,falling
A, 1814331, -0.831421, 0.125000, 0.124878, -145.080566, 51.879898, 30.334480,falling
B, 369495, -0.792236, 0.108643, -0.375244, -142.517090, 46.630875, -43.518066,falling
A, 1814351, -0.804199, 0.139648, 0.156128, -140.380859, 55.542007, 31.311043,falling
B, 369515, -0.759399, 0.171387, -0.447998, -135.437012, 50.476089, -37.902832,falling
A, 1814371, -0.793701, -0.017700, 0.117798, -146.179199, 59.570328, 35.888672,falling
B, 369535, -0.753418, 0.102661, -0.359863, -148.620605, 55.236832, -36.376953,falling
A, 1814391, -0.750000, 0.078613, 0.073608, -149.230957, 59.448257, 42.419434,falling
B, 369555, -0.737427, 0.065063, -0.333740, -146.240234, 56.457535, -30.944832,falling
A, 1814411, -0.712036, 0.131104, 0.088501, -144.592285, 58.349625, 43.884277,falling
B, 369575, -0.701172, 0.046265, -0.392212, -141.601563, 57.739273, -25.939949,falling
A, 1814431, -0.711304, 0.086670, 0.118652, -138.732910, 58.105484, 46.936050,falling
B, 369595, -0.741211, 0.077148, -0.401489, -144.409180, 59.875504, -22.827156,falling
A, 1814451, -0.660034, 0.004395, 0.082764, -143.981934, 58.837906, 54.321304,falling
B, 369615, -0.680054, 0.117065, -0.331055, -152.465820, 61.401382, -20.874023,falling
A, 1814471, -0.627319, -0.024902, 0.078491, -161.010742, 58.837906, 60.791031,falling
B, 369635, -0.659424, 0.128784, -0.306396, -170.288086, 63.598648, -20.690918,falling
A, 1814491, -0.578003, -0.036743, 0.120483, -180.664124, 59.753433, 67.749023,falling
B, 369655, -0.553955, 0.091919, -0.319092, -197.265686, 65.673828, -19.165039,falling
A, 1814511, -0.469849, -0.046631, 0.120605, -196.044983, 59.814468, 74.523926,falling
B, 369675, -0.530518, 0.128052, -0.276001, -216.064514, 65.612793, -17.395020,falling
A, 1814531, -0.399414, -0.092896, 0.099121, -214.660706, 58.227554, 82.641602,falling
B, 369695, -0.442017, 0.168701, -0.189941, -243.774475, 66.467285, -17.272949,falling
A, 1814551, -0.389771, -0.101563, 0.089233, -241.088928, 55.969254, 90.942413,falling
B, 369715, -0.555542, 0.187622, -0.194702, -266.235352, 62.438980, -16.113281,falling
A, 1814571, -0.348511, -0.079834, 0.138306, -261.962891, 51.147476, 97.961456,falling
A, 1814591, -0.247314, -0.162231, 0.155151, -284.484863, 48.278824, 106.201202,falling
B, 369755, -0.378784, 0.255981, -0.129639, -314.331055, 56.762711, -11.596684,falling
A, 1814611, -0.146118, -0.151978, 0.116089, -307.006836, 40.405273, 114.807159,falling
B, 369775, -0.286133, 0.362793, -0.094482, -334.167480, 50.170914, -11.352543,falling
A, 1814631, -0.035767, -0.050903, 0.039673, -307.983398, 22.277840, 120.239288,falling
A, 1814651, -0.026367, -0.150269, 0.069214, -314.636230, 9.216309, 123.107941,falling
A, 1814671, 0.014648, -0.123657, 0.071045, -325.927734, -1.953125, 124.572784,falling
A, 1814691, 0.131104, -0.071777, 0.011963, -326.354980, -17.028809, 123.535187,falling
A, 1814711, 0.266724, -0.064575, -0.005493, -319.458008, -33.813477, 119.995148,falling
B, 369815, -0.295532, 0.328613, -0.069458, -345.092773, 16.479492, 8.117676,falling
B, 369835, -0.312988, 0.430786, 0.032471, -347.351074, 7.019045, 17.395020,falling
B, 369855, -0.213013, 0.423218, 0.084717, -342.590332, -8.056641, 21.179199,falling
B, 369875, -0.141724, 0.353882, 0.123291, -337.524414, -24.475105, 25.451668,falling
A, 1814731, 0.371338, -0.053833, 0.001221, -316.406250, -48.645035, 113.098175,falling
A, 1814751, 0.443848, -0.019897, -0.005249, -312.255859, -62.683121, 103.637726,falling
A, 1814771, 0.487061, 0.013916, -0.059448, -296.813965, -77.697754, 89.721710,falling
A, 1814791, 0.497437, -0.086548, -0.083740, -287.658691, -91.796906, 63.903824,falling
A, 1814811, 0.534424, -0.020142, 0.131104, -290.405273, -105.834991, 62.133804,falling
A, 1814831, 0.647827, -0.061035, -0.076416, -291.503906, -111.084015, 46.997086,falling
B, 369895, -0.112061, 0.344604, 0.161743, -333.007813, -41.503906, 26.367195,falling
B, 369915, -0.115845, 0.356201, 0.234375, -323.486328, -57.373062, 26.245125,falling
B, 369935, -0.131592, 0.414307, 0.225708, -303.588867, -81.481934, 23.986824,falling
B, 369955, -0.189209, 0.323486, 0.234863, -299.011230, -97.656281, 19.042969,falling
B, 369975, -0.113159, 0.209229, 0.087769, -289.367676, -116.455109, 17.211914,falling
B, 369995, -0.177979, 0.237915, 0.428467, -285.278320, -113.464386, 6.774904,falling
A, 1814851, 0.725586, 0.160400, -0.199097, -268.798828, -122.802765, 27.282722,falling
B, 370015, -0.272827, 0.184082, 0.463989, -252.441467, -125.976593, 6.286623,falling
A, 1814871, 0.738159, 0.058350, -0.148560, -237.304749, -135.192871, 6.591799,falling
B, 370035, -0.165405, 0.211670, 0.338867, -223.449768, -152.954102, 3.479005,falling
A, 1814891, 0.786133, -0.081909, -0.147095, -217.956604, -146.240234, -6.347658,falling
A, 1814911, 1.551514, -1.405396, 1.411743, -619.873047, -263.061523, 36.071777,falling
A, 1814931, 0.764526, 0.726563, 0.566772, -210.510315, -112.792999, -6.286623,falling
A, 1814951, -1.843872, -1.930908, 0.995972, -18.615723, -60.302750, -4.089355,falling
A, 1814971, 1.256104, 0.489136, -1.820190, 120.483429, -175.476074, -46.569839,falling
A, 1814991, -1.006714, -2.176270, 2.518188, -438.110474, 125.000031, -46.508804,falling
A, 1815011, 1.018799, 1.352661, -2.169922, 188.476624, -100.585968, -132.934570,falling
B, 370055, 0.221069, -0.530762, 1.488403, -249.572815, -323.852539, 100.708038,falling
B, 370075, 0.228149, 0.233887, 0.615234, -41.625977, 12.817387, -63.842789,falling
B, 370095, -0.513428, 0.705566, -0.456543, 81.359863, -86.914063, -34.545898,falling
B, 370115, 0.501099, -0.230103, 0.090820, 108.947784, 224.182190, -44.616714,falling
B, 370135, -0.228027, -0.859741, 0.828369, -76.965332, -76.599121, -100.341827,falling
B, 370155, -0.156494, 0.208618, -1.367310, -335.693359, -202.941956, 12.634281,falling
B, 370175, 0.741211, 1.553467, 1.289673, 53.405777, -56.640640, -90.881378,falling
A, 1815031, -0.679199, -2.516968, 2.690796, -438.842896, 62.988297, 40.649414,falling
B, 370195, -1.370850, 0.041382, 2.267090, -299.194336, 22.338875, -118.225128,falling
A, 1815051, 0.724365, 2.294678, -1.824097, -242.797913, 2.624512, -26.123055,falling
B, 370215, 0.285278, -1.099243, -1.345337, -184.265198, -8.544922, 8.972168,falling
A, 1815071, -0.489014, -2.624634, 2.012817, -407.348755, 51.696793, -4.821777,falling
B, 370235, 0.114624, 1.242798, 0.986450, -596.740723, 28.625496, -238.220276,falling
A, 1815091, 0.722046, -2.247559, 0.333008, -389.709595, 54.748550, 131.652832,falling
B, 370255, 0.204590, -1.496582, 1.118286, -239.135803, 54.321304, -22.705086,falling
A, 1815111, 0.246216, 0.189575, 1.601196, -398.620728, 43.945313, 4.943848,falling
B, 370275, 0.433594, -0.463013, -0.637939, -342.590332, 54.626480, -38.330078,falling
A, 1815131, -0.350952, -1.187744, -1.330566, -131.469727, 60.974136, 1.037598,falling
B, 370295, 0.123413, 1.975342, 0.491455, -102.966339, 20.446777, -63.171402,falling
A, 1815151, -0.157593, -0.539673, 0.397705, -45.043961, 15.930180, 66.711426,falling
