Device,timestamp,ax,ay,az,gx,gy,gz,activity
A, 1794891, -0.969116, 0.240723, 0.121826, -0.244141, -0.671387, 0.000000,falling
B, 350055, -0.938843, 0.091919, -0.316528, 0.000000, -0.366211, -0.366211,falling
A, 1794911, -0.968384, 0.242798, 0.119141, -0.366211, -0.610352, 0.244141,falling
B, 350075, -0.939941, 0.092285, -0.313721, -0.061035, -0.244141, -0.366211,falling
A, 1794931, -0.968872, 0.247070, 0.123657, 0.122070, -0.671387, 0.305176,falling
B, 350095, -0.938599, 0.081787, -0.316895, 0.549316, 0.061035, -0.122070,falling
A, 1794951, -0.968506, 0.246826, 0.129517, 0.366211, -0.488281, 0.305176,falling
B, 350115, -0.940186, 0.073730, -0.313477, 0.427246, 0.183106, -0.244141,falling
A, 1794971, -0.967407, 0.248291, 0.126343, 0.000000, -0.122070, 0.244141,falling
B, 350135, -0.938599, 0.077148, -0.314331, -0.244141, 0.305176, -0.549316,falling
A, 1794991, -0.966553, 0.253052, 0.116943, -0.488281, 0.122070, 0.122070,falling
B, 350155, -0.937744, 0.086304, -0.317749, -0.183106, 0.427246, -0.488281,falling
A, 1795011, -0.968628, 0.249268, 0.110107, -0.244141, 0.122070, 0.000000,falling
B, 350175, -0.936646, 0.091797, -0.319946, 0.244141, 0.549316, -0.366211,falling
A, 1795031, -0.970093, 0.242188, 0.111938, 0.366211, 0.000000, 0.244141,falling
B, 350195, -0.936157, 0.099487, -0.321289, 0.549316, 0.610352, -0.366211,falling
A, 1795051, -0.968140, 0.246948, 0.124268, 0.549316, 0.122070, 0.732422,falling
B, 350215, -0.938232, 0.093628, -0.319336, 1.037598, 0.854492, -0.061035,falling
A, 1795071, -0.965942, 0.255615, 0.128784, 0.976563, 0.183106, 0.854492,falling
B, 350235, -0.939209, 0.084595, -0.314819, 1.037598, 1.037598, -0.244141,falling
A, 1795091, -0.962891, 0.270508, 0.131592, 1.037598, 0.488281, 0.671387,falling
B, 350255, -0.938110, 0.084839, -0.315796, 1.159668, 1.220703, -0.366211,falling
A, 1795111, -0.962891, 0.277344, 0.130859, 1.403809, 0.671387, 0.122070,falling
B, 350275, -0.937622, 0.087036, -0.319702, 1.586915, 1.281738, -0.366211,falling
A, 1795131, -0.963501, 0.267822, 0.127930, 1.647950, 0.915528, -0.244141,falling
B, 350295, -0.939209, 0.081909, -0.317505, 1.586915, 1.525879, -0.488281,falling
A, 1795151, -0.967285, 0.249023, 0.122803, 1.403809, 1.220703, -0.488281,falling
B, 350315, -0.939819, 0.077148, -0.313721, 1.586915, 1.708985, -0.549316,falling
A, 1795171, -0.971313, 0.227051, 0.120728, 1.525879, 1.281738, -0.305176,falling
B, 350335, -0.938965, 0.086426, -0.315796, 1.342773, 1.831055, -0.732422,falling
A, 1795191, -0.972656, 0.219727, 0.126221, 1.342773, 1.464844, 0.305176,falling
B, 350355, -0.937378, 0.102051, -0.320801, 2.380371, 2.319336, -0.122070,falling
A, 1795211, -0.972534, 0.222900, 0.124878, 2.502441, 1.342773, 0.854492,falling
B, 350375, -0.939575, 0.088623, -0.315063, 2.746582, 2.563477, 0.061035,falling
A, 1795231, -0.969482, 0.241577, 0.131836, 2.441406, 1.708985, 1.464844,falling
B, 350395, -0.938477, 0.078125, -0.319458, 2.380371, 2.807618, -0.122070,falling
A, 1795251, -0.963623, 0.271729, 0.120239, 3.051759, 1.892090, 1.220703,falling
B, 350415, -0.933350, 0.079956, -0.333130, 3.356935, 2.868653, 0.000000,falling
A, 1795271, -0.962769, 0.288208, 0.101685, 5.126953, 1.892090, 0.488281,falling
B, 350435, -0.929321, 0.077148, -0.340698, 5.126953, 2.929688, 0.549316,falling
A, 1795291, -0.964111, 0.282471, 0.078857, 5.004883, 2.014160, 0.000000,falling
B, 350455, -0.927002, 0.075562, -0.346313, 4.089355, 2.868653, 0.061035,falling
A, 1795311, -0.967285, 0.271606, 0.058838, 2.502441, 2.319336, -0.061035,falling
B, 350475, -0.923462, 0.075928, -0.355347, 0.793457, 2.563477, -1.037598,falling
A, 1795331, -0.970215, 0.263916, 0.043213, 0.488281, 2.319336, 0.061035,falling
B, 350495, -0.918945, 0.085205, -0.368652, -0.244141, 2.319336, -1.464844,falling
A, 1795351, -0.970459, 0.264893, 0.037354, -0.732422, 2.197266, 0.427246,falling
B, 350515, -0.921753, 0.090088, -0.364136, -1.220703, 2.136230, -1.586915,falling
A, 1795371, -0.969360, 0.274902, 0.034302, -1.586915, 2.014160, 0.610352,falling
B, 350535, -0.921753, 0.082031, -0.367065, 0.183106, 1.831055, -1.037598,falling
A, 1795391, -0.967285, 0.280273, 0.029541, 0.549316, 1.220703, 0.244141,falling
B, 350555, -0.920410, 0.070068, -0.371094, 1.647950, 1.464844, -0.549316,falling
A, 1795411, -0.969971, 0.266602, 0.047363, 0.427246, 0.976563, 0.122070,falling
B, 350575, -0.923218, 0.072144, -0.363037, 0.244141, 1.342773, -1.098633,falling
A, 1795431, -0.967896, 0.272217, 0.047241, -0.854492, 1.037598, 0.244141,falling
B, 350595, -0.923462, 0.083374, -0.359253, -0.549316, 1.098633, -1.403809,falling
A, 1795451, -0.966064, 0.280029, 0.053833, -0.915528, 0.732422, 0.244141,falling
B, 350615, -0.921509, 0.084717, -0.369019, -0.061035, 0.854492, -1.098633,falling
A, 1795471, -0.968262, 0.285034, 0.056152, -0.427246, 0.671387, 0.000000,falling
B, 350635, -0.922119, 0.066650, -0.371094, 0.427246, 0.671387, -0.915528,falling
A, 1795491, -0.967285, 0.282349, 0.042847, 0.183106, 0.671387, -0.488281,falling
B, 350655, -0.921753, 0.045044, -0.361938, 0.671387, 0.427246, -0.793457,falling
A, 1795511, -0.970581, 0.263184, 0.022949, -0.305176, 0.488281, -0.915528,falling
B, 350675, -0.923096, 0.041870, -0.359741, -0.854492, 0.122070, -1.281738,falling
A, 1795531, -0.975708, 0.243042, 0.012451, -1.586915, 0.305176, -1.098633,falling
B, 350695, -0.918335, 0.066895, -0.373291, -1.098633, -0.305176, -1.342773,falling
A, 1795551, -0.980469, 0.227295, 0.007690, -0.976563, -0.305176, -0.793457,falling
B, 350715, -0.917236, 0.080200, -0.382202, 0.000000, -0.366211, -0.366211,falling
A, 1795571, -0.984619, 0.203247, 0.016113, -0.549316, -0.854492, 0.122070,falling
B, 350735, -0.924194, 0.065796, -0.359375, -1.220703, -0.549316, -0.244141,falling
A, 1795591, -0.979126, 0.215942, 0.039429, -4.455566, -0.976563, 1.708985,falling
B, 350755, -0.927612, 0.058105, -0.348633, -4.638672, -0.732422, -1.220703,falling
A, 1795611, -0.969971, 0.257568, 0.071777, -5.615236, -0.915528, 1.831055,falling
B, 350775, -0.925415, 0.065308, -0.357056, -4.516602, -0.732422, -1.037598,falling
A, 1795631, -0.965210, 0.283691, 0.087402, -4.028320, -0.793457, 1.159668,falling
B, 350795, -0.928955, 0.060791, -0.347168, -2.441406, -0.610352, -0.244141,falling
A, 1795651, -0.966919, 0.265869, 0.090698, -2.380371, -0.854492, 0.305176,falling
B, 350815, -0.937988, 0.049316, -0.318848, -2.502441, -0.488281, -0.244141,falling
A, 1795671, -0.972412, 0.215942, 0.111206, -4.455566, -0.549316, 0.061035,falling
B, 350835, -0.949585, 0.047241, -0.287109, -5.615236, -0.122070, -1.220703,falling
A, 1795691, -0.979980, 0.157715, 0.169800, -8.239746, 0.183106, 0.549316,falling
B, 350855, -0.956787, 0.052124, -0.271606, -8.605957, 0.671387, -1.892090,falling
A, 1795711, -0.989380, 0.085693, 0.242554, -10.253906, 1.403809, 1.464844,falling
