Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 903455, -0.920410, -0.125244, -0.342163, -7.690432, 16.357422, -2.563477,falling
A, 1289911, -0.951172, 0.214233, 0.134888, -4.516602, 5.859377, 19.897461,falling
B, 903475, -0.915039, -0.101318, -0.354492, -12.756351, 15.625004, -4.821777,falling
A, 1289931, -0.925415, 0.325928, 0.135132, -10.803223, 7.446291, 20.385742,falling
B, 903495, -0.906860, -0.113770, -0.375000, -16.113281, 15.380863, -6.225588,falling
A, 1289951, -0.905029, 0.437012, 0.123535, -13.122562, 8.728027, 18.981934,falling
B, 903515, -0.892822, -0.145996, -0.403442, -14.526371, 15.014652, -6.164553,falling
A, 1289971, -0.900513, 0.494873, 0.077393, -5.737307, 7.934572, 16.296387,falling
B, 903535, -0.867920, -0.091309, -0.476074, -6.591799, 13.977055, -4.882813,falling
A, 1289991, -0.890869, 0.540283, 0.035156, -0.366211, 6.652834, 14.587406,falling
B, 903555, -0.843994, -0.066162, -0.561035, -7.873537, 10.681152, -7.080080,falling
A, 1290011, -0.875000, 0.613525, 0.032715, -0.732422, 6.103518, 13.793949,falling
B, 903575, -0.841797, -0.082642, -0.608521, -7.873537, 10.253906, -6.896975,falling
A, 1290031, -0.865845, 0.693970, 0.037354, -3.601075, 7.019045, 12.207035,falling
B, 903595, -0.837646, -0.096436, -0.591797, -2.075195, 10.375977, -5.065918,falling
A, 1290051, -0.861206, 0.726440, 0.006470, -0.854492, 6.164553, 8.361816,falling
B, 903615, -0.853394, -0.098999, -0.535034, 0.793457, 8.117676, -5.126953,falling
A, 1290071, -0.852295, 0.765869, 0.008667, 5.249023, 4.760742, 5.187988,falling
B, 903635, -0.851685, -0.092407, -0.544678, 4.760742, 5.981447, -4.882813,falling
A, 1290091, -0.847168, 0.784668, 0.064819, 5.187988, 4.882813, 1.220703,falling
B, 903655, -0.836304, -0.094849, -0.588745, 4.272461, 2.685547, -6.652834,falling
A, 1290111, -0.855713, 0.751221, 0.088135, 2.624512, 6.469728, -1.159668,falling
B, 903675, -0.829834, -0.097046, -0.617188, -0.122070, -1.098633, -9.399414,falling
A, 1290131, -0.856323, 0.746338, 0.056030, -1.892090, 7.751467, -2.990724,falling
B, 903695, -0.844360, -0.075195, -0.583374, -2.807618, -2.929688, -11.352543,falling
A, 1290151, -0.862549, 0.706543, 0.066772, -8.544922, 9.460449, -4.516602,falling
B, 903715, -0.853516, -0.074829, -0.537476, -7.751467, -6.652834, -14.404301,falling
A, 1290171, -0.853027, 0.722168, 0.100952, -12.329105, 10.375977, -6.286623,falling
B, 903735, -0.845947, -0.104004, -0.559937, -3.784181, -8.178711, -14.465336,falling
A, 1290191, -0.848267, 0.753784, 0.103271, -6.530764, 10.192871, -9.765625,falling
B, 903755, -0.843506, -0.121094, -0.557861, 0.488281, -9.033203, -14.221195,falling
A, 1290211, -0.856812, 0.700073, 0.061279, -4.760742, 10.925293, -13.183598,falling
B, 903775, -0.849609, -0.105225, -0.534424, -1.098633, -11.657719, -15.991215,falling
A, 1290231, -0.867188, 0.632690, -0.032104, -8.239746, 11.108402, -15.625004,falling
B, 903795, -0.835327, -0.142700, -0.551880, -1.342773, -14.648441, -17.089844,falling
A, 1290251, -0.872192, 0.610229, -0.031250, -8.117676, 10.925293, -17.395020,falling
B, 903815, -0.833496, -0.191040, -0.534668, 2.685547, -15.136723, -16.052246,falling
A, 1290271, -0.880615, 0.564331, -0.077515, -2.990724, 10.314941, -19.531250,falling
B, 903835, -0.841675, -0.211792, -0.489624, 7.385256, -16.296387, -14.831547,falling
A, 1290291, -0.892090, 0.503052, -0.144409, 0.427246, 8.789063, -21.118164,falling
B, 903855, -0.850586, -0.217773, -0.465332, 5.554201, -18.066406, -15.136723,falling
A, 1290311, -0.905151, 0.450439, -0.182251, -4.394531, 8.544922, -22.216805,falling
B, 903875, -0.848389, -0.253418, -0.445923, 2.075195, -19.775391, -15.808109,falling
A, 1290331, -0.910645, 0.411255, -0.181641, -8.850098, 8.544922, -22.705086,falling
B, 903895, -0.848022, -0.283569, -0.437012, -0.671387, -21.545410, -16.357422,falling
A, 1290351, -0.917358, 0.375610, -0.147827, -10.742188, 8.422852, -23.437508,falling
B, 903915, -0.859253, -0.270630, -0.412598, -2.441406, -22.705086, -16.418457,falling
A, 1290371, -0.924805, 0.328125, -0.166748, -10.253906, 8.178711, -24.658211,falling
B, 903935, -0.874146, -0.270630, -0.356079, -1.525879, -22.888191, -14.953617,falling
A, 1290391, -0.944336, 0.239014, -0.159546, -10.498047, 6.958010, -24.780281,falling
B, 903955, -0.873535, -0.306274, -0.354248, -6.896975, -24.108894, -16.174316,falling
A, 1290411, -0.964478, 0.149902, -0.151733, -19.958496, 7.995607, -23.376472,falling
B, 903975, -0.877686, -0.309448, -0.325928, -14.709476, -25.146492, -18.066406,falling
A, 1290431, -0.971069, 0.128662, -0.159790, -25.695808, 9.033203, -22.094727,falling
B, 903995, -0.889771, -0.302856, -0.302246, -16.601563, -25.390633, -18.005371,falling
A, 1290451, -0.977905, 0.107422, -0.201904, -23.742683, 7.812502, -21.972656,falling
B, 904015, -0.897827, -0.335327, -0.272461, -11.657719, -23.376472, -15.014652,falling
A, 1290471, -0.993408, 0.048096, -0.196777, -18.859863, 5.859377, -21.728516,falling
B, 904035, -0.898315, -0.348877, -0.266602, -8.300781, -21.911621, -12.634281,falling
A, 1290491, -1.006470, -0.002563, -0.188721, -18.798828, 5.371094, -20.874023,falling
B, 904055, -0.912476, -0.335327, -0.233765, -13.732914, -22.033691, -13.610844,falling
A, 1290511, -1.024170, -0.072632, -0.159180, -22.460945, 5.432129, -18.981934,falling
B, 904075, -0.917358, -0.328247, -0.222412, -20.935059, -22.399910, -15.136723,falling
A, 1290531, -1.026001, -0.079834, -0.144897, -28.869637, 6.347658, -16.357422,falling
B, 904095, -0.911987, -0.334106, -0.243652, -20.446777, -21.545410, -14.282230,falling
A, 1290551, -1.018677, -0.024658, -0.158447, -26.306160, 5.310059, -14.953617,falling
B, 904115, -0.915649, -0.328369, -0.238159, -10.070801, -18.188477, -9.948730,falling
A, 1290571, -1.016235, -0.003052, -0.166382, -15.075687, 2.746582, -15.258793,falling
B, 904135, -0.926147, -0.317627, -0.211670, -0.305176, -15.441898, -5.920412,falling
A, 1290591, -1.026489, -0.044556, -0.122314, -3.356935, -0.732422, -14.709476,falling
B, 904155, -0.924683, -0.321289, -0.218628, 1.892090, -14.099125, -4.272461,falling
A, 1290611, -1.032837, -0.069458, -0.123047, -2.990724, -1.098633, -13.488773,falling
B, 904175, -0.924683, -0.356201, -0.207764, 1.037598, -12.573246, -3.417970,falling
A, 1290631, -1.044800, -0.107422, -0.125977, -8.789063, -0.122070, -11.291508,falling
B, 904195, -0.929321, -0.332642, -0.197388, -7.995607, -12.695316, -4.882813,falling
A, 1290651, -1.036865, -0.069336, -0.158081, -13.183598, 0.183106, -9.155273,falling
B, 904215, -0.927124, -0.340698, -0.208984, -10.070801, -12.817387, -5.126953,falling
A, 1290671, -1.030640, -0.026123, -0.156738, -12.939457, -0.976563, -8.056641,falling
B, 904235, -0.922974, -0.334961, -0.223389, -6.408693, -11.169437, -3.051759,falling
A, 1290691, -1.020142, 0.020142, -0.139404, -8.300781, -2.014160, -7.873537,falling
B, 904255, -0.915039, -0.328735, -0.236694, 0.183106, -9.765625, -0.183106,falling
A, 1290711, -1.015869, 0.045410, -0.149780, 0.610352, -4.455566, -8.117676,falling
B, 904275, -0.912354, -0.323975, -0.252197, 6.774904, -7.690432, 2.929688,falling
A, 1290731, -1.017090, 0.046753, -0.172363, 5.676271, -5.981447, -8.056641,falling
B, 904295, -0.911743, -0.326416, -0.256958, 8.239746, -7.385256, 4.272461,falling
A, 1290751, -1.019531, 0.041382, -0.195679, 5.554201, -7.629396, -7.019045,falling
B, 904315, -0.914795, -0.371338, -0.226318, 5.065918, -7.263186, 4.943848,falling
A, 1290771, -1.020020, 0.033691, -0.198120, 2.624512, -7.812502, -6.042482,falling
B, 904335, -0.914429, -0.375000, -0.221191, 4.028320, -7.324221, 5.676271,falling
A, 1290791, -1.020020, 0.046753, -0.208862, 2.807618, -8.789063, -5.859377,falling
B, 904355, -0.912598, -0.367310, -0.225220, 3.234864, -7.324221, 6.652834,falling
A, 1290811, -1.017090, 0.054810, -0.231201, 1.708985, -9.521484, -5.615236,falling
B, 904375, -0.912720, -0.352051, -0.235474, 1.220703, -7.568361, 7.202150,falling
A, 1290831, -1.017700, 0.043945, -0.229126, -0.549316, -10.559082, -5.310059,falling
B, 904395, -0.914551, -0.343872, -0.228882, -2.197266, -7.873537, 7.324221,falling
A, 1290851, -1.020508, 0.020630, -0.184937, -6.103518, -10.498047, -4.150391,falling
B, 904415, -0.916626, -0.344604, -0.224487, -7.507326, -8.666992, 6.652834,falling
A, 1290871, -1.019043, 0.018677, -0.165405, -9.338379, -10.437012, -3.356935,falling
B, 904435, -0.917480, -0.348511, -0.220337, -7.141115, -8.361816, 7.995607,falling
A, 1290891, -1.018311, 0.017456, -0.200195, -5.432129, -12.084965, -3.234864,falling
B, 904455, -0.931519, -0.331055, -0.185913, -3.906251, -6.835939, 10.864258,falling
A, 1290911, -1.027710, -0.033936, -0.174683, -4.211426, -13.488773, -2.746582,falling
B, 904475, -0.934082, -0.319092, -0.177856, -10.192871, -7.385256, 9.948730,falling
A, 1290931, -1.028320, -0.061279, -0.120972, -12.756351, -13.122562, -0.427246,falling
B, 904495, -0.937500, -0.317749, -0.178101, -13.427738, -7.385256, 9.643555,falling
A, 1290951, -1.026733, -0.057739, -0.085083, -13.427738, -13.305668, 0.610352,falling
B, 904515, -0.940430, -0.303467, -0.173828, -11.779789, -6.225588, 10.986328,falling
A, 1290971, -1.023438, -0.068237, -0.055298, -9.826660, -14.526371, 1.281738,falling
B, 904535, -0.954346, -0.258789, -0.156860, -10.742188, -5.004883, 11.657719,falling
A, 1290991, -1.026245, -0.102173, 0.047607, -14.282230, -13.793949, 2.990724,falling
B, 904555, -0.961182, -0.218872, -0.150269, -19.226074, -5.859377, 9.155273,falling
A, 1291011, -1.016357, -0.062744, 0.078613, -19.470215, -12.268070, 4.943848,falling
B, 904575, -0.959473, -0.214844, -0.170532, -18.066406, -4.699707, 9.582520,falling
A, 1291031, -1.006958, -0.005859, 0.099731, -13.549809, -13.183598, 5.126953,falling
B, 904595, -0.960449, -0.215088, -0.175049, -7.568361, -1.159668, 12.756351,falling
A, 1291051, -1.007446, 0.002808, 0.112183, -5.554201, -13.549809, 4.821777,falling
B, 904615, -0.977051, -0.172241, -0.138916, -3.540040, 0.854492, 13.366703,falling
A, 1291071, -1.005371, -0.038574, 0.137695, -2.441406, -14.282230, 5.126953,falling
B, 904635, -0.977173, -0.157959, -0.132324, -14.099125, -0.305176, 9.643555,falling
A, 1291091, -1.013428, -0.061768, 0.204956, -11.840824, -11.291508, 6.652834,falling
B, 904655, -0.976440, -0.172241, -0.154907, -10.803223, 1.342773, 10.742188,falling
A, 1291111, -1.012939, -0.038940, 0.172852, -5.004883, -11.169437, 7.385256,falling
B, 904675, -0.969849, -0.198975, -0.162598, -5.004883, 4.028320, 11.840824,falling
A, 1291131, -1.022583, -0.088623, 0.166260, 1.831055, -11.474613, 8.239746,falling
