diff_window_id,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,device,activity
0,0.01391600000000004,-0.011596999999999968,-0.00034668500000000104,0.073853,-0.06237800000000002,-0.00283812,0.057129,-0.045410000000000006,0.0029101549999999998,1.098634,-1.9531260000000001,-0.042419439999999996,2.6855469999999997,-2.075196,0.172119095,3.173828,-1.8310540000000002,0.23895261500000003,A,riding
1,0.017212000000000005,-0.01391600000000004,0.0001263299999999984,0.09436000000000003,-0.081054,-0.00021426499999999945,0.066162,-0.05859399999999999,0.00048825499999999994,1.464844,-1.9531260000000001,0.013427720000000006,2.6855469999999997,-3.112793,-0.13824469,3.173829,-3.8452150000000005,0.021667489999999994,A,riding
2,0.017212000000000005,-0.01391600000000004,0.0009192200000000017,0.09436000000000003,-0.081054,0.004332870000000001,0.066162,-0.05859399999999999,0.0001379600000000003,1.464844,-1.9531260000000001,0.03204345,2.6855469999999997,-3.112793,0.05798341500000001,3.173829,-4.882814,-0.18920901500000004,A,riding
3,0.017212000000000005,-0.02722200000000008,-0.0002721900000000005,0.09875500000000001,-0.145874,-0.000951525,0.066162,-0.05859399999999999,-0.0017260799999999998,1.464844,-1.9531260000000001,0.01800539,2.319336,-3.112793,-0.18218998999999997,5.126953,-4.882814,-0.16387939499999996,A,riding
4,0.017212000000000005,-0.02722200000000008,0.0003710949999999996,0.09875500000000001,-0.145874,0.00211975,0.066162,-0.05859399999999999,-0.0026245149999999996,1.464844,-1.770021,0.03082275,2.197267,-3.112793,-0.039062480000000004,5.126953,-4.882814,-0.05279545499999998,A,riding
5,0.016846000000000028,-0.02722200000000008,-0.00028381499999999727,0.09875500000000001,-0.145874,-0.00039425500000000004,0.045532,-0.055053000000000005,-0.00213928,1.403809,-1.647949,0.008850100000000001,2.01416,-2.319336,0.17883302,5.126953,-4.882814,0.03845214500000003,A,riding
6,0.016846000000000028,-0.02722200000000008,-0.0008123950000000013,0.09875500000000001,-0.145874,-0.003943475,0.048951,-0.055053000000000005,0.0004296899999999999,1.8920910000000002,-1.7700200000000001,-0.01647949,2.807617,-2.319336,0.17547610499999997,5.126953,-4.272461,0.327148435,A,riding
7,0.012085000000000012,-0.010986999999999969,0.0003094400000000025,0.07092299999999999,-0.064942,0.0009063800000000002,0.10534600000000001,-0.077515,0.0043139499999999996,1.8920910000000002,-1.7700200000000001,0.02136231,3.723145,-4.333497,-0.05249022500000001,2.319336,-2.3803710000000002,-0.02166747,A,riding
8,0.012085000000000012,-0.010986999999999969,0.00045043500000000125,0.07092299999999999,-0.064942,0.00268065,0.10534600000000001,-0.077515,3.66099999999997e-05,1.8920910000000002,-1.7700200000000001,-0.02227785,3.845216,-4.333497,-0.181579595,2.746582,-2.3803710000000002,-0.09490967,A,riding
9,0.012085000000000012,-0.010986999999999969,0.0009051399999999987,0.07092299999999999,-0.064942,0.005025030000000001,0.10534600000000001,-0.077515,0.00011293000000000053,1.8920910000000002,-1.7700200000000001,-0.02838135499999999,3.845216,-4.333497,-0.099487325,2.746582,-2.3803710000000002,-0.03723147499999998,A,riding
10,0.015257999999999994,-0.012939000000000034,0.0007482800000000011,0.08349599999999999,-0.06836,0.004310909999999999,0.10534600000000001,-0.077515,-0.0007848999999999997,1.64795,-1.464844,0.004577635000000009,3.845216,-4.333497,-0.13549808000000002,2.9296879999999996,-2.685547,-0.16906741000000003,A,riding
11,0.015257999999999994,-0.016235,-0.00012574000000000363,0.08349599999999999,-0.09216299999999997,-2.8064999999999617e-05,0.066528,-0.068115,-0.0023913449999999996,1.098633,-1.464844,-0.036621105,3.845216,-2.868653,0.06561280500000001,2.9296879999999996,-2.685547,0.08453366500000001,A,riding
12,0.015257999999999994,-0.016235,0.0001062099999999977,0.08349599999999999,-0.09216299999999997,0.0007080199999999997,0.066528,-0.068115,0.0013519250000000006,1.098633,-1.281738,0.03112794,2.4414059999999997,-1.708985,0.3302002,2.9296879999999996,-2.685547,0.119018585,A,riding
13,0.015257999999999994,-0.016235,-0.0004284549999999987,0.08349599999999999,-0.09216299999999997,-0.003222055,0.08313000000000001,-0.068115,0.002624495,1.098633,-1.281738,-0.0036620999999999993,2.4414059999999997,-3.4790050000000003,-0.19958499500000002,2.9296879999999996,-2.685547,-0.24108890999999996,A,riding
14,0.011962999999999946,-0.016235,-7.995499999999878e-05,0.059692999999999996,-0.09216299999999997,-0.0006402399999999997,0.08313000000000001,-0.068359,0.0005914200000000003,0.915528,-1.3427740000000001,-0.005798349999999997,3.17383,-3.4790050000000003,0.03784180999999997,3.845215,-2.868653,0.04882810000000001,A,riding
15,0.011962999999999946,-0.013549999999999951,-0.00017576499999999605,0.059692999999999996,-0.06762699999999999,-0.0011206250000000003,0.08313000000000001,-0.068359,0.00044250000000000013,1.098634,-1.3427740000000001,0.023803714999999993,3.17383,-3.4790050000000003,0.04394529999999999,3.845215,-2.868653,-0.10009769499999997,A,riding
16,0.010009999999999963,-0.013549999999999951,-0.0005212449999999957,0.059692999999999996,-0.06762699999999999,-0.0029779050000000003,0.08313000000000001,-0.068359,-0.0005639599999999996,1.098634,-1.3427740000000001,-0.015258789999999993,3.17383,-3.4790050000000003,-0.192871095,3.845215,-2.868653,-0.057373109999999984,A,riding
17,0.011475000000000013,-0.013549999999999951,-0.00011656500000000181,0.063355,-0.063354,-0.00032653499999999987,0.06897,-0.068359,-0.00016173999999999987,1.098634,-1.3427740000000001,-0.00854491,3.17383,-1.8920910000000002,0.232849215,3.845215,-2.868653,0.31738289000000003,A,riding
18,0.011475000000000013,-0.013549999999999951,-0.0007922350000000022,0.063355,-0.059448,-0.00471314,0.06897,-0.033447,0.00178529,1.098634,-0.9765630000000001,-0.009155249999999997,0.7934569999999999,-1.8920910000000002,-0.08575442000000001,2.746582,-2.6855469999999997,-0.0064086649999999966,A,riding
19,0.011475000000000013,-0.01013200000000003,-2.6265000000001982e-05,0.063355,-0.05285699999999999,-0.0005877600000000005,0.034912,-0.033447,0.00149718,0.9155280000000001,-0.9765630000000001,-0.013122569999999998,0.6103509999999999,-0.732422,-0.06256102999999999,2.746582,-2.319337,0.04608157000000002,A,riding
20,0.011475000000000013,-0.01013200000000003,5.860499999999769e-05,0.063355,-0.05285699999999999,-0.00010314500000000087,0.034912,-0.039551,0.0018548699999999998,0.9155280000000001,-0.793457,-0.001525889999999999,0.7934570000000001,-0.732422,0.005798340000000004,2.746582,-2.319337,0.0018310699999999924,A,riding
21,0.011109000000000036,-0.008057000000000092,-0.0003027399999999991,0.05554200000000001,-0.045410000000000034,-0.002164915,0.034912,-0.039551,0.0015716449999999998,0.915528,-0.793457,0.020446755000000004,0.7934570000000001,-0.7934570000000001,-0.046081595,1.281739,-2.319337,-0.15594488,A,riding
22,0.024536000000000002,-0.026123000000000007,-0.0005462549999999994,0.12414499999999998,-0.133544,-0.0036547750000000003,0.038574,-0.039551,0.00223815,1.281738,-15.319828,-0.06622317000000001,0.7934570000000001,-0.7934570000000001,-0.007629404999999998,4.089357,-3.2958990000000004,0.024719249999999974,A,riding
23,0.03039600000000009,-0.027831999999999968,0.0006292849999999999,0.16137700000000002,-0.142944,0.003106674999999999,0.038574,-0.039551,0.000706175,15.136723,-15.319828,-0.010986304999999983,0.7934570000000001,-0.7934570000000001,0.08148194499999999,5.126954,-4.272461,0.025634810000000004,A,riding
24,0.03039600000000009,-0.027831999999999968,-0.0003277600000000014,0.16137700000000002,-0.142944,-0.00195313,0.038574,-0.030273,0.0018627949999999998,15.136723,-15.319828,-0.000610355000000009,0.7934569999999999,-0.7934570000000001,-0.0027465600000000047,5.126954,-4.272461,-0.00030513500000000526,A,riding
25,0.03039600000000009,-0.027831999999999968,0.00011964500000000044,0.16137700000000002,-0.142944,0.0013897699999999992,0.038574,-0.052735000000000004,-0.00104675,15.136723,-15.319828,0.006713875000000007,0.854492,-0.854492,0.10009770000000001,5.126954,-4.272461,0.09735111,A,riding
26,0.03039600000000009,-0.039550000000000085,5.554499999999796e-05,0.16137700000000002,-0.213867,0.0009020899999999991,0.05957,-0.052735000000000004,2.075500000000015e-05,15.136723,-1.8920899999999998,0.07232668,0.854492,-2.0141600000000004,-0.05493162,5.126954,-4.272461,-0.10131837999999999,A,riding
27,0.041259000000000046,-0.039550000000000085,-0.0002038699999999971,0.208984,-0.213867,-0.002101434999999999,0.061524,-0.06262200000000001,0.0014465500000000004,1.8310549999999997,-1.8920899999999998,-0.011596700000000001,1.464844,-2.0141600000000004,-0.018310555000000006,5.310059,-3.78418,-0.01892091,A,riding
28,0.041259000000000046,-0.039550000000000085,0.00042846500000000065,0.208984,-0.213867,0.0020129149999999997,0.061524,-0.06262200000000001,-0.0003832849999999998,1.953125,-1.8920899999999998,0.019226114999999995,1.464844,-2.0141600000000004,-0.15624998,5.310059,-3.0517570000000003,-0.06286626000000001,A,riding
29,0.041259000000000046,-0.039550000000000085,0.0001818599999999987,0.208984,-0.213867,-0.0002496349999999986,0.076293,-0.06579600000000001,0.002285165,1.953125,-1.8920899999999998,0.0030517699999999914,4.028321,-2.0141600000000004,0.235290535,5.310059,-3.0517570000000003,0.10925295000000002,A,riding
30,0.041259000000000046,-0.03125,0.0009484699999999995,0.208984,-0.168701,0.0010986250000000002,0.190552,-0.13647399999999998,0.007829589999999999,4.516602,-3.417969,0.05767821500000002,4.028321,-9.277346,-0.675354205,5.310059,-4.577638,-0.16662601499999996,A,riding
31,0.017822000000000005,-0.01965400000000006,3.784999999999816e-05,0.099731,-0.09484899999999999,-0.001104105,0.190552,-0.141602,0.003880604999999999,4.516602,-4.577637,-0.036621055000000007,7.629397,-9.277346,0.4638672350000001,3.112794,-4.577638,0.13092041000000004,A,riding
32,0.015136999999999956,-0.01330600000000004,-7.995499999999878e-05,0.084839,-0.09301799999999999,-8.481499999999975e-05,0.190552,-0.141602,-0.0028802800000000007,5.0048829999999995,-4.577637,-0.018005395000000028,7.629397,-9.277346,0.22064207499999994,3.112794,-4.577638,0.057983435000000014,A,riding
33,0.015136999999999956,-0.01330600000000004,-0.0003240799999999994,0.084839,-0.09301799999999999,-0.00225341,0.190552,-0.141602,0.0020263449999999993,5.0048829999999995,-4.577637,0.006103504999999992,7.629397,-9.277346,-0.10528565499999992,2.990723,-4.577638,-0.0033569399999999862,A,riding
34,0.015990999999999977,-0.01330600000000004,-0.00032042999999999823,0.09936499999999998,-0.08227500000000001,0.0016955650000000002,0.130616,-0.141602,-0.007864395,5.0048829999999995,-4.577637,-0.06927490500000001,7.629397,-5.004883,0.72082537,2.990723,-3.0517589999999997,0.271911685,A,riding
