Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 206775, -0.934570, -0.077393, -0.333130, 0.305176, 1.525879, -2.502441,riding
A, 593242, -0.986694, 0.168335, -0.002808, -0.610352, 0.549316, 1.220703,riding
B, 206795, -0.932495, -0.079346, -0.337402, -0.122070, 1.586915, -2.685547,riding
A, 593262, -0.983887, 0.177490, -0.006104, -0.793457, 0.610352, 1.281738,riding
B, 206815, -0.931641, -0.075317, -0.342285, -0.427246, 1.708985, -2.746582,riding
A, 593282, -0.984375, 0.180420, -0.012817, -0.061035, 0.366211, 1.403809,riding
B, 206835, -0.929077, -0.081177, -0.346802, 0.122070, 1.892090, -2.380371,riding
A, 593302, -0.983887, 0.183350, -0.011230, -0.915528, 0.488281, 1.586915,riding
B, 206855, -0.927124, -0.085083, -0.349609, -0.854492, 1.831055, -2.746582,riding
A, 593322, -0.981323, 0.202271, -0.010864, -1.586915, 0.488281, 1.586915,riding
B, 206875, -0.925415, -0.081055, -0.354248, -0.976563, 1.770020, -2.624512,riding
A, 593342, -0.979004, 0.212524, -0.013916, -0.671387, 0.305176, 1.403809,riding
B, 206895, -0.924805, -0.080688, -0.356445, -0.183106, 1.770020, -2.258301,riding
A, 593362, -0.978638, 0.215820, -0.020752, -0.549316, 0.183106, 1.220703,riding
B, 206915, -0.923096, -0.086792, -0.362183, -0.427246, 1.586915, -2.258301,riding
A, 593382, -0.976440, 0.223633, -0.032959, -0.793457, 0.061035, 1.037598,riding
B, 206935, -0.921143, -0.091187, -0.365845, -0.366211, 1.525879, -2.075195,riding
A, 593402, -0.978027, 0.220215, -0.037720, -0.244141, -0.305176, 0.915528,riding
B, 206955, -0.921509, -0.094482, -0.366821, -0.122070, 1.403809, -1.770020,riding
A, 593422, -0.978027, 0.221191, -0.039307, -0.854492, -0.427246, 0.915528,riding
B, 206975, -0.919434, -0.093384, -0.367432, -0.610352, 1.159668, -1.647950,riding
A, 593442, -0.977295, 0.226929, -0.037842, -0.793457, -0.732422, 0.671387,riding
B, 206995, -0.919189, -0.093872, -0.367554, -0.549316, 0.976563, -1.403809,riding
A, 593462, -0.975220, 0.233521, -0.037720, -0.671387, -0.976563, 0.427246,riding
B, 207015, -0.919678, -0.095093, -0.369019, -0.488281, 0.854492, -1.159668,riding
A, 593482, -0.975342, 0.234253, -0.034912, -0.671387, -1.098633, 0.305176,riding
B, 207035, -0.919067, -0.093872, -0.371094, -0.549316, 0.549316, -0.976563,riding
A, 593502, -0.974243, 0.237061, -0.040649, -0.732422, -1.281738, -0.061035,riding
