device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.006470, -0.008667, -0.001317, 0.025635, -0.042236, -0.000488, 0.028442, -0.017578, 0.005833, 2.075195, -0.915527, 0.169678, 0.488281, -1.403809, -0.147705, 0.915528, -0.671387, 0.047607,jerking
B, 0.040771, -0.038696, -0.002558, 0.046265, -0.033203, 0.005487, 0.055664, -0.052368, 0.010875, 8.728027, -7.690432, 0.053711, 8.850098, -13.183594, 0.024007, 6.103516, -4.699707, -0.039876,jerking
A, 0.072021, -0.008667, 0.000312, 0.025391, -0.069458, -0.000721, 0.028442, -0.200562, 0.000203, 3.784181, -1.037598, 0.087077, 0.915527, -2.441407, 0.074056, 1.220703, -0.671387, 0.063477,jerking
B, 0.117554, -0.091064, -0.005093, 0.175659, -0.207153, 0.007487, 0.149170, -0.136719, 0.018142, 18.737793, -35.705566, -1.556396, 6.469728, -22.705078, -1.578369, 11.535645, -15.930180, 0.215250,jerking
A, 1.287231, -1.106567, 0.013680, 3.105713, -2.216797, 0.022709, 3.821655, -3.007935, 0.082325, 331.665039, -445.556763, 2.547606, 78.369141, -115.112335, -2.033285, 178.772034, -171.813965, 0.879314,jerking
B, 0.117554, -0.116089, -0.003133, 0.222778, -0.207153, 0.006513, 0.149170, -0.152344, 0.012997, 40.222168, -35.705566, 1.814372, 19.897461, -22.705078, 1.948649, 13.244633, -15.930180, -0.213623,jerking
A, 1.287231, -1.270996, -0.001627, 3.105713, -3.161011, 0.003718, 3.821655, -3.783081, 0.026437, 449.707153, -445.556763, -1.146239, 123.901398, -115.112335, 2.548828, 178.772034, -183.410706, -1.181234,jerking
B, 0.117554, -0.116089, -0.000236, 0.222778, -0.207153, 0.000796, 0.149170, -0.152344, 0.000189, 40.222168, -35.705566, -0.336914, 19.897461, -22.705078, 0.235596, 13.244633, -15.930180, -0.344238,jerking
A, 1.287231, -1.270996, -0.000381, 3.105713, -3.161011, 0.004133, 3.821655, -3.783081, 0.001494, 449.707153, -445.556763, -0.924072, 123.901398, -115.112335, 0.370688, 178.772034, -183.410706, -0.323486,jerking
