device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
B, 0.024780, -0.030762, 0.000329, 0.040894, -0.052246, -0.000640, 0.050415, -0.036987, -0.001117, 4.333496, -8.850098, -0.812175, 4.211426, -5.493164, -0.544840, 3.234864, -3.601075, -0.123291,jerking
A, 0.011597, -0.025391, -0.003084, 0.077881, -0.058838, 0.000321, 0.052979, -0.078857, 0.006597, 10.437012, -11.474609, 1.388347, 0.976563, -11.474609, -1.554361, 5.004883, -2.685547, 0.298665,jerking
A, 0.010986, -0.010132, -0.001278, 0.026855, -0.035645, -0.000194, 0.036255, -0.024414, 0.005176, 10.192871, -10.131836, 0.805665, 1.281739, -1.342773, 0.044759, 2.563477, -2.685547, 0.190837,jerking
B, 0.024780, -0.041992, -0.003928, 0.040894, -0.057739, -0.002197, 0.086548, -0.036987, 0.018954, 10.375977, -8.850098, -0.209554, 4.455566, -5.493164, -0.346680, 3.723145, -3.845215, -0.050863,jerking
A, 0.010986, -0.009888, 0.000344, 0.025879, -0.035645, -0.001881, 0.036255, -0.028198, -0.000168, 8.544922, -3.112793, 0.386556, 1.281739, -1.037598, 0.262451, 2.563477, -0.854492, 0.116374,jerking
B, 0.173096, -0.197266, -0.008933, 0.360840, -0.343384, 0.000520, 0.299927, -0.037964, 0.039827, 13.366703, -70.007324, -1.995850, 8.422852, -20.935066, -1.197103, 13.000492, -37.292480, -0.296631,jerking
A, 1.763184, -1.639893, 0.014407, 2.959473, -2.139893, 0.001988, 4.169189, -3.767212, 0.143474, 195.678772, -370.544556, 1.066081, 48.950211, -124.572784, -4.939779, 73.425293, -131.469727, 1.594646,jerking
B, 0.187988, -0.197266, -0.001280, 0.362671, -0.343384, 0.008372, 0.299927, -0.306152, 0.013375, 68.969727, -70.007324, 3.127034, 25.756844, -20.935066, 2.257080, 36.560059, -37.292480, 0.778809,jerking
