device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
B, 0.051636, -0.036621, 0.000689, 0.096680, -0.129639, -0.000435, 0.031982, -0.037964, 0.002198, 35.766602, -18.432617, 0.539958, 10.742191, -9.887695, -0.118001, 14.343266, -7.263186, 0.519206,jerking
A, 0.014526, -0.022583, -0.000793, 0.126465, -0.069458, 0.001819, 0.098633, -0.053467, 0.003336, 16.418457, -5.432129, 0.323893, 2.136230, -2.929688, -0.030518, 3.295899, -1.770020, 0.201823,jerking
B, 0.028931, -0.029541, -0.001389, 0.050659, -0.051147, 0.001410, 0.031982, -0.029419, 0.005110, 7.629396, -10.437012, 0.926921, 3.417969, -4.150391, 0.339762, 3.845216, -6.164553, 0.093587,jerking
A, 0.010498, -0.008057, -0.000361, 0.051270, -0.060059, -0.001150, 0.035645, -0.042358, 0.001986, 16.418457, -16.235352, 0.013428, 0.793457, -1.037598, 0.002848, 1.647949, -1.586914, -0.019531,jerking
A, 0.378052, -0.127441, 0.012218, 2.262695, -3.986938, -0.037240, 1.243774, -0.616821, 0.043630, 425.232056, -181.945862, 5.884195, 32.165527, -18.920898, 1.035970, 22.766121, -48.522964, -2.326660,jerking
B, 0.106689, -0.077515, 0.001628, 0.161499, -0.162842, -0.002996, 0.092041, -0.081055, -0.000620, 25.573738, -18.981934, 0.497233, 5.798340, -8.666992, 0.368652, 7.568361, -5.371094, -0.098877,jerking
A, 0.378052, -0.357544, 0.006029, 3.748169, -3.986938, -0.044906, 1.243774, -1.206787, 0.001051, 425.232056, -420.044067, -0.710856, 32.165527, -32.043457, 0.005697, 56.457535, -48.522964, 2.681885,jerking
B, 0.106689, -0.093262, 0.001302, 0.188110, -0.162842, 0.002884, 0.092041, -0.081055, -0.004578, 25.573738, -18.981934, 0.398356, 8.239746, -8.666992, -0.343018, 7.568361, -5.371094, 0.347087,jerking
