device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
B, 0.033325, -0.034912, -0.000286, 0.048462, -0.053589, -0.001150, 0.038574, -0.045532, 0.002629, 5.065920, -9.216309, 0.401205, 5.065918, -7.263184, -0.633545, 1.586914, -1.403809, 0.255534,jerking
A, 0.037720, -0.028809, 0.001736, 0.104370, -0.074463, 0.006488, 0.124023, -0.188477, -0.022176, 11.169437, -9.643555, 0.143636, 6.408693, -9.582520, -0.269368, 2.380371, -2.929688, 0.024821,jerking
B, 0.015991, -0.020142, -0.003462, 0.022705, -0.031372, 0.003625, 0.044189, -0.038086, 0.014612, 4.943848, -5.615234, 0.026449, 4.516602, -3.173829, -0.295410, 1.586914, -1.586914, 0.128174,jerking
A, 0.731812, -0.288086, 0.022358, 2.676147, -2.290039, 0.029250, 2.616333, -2.461426, -0.040367, 186.157288, -194.580139, 1.559245, 6.408693, -78.979492, -3.232015, 46.081558, -68.542480, -1.092123,jerking
B, 0.235962, -0.166138, -0.002071, 0.072876, -0.089844, 0.003542, 0.166382, -0.246216, 0.011706, 12.634281, -17.761230, 0.001221, 23.864754, -9.765625, 0.775146, 9.399414, -14.587406, -0.074056,jerking
A, 0.731812, -0.736206, -0.006389, 2.676147, -2.772583, -0.026312, 2.616333, -2.517700, 0.064587, 190.307678, -194.580139, -2.200113, 85.815430, -78.979492, 1.621500, 74.890137, -68.542480, 0.404866,jerking
B, 0.235962, -0.227417, 0.001698, 0.086304, -0.089844, -0.001706, 0.201172, -0.246216, -0.007897, 16.052246, -17.761230, 0.067953, 23.864754, -22.827156, 0.911051, 12.939457, -14.587406, -0.207926,jerking
A, 0.731812, -0.736206, -0.000983, 2.676147, -2.772583, 0.012417, 2.616333, -2.517700, 0.005680, 190.307678, -194.580139, -0.512288, 85.815430, -78.979492, 0.391845, 74.890137, -68.542480, 0.491943,jerking
B, 0.235962, -0.227417, 0.004809, 0.086304, -0.089844, -0.004256, 0.201172, -0.246216, -0.020260, 16.052246, -17.761230, -0.416260, 23.864754, -22.827156, 0.070801, 12.939457, -14.587406, -0.142008,jerking
