device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.010742, -0.010864, -0.001285, 0.021851, -0.020020, -0.000701, 0.036743, -0.030151, 0.004901, 5.859377, -2.502441, 0.073649, 0.671386, -1.647949, 0.100911, 1.586915, -0.915527, 0.031738,jerking
B, 0.017212, -0.018433, -0.000749, 0.026123, -0.032227, 0.000658, 0.026245, -0.024780, 0.002874, 3.784180, -5.432129, 0.191650, 2.563477, -2.685548, -0.052083, 2.746582, -1.831055, 0.144857,jerking
A, 0.005371, -0.006470, -0.000325, 0.021851, -0.016968, 0.000628, 0.020752, -0.020142, 0.001232, 2.136230, -1.770020, 0.075684, 0.671386, -0.549316, 0.048828, 1.159668, -0.732422, 0.040690,jerking
B, 0.017212, -0.018433, -0.000347, 0.026123, -0.032227, 0.000858, 0.026245, -0.027466, 0.001486, 3.784180, -5.432129, 0.107829, 2.746583, -2.685548, -0.000000, 2.746582, -1.525879, 0.031331,jerking
A, 0.871948, -0.015625, 0.016893, 0.207031, -0.413818, 0.002196, 0.048828, -2.713257, -0.056511, 56.091324, -1.953125, 0.880534, 1.403809, -46.081558, -0.540365, 12.390141, -1.953125, 0.213216,jerking
B, 0.017212, -0.018433, -0.000002, 0.021606, -0.018066, 0.000279, 0.026245, -0.027466, 0.000090, 3.784180, -2.197266, 0.188395, 2.746583, -2.685548, 0.142822, 2.746582, -15.441898, -0.070801,jerking
A, 1.005493, -0.892822, 0.002033, 0.421509, -0.447510, -0.031596, 3.052734, -2.713257, 0.172127, 61.645523, -86.547852, -1.807454, 46.813980, -95.886261, -5.393473, 12.390141, -37.597656, -0.974528,jerking
B, 0.017090, -0.017334, 0.000753, 0.013672, -0.013794, -0.000764, 0.008057, -0.027466, -0.002511, 2.807617, -2.136230, -0.208333, 2.746583, -1.464844, 0.024007, 15.075687, -15.441898, -0.143229,jerking
A, 1.005493, -1.037109, -0.012559, 0.427246, -0.447510, -0.008532, 3.070190, -2.713257, 0.130911, 86.059570, -86.547852, 0.139974, 97.290070, -95.886261, 1.761881, 39.306641, -37.597656, 0.275472,jerking
