device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
B, 0.063232, -0.107056, -0.000058, 0.109619, -0.040527, 0.006724, 0.167603, -0.200439, -0.002633, 20.080574, -13.305664, 0.155436, 20.507813, -20.080566, -0.336100, 26.123055, -23.498543, -0.035400,jerking
A, 0.153442, -0.139282, -0.002139, 0.119507, -0.226929, -0.011704, 0.307129, -0.897339, -0.123885, 15.014652, -17.700195, -0.480957, 15.502930, -40.039063, -7.220867, 9.399414, -12.756348, 0.018311,jerking
B, 0.039673, -0.051636, -0.001082, 0.054077, -0.040527, 0.001813, 0.064087, -0.054077, 0.005320, 15.808105, -8.789063, -0.086263, 7.568359, -7.507326, -0.718994, 6.103518, -4.333496, 0.165609,jerking
A, 0.009888, -0.109741, -0.006541, 0.087769, -0.031982, 0.004696, 0.298218, -0.029419, 0.021009, 15.014652, -11.596680, 0.001628, 1.159668, -17.700195, -0.905355, 9.399414, -1.770020, 0.196126,jerking
B, 0.037720, -0.051636, -0.003991, 0.054077, -0.035156, 0.003141, 0.064087, -0.051636, 0.013286, 15.808105, -8.789063, 0.675049, 7.568359, -7.507326, 0.185954, 6.103518, -4.333496, 0.155029,jerking
A, 1.309937, -1.744385, 0.033641, 0.916748, -1.256104, -0.025187, 3.491699, -3.222778, 0.131741, 214.050354, -286.376953, -0.926107, 29.663094, -122.497589, -7.729084, 70.800781, -113.342316, 0.555827,jerking
B, 0.125610, -0.080200, -0.000848, 0.100952, -0.085693, -0.003676, 0.097656, -0.116089, 0.005292, 15.747070, -10.253906, -0.543213, 39.794922, -17.639160, 0.293782, 14.160160, -25.512703, -0.383708,jerking
A, 1.724121, -1.744385, 0.011300, 1.360352, -1.256104, 0.009159, 3.491699, -3.408447, 0.045854, 287.597656, -286.376953, -0.063885, 136.779785, -122.497589, 6.781004, 113.037140, -113.342316, -0.106201,jerking
B, 0.125610, -0.103149, 0.000990, 0.100952, -0.114380, -0.003841, 0.097656, -0.138062, -0.004285, 14.343262, -10.253906, 0.401612, 39.794922, -37.414551, 0.734456, 25.512703, -25.512703, -0.113932,jerking
