device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
B, 0.025513, -0.030396, 0.000885, 0.020874, -0.030640, -0.001855, 0.025879, -0.024292, -0.002371, 6.164551, -4.638672, -0.221354, 3.906251, -5.676271, 0.218506, 2.014160, -2.136230, 0.019531,jerking
A, 0.397705, -0.009644, 0.016075, 0.269897, -0.036499, 0.011175, 0.041382, -1.316528, -0.048722, 2.136230, -36.010742, -0.994466, 1.220704, -49.316422, -1.585287, 0.854492, -16.540527, -0.523682,jerking
B, 0.299683, -0.621582, -0.001385, 0.375366, -0.456787, 0.004613, 0.339233, -0.270996, 0.002755, 87.890656, -50.415054, 0.360921, 53.710953, -19.592285, 1.036377, 21.850586, -16.174316, 0.258382,jerking
A, 0.397705, -0.684326, -0.006122, 0.283691, -0.627197, -0.011528, 2.760620, -1.316528, 0.058035, 67.932129, -48.156754, 0.931396, 48.950211, -49.316422, 1.786703, 16.967773, -16.540527, 0.540365,jerking
B, 0.631836, -0.621582, 0.006120, 0.474731, -0.456787, -0.003926, 0.339233, -0.396851, -0.018533, 87.890656, -90.148956, -0.834147, 53.710953, -53.771988, -0.616048, 21.850586, -21.423340, -0.205892,jerking
A, 0.690186, -0.684326, -0.000028, 0.636475, -0.627197, 0.003141, 2.760620, -2.779785, -0.000416, 67.932129, -70.861816, -0.088705, 48.950211, -49.316422, -0.212809, 16.967773, -16.723633, -0.104574,jerking
B, 0.631836, -0.621582, 0.001607, 0.474731, -0.456787, -0.000146, 0.339233, -0.396851, -0.006711, 87.890656, -90.148956, 0.252685, 53.710953, -53.771988, -0.278321, 21.850586, -21.423340, 0.120036,jerking
A, 0.690186, -0.684326, -0.017041, 0.636475, -0.627197, -0.010013, 2.760620, -2.779785, 0.054142, 67.932129, -70.861816, 1.026205, 48.950211, -45.166031, 1.451009, 16.967773, -16.723633, 0.471192,jerking
B, 0.631836, -0.291260, 0.002718, 0.474731, -0.368896, -0.004417, 0.233643, -0.396851, -0.008708, 49.194351, -90.148956, -0.048015, 19.287109, -53.771988, -0.945638, 15.747070, -21.423340, -0.246989,jerking
