device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
B, 0.017090, -0.011597, 0.001560, 0.010132, -0.015747, -0.001571, 0.012085, -0.037354, -0.006525, 2.502441, -2.075195, 0.301921, 1.892090, -2.685547, -0.414632, 1.342773, -1.220703, 0.218099,jerking
A, 0.029297, -0.011719, 0.001906, 0.066895, -0.135864, -0.019433, 0.036865, -0.207520, -0.030443, 2.136230, -12.146000, -2.183431, 2.197265, -7.202150, -1.666667, 6.042480, -0.244141, 1.722005,jerking
B, 0.009155, -0.011963, -0.000317, 0.010132, -0.008057, 0.001025, 0.019287, -0.016968, 0.001667, 1.770020, -2.075195, 0.141602, 1.831055, -1.892090, -0.210775, 1.098633, -1.220703, 0.056559,jerking
A, 0.825684, -0.511353, 0.031097, 1.169556, -1.578125, 0.000162, 3.282349, -2.641846, 0.043367, 190.795959, -148.620605, 0.969239, 0.427246, -106.506378, -6.957195, 40.405273, -32.897949, 0.805257,jerking
B, 0.009033, -0.015015, -0.001432, 0.013428, -0.008057, 0.001816, 0.019287, -0.010254, 0.005127, 1.770020, -2.441406, 0.063883, 2.075195, -1.892090, -0.022380, 1.098633, -1.037598, 0.079753,jerking
A, 0.825684, -0.828125, 0.004390, 1.612305, -1.578125, -0.001650, 3.282349, -3.271484, 0.093309, 190.795959, -194.824280, -3.865967, 121.521027, -106.506378, 4.576416, 40.405273, -41.625977, 0.958659,jerking
B, 0.034668, -0.015869, -0.000334, 0.040405, -0.050903, 0.001820, 0.019287, -0.039185, 0.000785, 5.126953, -7.690432, -0.154622, 3.295899, -4.760742, 0.117594, 1.159668, -1.525879, -0.095215,jerking
A, 0.825684, -0.828125, 0.001361, 1.612305, -1.578125, 0.000746, 3.282349, -3.271484, 0.004458, 190.795959, -194.824280, -0.546062, 121.521027, -106.506378, 1.254476, 40.405273, -41.625977, 0.169271,jerking
B, 0.034668, -0.034912, 0.000995, 0.048462, -0.053589, -0.001256, 0.018188, -0.045532, -0.003755, 5.126953, -9.216309, -0.157064, 5.065918, -7.263184, 0.371094, 1.525879, -1.525879, -0.146891,jerking
