device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.017212, -0.012573, 0.000779, 0.084229, -0.074097, 0.000673, 0.047119, -0.106812, -0.010496, 8.850098, -6.164553, 0.925293, 0.976563, -7.446291, -1.539307, 3.784181, -0.976563, 0.342611,jerking
B, 0.022461, -0.015869, -0.000578, 0.023071, -0.029297, 0.001839, 0.024658, -0.011963, 0.002603, 4.150391, -4.882813, 0.103760, 3.051758, -4.028320, 0.029297, 1.525879, -1.525879, -0.009766,jerking
A, 0.017212, -0.011353, 0.000024, 0.044067, -0.074097, -0.006048, 0.047119, -0.060669, 0.001892, 4.516602, -6.164553, 0.500081, 0.976563, -1.403809, -0.159912, 1.708984, -0.976563, 0.204671,jerking
B, 0.028687, -0.027832, -0.000483, 0.022339, -0.020020, -0.000001, 0.020142, -0.011963, 0.001946, 4.150391, -3.173829, -0.064697, 2.868652, -2.319336, -0.172119, 2.319336, -1.403809, -0.019938,jerking
A, 0.990112, -1.058716, 0.005348, 1.759155, -0.974121, -0.004670, 3.656616, -3.296387, 0.061239, 269.348145, -267.333984, 2.399495, 39.733887, -86.364746, -1.152751, 123.168976, -125.244171, 1.325684,jerking
B, 0.043579, -0.120728, -0.003445, 0.138184, -0.162476, -0.000304, 0.110229, -0.049561, 0.013904, 21.057137, -24.902351, 0.591227, 11.474613, -15.625000, -0.474853, 11.901859, -18.310547, 0.251465,jerking
A, 1.060669, -1.058716, 0.000277, 1.759155, -1.759644, 0.004133, 3.656616, -3.650513, 0.003445, 269.409180, -267.333984, 0.452473, 89.660645, -86.364746, 1.262613, 123.168976, -125.244171, -0.361735,jerking
B, 0.110840, -0.120728, -0.002944, 0.156006, -0.162476, 0.004518, 0.110229, -0.053345, 0.012368, 23.132332, -24.902351, -0.256755, 17.639160, -15.625000, 0.073242, 17.883301, -18.310547, -0.123291,jerking
A, 1.060669, -1.058716, -0.000043, 1.759155, -1.759644, 0.004423, 3.656616, -3.650513, -0.001034, 269.409180, -267.333984, -0.435791, 89.660645, -86.364746, 0.434163, 123.168976, -125.244171, -0.134685,jerking
