device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.013306, -0.012329, 0.000601, 0.065918, -0.104736, -0.000804, 0.046265, -0.052246, -0.002491, 4.028320, -4.089355, -0.131429, 1.220703, -1.220703, 0.079346, 2.868652, -1.586915, 0.169678,jerking
B, 0.041382, -0.026001, 0.006991, 0.038940, -0.061157, -0.007956, 0.017212, -0.066528, -0.023283, 9.216309, -13.122562, -1.018880, 6.774904, -7.934572, -0.334066, 4.394531, -5.065918, -0.513509,jerking
A, 0.013306, -0.012329, 0.000298, 0.048584, -0.045288, 0.000103, 0.046265, -0.052246, -0.001436, 2.319336, -1.831055, 0.091960, 1.220703, -1.220703, -0.078939, 0.915528, -15.625004, -0.172933,jerking
B, 0.031372, -0.038818, 0.005693, 0.056030, -0.076538, -0.009787, 0.029175, -0.066528, -0.019523, 10.375977, -9.521484, 0.222168, 4.089355, -4.943848, -0.712077, 4.577637, -3.723145, 0.271810,jerking
A, 0.912109, -0.649048, 0.032483, 3.023804, -2.186523, 0.064802, 3.280518, -2.752197, 0.137031, 280.029297, -246.093811, -5.709637, 46.569839, -99.182159, -1.018066, 41.992188, -28.503426, 3.256022,jerking
B, 0.025391, -0.038818, 0.001517, 0.056030, -0.076538, -0.003574, 0.029175, -0.033813, -0.004596, 10.375977, -9.521484, -0.560303, 4.089355, -4.943848, -0.488688, 4.577637, -3.723145, -0.037842,jerking
A, 0.912109, -0.913696, -0.000201, 3.023804, -2.885864, 0.051035, 3.280518, -3.168823, 0.013579, 280.029297, -277.465820, 1.534423, 100.952179, -99.182159, 1.659749, 41.992188, -46.691895, -1.211345,jerking
B, 0.053955, -0.071167, 0.001097, 0.056030, -0.088379, -0.005815, 0.123291, -0.054199, 0.001098, 13.671875, -11.169434, 0.063476, 7.385256, -9.338379, -0.280355, 4.699707, -8.972168, -0.005290,jerking
A, 0.912109, -0.913696, 0.007275, 3.023804, -2.885864, -0.000535, 3.280518, -3.168823, -0.028002, 280.029297, -277.465820, 0.753580, 100.952179, -99.182159, 1.098632, 41.992188, -46.691895, -0.729574,jerking
