device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.179321, -0.159668, -0.014754, 0.181763, -0.181152, -0.000134, 0.433960, -0.979248, 0.004269, 16.357422, -20.690918, 0.517171, 6.408691, -45.593262, -5.084227, 6.164551, -10.314941, -0.904948,jerking
B, 0.043823, -0.082764, -0.003663, 0.221313, -0.073853, 0.007459, 0.118164, -0.072998, 0.008499, 37.475586, -88.867188, 1.078288, 20.446777, -28.137215, 0.030111, 14.282230, -27.526863, 0.432943,jerking
A, 0.200195, -0.028320, 0.003959, 0.143066, -0.089478, 0.010749, 0.120728, -0.756592, -0.016752, 9.094238, -15.930176, 0.531006, 6.408691, -11.596684, 0.375977, 5.676270, -3.356935, 0.052897,jerking
B, 0.250732, -0.405396, -0.007355, 0.336426, -0.242065, 0.008715, 0.294800, -0.220093, 0.018879, 15.441895, -50.170914, -5.072836, 18.127441, -25.512703, -2.174072, 7.934570, -10.803223, 0.088704,jerking
A, 0.549805, -1.046753, 0.030194, 0.443970, -1.062378, -0.005361, 4.121582, -1.371582, 0.061085, 89.477570, -77.575684, 0.478516, 52.246109, -78.979492, 0.995281, 18.066406, -24.536140, 0.370280,jerking
B, 0.415771, -0.681641, 0.001819, 0.336426, -0.335449, 0.002058, 0.294800, -0.338745, 0.005434, 75.134277, -50.170914, 3.774008, 33.325195, -25.512703, 2.259114, 9.338379, -11.047363, -0.286051,jerking
A, 1.041748, -1.046753, 0.000880, 1.043091, -1.062378, 0.006575, 4.121582, -4.098999, -0.005378, 89.477570, -86.120636, -0.552979, 78.369141, -78.979492, -0.277913, 23.437508, -24.536140, -0.367024,jerking
B, 0.677734, -0.681641, 0.000527, 0.336426, -0.335449, -0.001588, 0.294800, -0.338745, -0.001242, 75.134277, -77.331543, -0.169677, 33.325195, -32.775879, -0.279949, 9.765625, -11.047363, 0.134684,jerking
