device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.010742, -0.014526, -0.001997, 0.036255, -0.035645, 0.002782, 0.045410, -0.030029, 0.006616, 1.892090, -12.634281, -1.206055, 1.159668, -1.281739, -0.118408, 1.464844, -3.784181, -0.133464,jerking
B, 0.022705, -0.033447, -0.000212, 0.044067, -0.034424, 0.000711, 0.052124, -0.024902, 0.001795, 6.591799, -5.859375, 0.194499, 5.493164, -5.737305, 0.086670, 5.187988, -5.310059, 0.008138,jerking
A, 0.012329, -0.014526, -0.001598, 0.038574, -0.036011, 0.003418, 0.038452, -0.031372, 0.005075, 14.282230, -12.634281, 0.076497, 1.220703, -1.098632, 0.089111, 3.540040, -3.784181, 0.045166,jerking
B, 0.021729, -0.033447, -0.000855, 0.044067, -0.034424, 0.002878, 0.031982, -0.017822, 0.001784, 6.591799, -5.371096, 0.081787, 3.906251, -3.234864, -0.003662, 4.089355, -5.310059, 0.087077,jerking
A, 0.012329, -0.014526, -0.000872, 0.038696, -0.036011, 0.002480, 0.038452, -0.031372, 0.002586, 14.282230, -12.634281, 0.206706, 1.220703, -0.732422, 0.184326, 3.540040, -3.784181, -0.061442,jerking
B, 0.021729, -0.013916, -0.000581, 0.033203, -0.029541, 0.001742, 0.020630, -0.017822, 0.002890, 3.784181, -5.371096, -0.214437, 2.136230, -3.234864, -0.118408, 1.098633, -5.310059, -0.214844,jerking
A, 1.384521, -0.597046, 0.030741, 1.128052, -1.975708, -0.020173, 3.248291, -3.664429, 0.088041, 197.570862, -346.557617, 0.522462, 1.586914, -114.746124, -7.238365, 106.079132, -140.258789, 1.132813,jerking
B, 0.110840, -0.069092, -0.000805, 0.040161, -0.088379, -0.003286, 0.201538, -0.158203, 0.002249, 10.009766, -24.536140, 0.172933, 21.789551, -19.409180, 0.248210, 23.681648, -28.198250, 0.161540,jerking
A, 1.384521, -1.436523, 0.001985, 2.058472, -1.975708, 0.015819, 4.306030, -3.664429, 0.122946, 354.492188, -346.557617, 0.698649, 145.202637, -114.746124, 7.182207, 135.070801, -140.258789, -0.024007,jerking
