device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
B, 0.064941, -0.093262, -0.002132, 0.188110, -0.145996, 0.003398, 0.061890, -0.065918, 0.002463, 16.723633, -18.249512, -0.107829, 8.239746, -7.690432, -0.100505, 7.385254, -4.577637, 0.083822,jerking
A, 0.004639, -0.038818, -0.006487, 0.465332, -0.104858, 0.042956, 0.059448, -0.050537, 0.002250, 7.080076, -9.460449, 0.503743, 1.281739, -1.770020, 0.023600, 5.981445, -12.939457, -2.617595,jerking
B, 0.017700, -0.027222, -0.001463, 0.023560, -0.032227, -0.002816, 0.038330, -0.026245, 0.006446, 8.056641, -9.704590, -0.389811, 3.540039, -3.662110, 0.243327, 3.295899, -4.577637, -0.300293,jerking
A, 0.004761, -0.013916, -0.001558, 0.063965, -0.104858, -0.002817, 0.055908, -0.016357, 0.006182, 4.455566, -3.173828, 0.054525, 1.220703, -1.281738, 0.134684, 1.220703, -5.432131, -0.402832,jerking
B, 0.017700, -0.027222, 0.000297, 0.023560, -0.024780, -0.001539, 0.037354, -0.026978, -0.001248, 8.056641, -4.821777, 0.824381, 3.540039, -3.051759, 0.210775, 3.295899, -1.953125, 0.326335,jerking
A, 0.245361, -0.082886, 0.009812, 2.053345, -3.398071, -0.025089, 1.020752, -0.217773, 0.033334, 192.382874, -115.478546, 3.649902, 12.512211, -6.774904, 0.259603, 6.835939, -51.086441, -2.888185,jerking
B, 0.129272, -0.065918, 0.000014, 0.095337, -0.096802, 0.000500, 0.038940, -0.039551, -0.000942, 26.428230, -7.324221, 1.259359, 11.413578, -5.249025, 0.311686, 5.432129, -4.760742, 0.409343,jerking
A, 0.245361, -0.231934, 0.004998, 3.189331, -3.398071, -0.054779, 1.020752, -1.008667, 0.008490, 192.382874, -191.772522, -1.173503, 12.512211, -11.474613, 0.453695, 55.847183, -51.086441, 2.170411,jerking
B, 0.129272, -0.119263, 0.000544, 0.105469, -0.096802, 0.001897, 0.041626, -0.055054, -0.002662, 26.428230, -29.724129, -0.788574, 11.413578, -13.305668, -0.396729, 5.432129, -5.249023, -0.127360,jerking
