device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.055786, -0.053833, 0.000809, 0.195801, -0.137695, -0.004657, 0.211548, -0.236694, -0.002373, 19.226074, -26.428230, 0.051676, 2.136231, -3.540040, -0.315348, 8.239746, -7.080080, 0.002848,jerking
B, 0.150757, -0.098022, 0.002346, 0.243896, -0.309692, 0.001007, 0.217651, -0.193237, -0.004748, 19.470215, -34.912109, -1.561686, 26.611336, -19.531258, 0.592855, 6.469727, -14.282230, -0.654703,jerking
A, 0.976440, -0.983398, 0.021524, 0.565552, -1.206787, -0.013783, 3.591431, -2.719360, 0.039177, 88.806152, -150.329590, -1.016438, 47.180191, -93.750031, 0.156249, 40.222168, -35.522461, 0.541585,jerking
B, 0.075195, -0.060425, 0.000924, 0.111816, -0.062500, 0.000153, 0.026855, -0.067871, -0.004235, 6.958006, -16.967773, 0.392253, 5.432131, -6.042480, -0.256755, 5.249023, -10.131836, 0.288493,jerking
A, 0.993408, -0.983398, 0.003445, 1.214600, -1.206787, -0.009163, 3.591431, -3.587646, -0.009882, 152.770996, -150.329590, 0.026042, 94.665558, -93.750031, 0.231933, 40.222168, -40.954590, -0.023600,jerking
B, 0.023560, -0.032471, -0.000304, 0.017090, -0.019043, 0.000850, 0.024292, -0.012817, 0.001925, 4.089355, -2.746582, 0.011800, 3.112794, -1.953125, -0.041504, 1.708985, -0.915527, 0.089111,jerking
A, 0.993408, -0.983398, 0.003153, 1.214600, -1.206787, -0.004577, 3.591431, -3.587646, -0.009928, 152.770996, -150.329590, -0.003256, 94.665558, -93.750031, -0.056966, 40.222168, -40.954590, 0.057373,jerking
B, 0.014893, -0.015869, -0.000981, 0.017090, -0.013794, 0.001856, 0.017822, -0.009521, 0.002439, 2.197266, -2.746582, -0.080973, 1.464844, -1.953125, -0.008952, 0.976563, -0.915527, -0.013428,jerking
A, 0.993408, -0.969116, -0.018631, 1.214600, -0.607666, 0.006825, 2.715820, -3.587646, -0.047847, 152.770996, -86.059570, 0.815837, 94.665558, -46.936050, -0.229085, 35.278320, -40.954590, -0.398763,jerking
