device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
B, 0.030151, -0.027100, -0.000743, 0.018799, -0.020142, 0.000456, 0.024780, -0.017700, 0.003940, 4.638672, -3.540040, 0.089925, 4.211426, -6.347658, -0.466716, 2.319336, -1.525879, 0.246582,jerking
A, 0.014160, -0.010620, 0.000644, 0.028076, -0.039307, -0.002102, 0.034180, -0.041870, -0.002258, 1.098633, -1.464844, 0.000407, 0.915527, -0.976563, -0.149740, 15.563969, -15.563969, 0.011800,jerking
B, 0.016846, -0.027100, -0.002187, 0.018799, -0.013428, 0.002332, 0.030273, -0.009766, 0.010240, 2.014160, -3.540040, -0.469971, 5.249025, -6.347658, -0.124512, 2.319336, -1.770020, -0.125732,jerking
A, 0.014160, -0.010620, 0.000431, 0.028076, -0.039307, -0.001214, 0.034180, -0.041870, -0.001446, 1.098633, -1.464844, -0.077718, 0.915527, -0.854492, 0.029704, 15.563969, -15.563969, 0.006510,jerking
B, 0.016846, -0.027100, -0.001615, 0.018799, -0.013428, 0.002352, 0.030273, -0.011108, 0.007233, 2.014160, -2.075195, 0.101318, 5.249025, -6.347658, 0.148926, 2.319336, -1.770020, 0.009359,jerking
A, 0.294800, -0.006836, 0.003699, 0.028076, -0.161743, -0.003290, 0.015259, -0.962402, -0.011954, 17.517090, -1.464844, 0.104980, 0.671386, -10.009766, -0.203857, 9.826660, -15.563969, -0.002441,jerking
B, 0.144897, -0.165283, 0.001595, 0.108521, -0.159424, -0.003068, 0.130737, -0.211060, -0.005159, 13.854984, -34.362793, -1.197103, 11.962894, -9.277344, 1.301270, 2.136230, -11.352543, -0.844320,jerking
A, 0.957275, -1.440796, -0.006689, 2.279297, -1.665771, 0.011915, 3.260864, -2.921997, 0.068467, 125.183136, -219.482483, 1.089274, 29.479988, -92.468292, -0.698242, 92.285187, -96.984894, 0.177409,jerking
B, 0.210205, -0.165283, 0.005831, 0.126831, -0.166504, -0.009967, 0.131592, -0.211060, -0.023367, 38.391113, -34.362793, 0.111084, 14.099125, -13.000492, 0.285645, 12.756351, -11.352543, 0.029297,jerking
A, 1.451538, -1.440796, -0.000138, 2.279297, -2.296631, 0.000493, 3.260864, -3.288696, 0.004531, 215.210022, -219.482483, -0.544434, 98.876984, -92.468292, 0.961100, 96.679718, -96.984894, -0.339356,jerking
