device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.027832, -0.036621, -0.000496, 0.075195, -0.103760, -0.006952, 0.105103, -0.093872, 0.004593, 5.310059, -7.019045, 0.161540, 3.479005, -2.868652, -0.006917, 2.929688, -2.807617, 0.024007,jerking
B, 0.020752, -0.026855, 0.001182, 0.038574, -0.048462, -0.001418, 0.030151, -0.031128, -0.003276, 8.483887, -8.056641, 0.126953, 5.920410, -5.004883, 0.284831, 3.417970, -4.821777, -0.424805,jerking
A, 0.027832, -0.028809, -0.001702, 0.075195, -0.103760, -0.003470, 0.079712, -0.090576, 0.008777, 4.333496, -7.019045, 0.041911, 1.831055, -2.868652, 0.041097, 2.929688, -2.807617, -0.105794,jerking
B, 0.020752, -0.017944, 0.003000, 0.027466, -0.048462, -0.007079, 0.006104, -0.031128, -0.008725, 8.483887, -8.056641, -0.201823, 5.920410, -5.004883, -0.177816, 3.417970, -3.601074, 0.061035,jerking
A, 1.070190, -0.349854, 0.028722, 0.776367, -1.659790, -0.014329, 2.566162, -2.995117, 0.061084, 119.201691, -228.332581, -3.159993, 1.831055, -101.928741, -7.190348, 60.119644, -57.189957, 0.649007,jerking
B, 0.034424, -0.043701, -0.001671, 0.161011, -0.103394, 0.000614, 0.159790, -0.163574, 0.004067, 20.629883, -17.578125, 0.715332, 15.075687, -16.540527, -0.391439, 9.094238, -8.239746, 0.655111,jerking
A, 1.070190, -0.964233, 0.007435, 1.627075, -1.659790, 0.001707, 2.990723, -2.995117, 0.093491, 252.197327, -228.332581, 2.129720, 134.094238, -101.928741, 7.805174, 60.119644, -63.110367, -0.535889,jerking
B, 0.053589, -0.044067, 0.000354, 0.161011, -0.153809, 0.002171, 0.174561, -0.163574, -0.000295, 20.629883, -19.531250, -0.373535, 17.517090, -16.540527, 0.299886, 9.094238, -9.826660, -0.285645,jerking
A, 1.070190, -0.964233, 0.006107, 1.627075, -1.659790, -0.013228, 2.990723, -2.995117, -0.019828, 252.197327, -228.332581, -0.164795, 134.094238, -101.928741, 0.753580, 60.119644, -63.110367, 0.143229,jerking
