device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.021729, -0.013306, 0.000181, 0.037109, -0.062866, -0.006663, 0.055298, -0.065186, -0.000559, 7.934572, -2.441405, 0.181885, 1.342774, -1.953125, -0.388184, 2.685547, -3.479004, 0.092367,jerking
B, 0.025391, -0.021729, -0.000970, 0.025757, -0.035278, 0.001993, 0.031250, -0.044189, 0.003052, 5.676270, -2.929688, 0.686442, 2.990723, -4.516602, -0.463867, 2.746582, -1.342773, 0.349528,jerking
A, 0.469727, -0.021240, 0.015390, 0.334595, -0.038208, 0.006539, 0.086426, -1.436035, -0.046225, 11.535648, -36.926270, -0.770264, 1.403809, -49.011246, -1.606853, 1.403809, -11.291504, -0.350342,jerking
B, 0.271973, -0.422974, -0.007420, 0.434570, -0.844849, 0.007903, 0.381592, -0.395752, 0.023396, 93.017609, -74.523926, 0.695394, 60.058609, -25.268562, 0.915527, 21.606445, -18.615723, 0.209961,jerking
A, 0.469727, -0.809570, -0.008102, 0.334595, -0.614258, -0.003094, 3.162476, -1.436035, 0.059626, 39.855957, -36.926270, 0.484212, 48.278824, -49.011246, 1.903890, 12.756351, -11.291504, 0.668132,jerking
B, 0.428833, -0.422974, 0.002068, 0.844360, -0.844849, -0.000878, 0.381592, -0.396118, -0.004404, 93.017609, -93.444855, -1.263428, 60.058609, -57.922379, -0.159505, 21.606445, -22.338867, -0.389811,jerking
A, 0.810791, -0.809570, 0.000326, 0.614746, -0.614258, 0.006453, 3.162476, -3.170166, -0.003222, 39.855957, -41.259766, -0.592448, 48.278824, -49.011246, -0.123291, 12.756351, -13.000492, -0.138753,jerking
B, 0.428833, -0.422974, -0.000478, 0.844360, -0.844849, 0.003212, 0.381592, -0.396118, -0.000279, 93.017609, -93.444855, -0.105794, 60.058609, -57.922379, -0.358887, 21.606445, -22.338867, 0.094808,jerking
A, 0.810791, -0.809570, -0.016110, 0.614746, -0.614258, -0.002660, 3.162476, -3.170166, 0.049146, 39.855957, -41.259766, 0.560303, 48.278824, -42.541504, 1.346436, 12.756351, -13.000492, 0.264486,jerking
