device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.041748, -0.017578, 0.001174, 0.097900, -0.123169, -0.002662, 0.053345, -0.215698, -0.024775, 14.831547, -15.014652, 1.213785, 0.427246, -8.605961, -2.550862, 5.981445, -0.549316, 1.176351,jerking
B, 0.018311, -0.014893, -0.000775, 0.015015, -0.019897, 0.001864, 0.013062, -0.013306, 0.003294, 4.577637, -2.014160, 0.276693, 2.502441, -1.708985, -0.107422, 1.403809, -0.671387, 0.236817,jerking
A, 0.005493, -0.017578, -0.001614, 0.025146, -0.052002, -0.002771, 0.053345, -0.018066, 0.005670, 13.183598, -2.807617, 0.908610, 0.427246, -4.455566, -0.379232, 3.295898, -0.549316, 0.294189,jerking
B, 0.009766, -0.010010, -0.001239, 0.015015, -0.006958, 0.003186, 0.013062, -0.004883, 0.004264, 1.220703, -1.220703, -0.010173, 1.647949, -1.708985, 0.008138, 0.793457, -0.671387, 0.003662,jerking
A, 0.004761, -0.006836, -0.000437, 0.025146, -0.026855, -0.001219, 0.024292, -0.018066, 0.002403, 3.051759, -1.037598, 0.335287, 0.366211, -0.610352, -0.026042, 0.732422, -0.549316, 0.028076,jerking
B, 0.038330, -0.020508, -0.000149, 0.018066, -0.022827, 0.002094, 0.013062, -0.071289, -0.000258, 4.211426, -2.624512, 0.115967, 4.760742, -0.915527, 0.495199, 1.098633, -1.281739, -0.114746,jerking
A, 1.603394, -0.956909, 0.018814, 2.435059, -1.125488, 0.007821, 3.691650, -3.516968, 0.092466, 253.356995, -333.374023, -0.014241, 65.124512, -125.122101, -5.757242, 120.361359, -150.146484, 0.688477,jerking
B, 0.157227, -0.231567, -0.000589, 0.140381, -0.180542, 0.000168, 0.229492, -0.122925, 0.004442, 19.104004, -52.063004, 0.112305, 10.864258, -28.930672, 0.164388, 4.089355, -8.850098, -0.139567,jerking
A, 1.603394, -1.598145, 0.000682, 2.435059, -2.418457, 0.019939, 3.691650, -3.599243, 0.066233, 333.312988, -333.374023, -0.625000, 140.930176, -125.122101, 4.702555, 147.094727, -150.146484, -1.037598,jerking
