device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.067993, -0.120117, -0.002641, 0.287598, -0.321167, 0.000989, 0.413086, -0.152344, 0.009420, 20.629883, -22.888184, 0.553792, 7.141113, -4.272461, 0.227864, 8.850098, -13.000492, -0.034994,jerking
B, 0.037231, -0.027344, 0.000373, 0.063599, -0.067627, -0.001358, 0.043457, -0.066650, -0.002056, 9.582520, -12.268066, -0.128988, 4.394531, -3.967285, 0.112305, 4.394531, -4.943848, -0.124105,jerking
A, 0.067993, -0.072632, 0.002115, 0.287598, -0.304321, 0.000462, 0.183105, -0.152344, -0.009013, 16.479492, -17.700195, 0.186768, 7.141113, -4.272461, 0.627442, 5.004883, -9.094238, -0.142008,jerking
B, 0.037231, -0.026367, 0.000789, 0.063599, -0.059814, -0.000743, 0.043457, -0.066650, -0.002681, 9.582520, -12.268066, 0.283203, 4.272461, -4.821777, 0.041504, 4.394531, -4.943848, 0.203044,jerking
A, 0.033936, -0.037231, -0.000219, 0.149414, -0.263916, -0.010868, 0.119385, -0.118530, 0.001774, 16.479492, -7.324219, 1.010742, 1.403809, -4.272461, -0.380859, 3.723145, -5.798340, 0.005696,jerking
B, 0.025635, -0.055542, 0.000031, 0.171143, -0.061890, 0.000408, 0.219727, -0.046143, 0.004079, 6.103516, -31.921394, -1.188558, 2.929688, -21.850586, -1.018880, 4.577637, -9.765625, -0.267741,jerking
A, 1.211548, -0.853516, 0.014932, 3.148804, -2.125488, 0.008251, 3.957031, -2.224976, 0.109070, 219.848694, -367.004517, 4.809978, 60.241714, -117.309601, -4.949137, 113.098175, -171.813965, 1.571453,jerking
B, 0.067505, -0.244629, -0.004536, 0.171143, -0.135498, 0.010893, 0.219727, -0.214722, 0.017782, 29.785164, -31.921394, 0.631103, 24.597168, -34.484863, 0.845134, 19.531250, -9.887695, 0.167236,jerking
A, 1.211548, -1.252441, -0.004896, 3.148804, -3.117676, 0.009421, 3.957031, -3.687622, 0.066819, 368.591431, -367.004517, -0.129802, 125.183136, -117.309601, 3.521322, 168.334961, -171.813965, -0.964355,jerking
