device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.047729, -0.021484, 0.001517, 0.125244, -0.118164, -0.000168, 0.071899, -0.147339, -0.007620, 13.732914, -13.671879, 0.330810, 4.028320, -2.014160, 0.448405, 3.845216, -2.868653, 0.047200,jerking
B, 0.018311, -0.014404, -0.000260, 0.025879, -0.016846, 0.001646, 0.022339, -0.015503, 0.000688, 4.150391, -5.859375, -0.100505, 2.563477, -1.953125, 0.318197, 1.647950, -3.234864, -0.254720,jerking
A, 0.022949, -0.015991, 0.000674, 0.061768, -0.096069, -0.000304, 0.071899, -0.077026, -0.004828, 9.277344, -11.291504, -0.303141, 1.708984, -1.464844, -0.058594, 2.807617, -2.075195, 0.102539,jerking
B, 0.018311, -0.014160, 0.000510, 0.019287, -0.033569, 0.000666, 0.017212, -0.017944, -0.002155, 4.150391, -3.356935, 0.039062, 1.953125, -1.953125, -0.078532, 1.647950, -1.098633, 0.047607,jerking
A, 1.298706, -0.013794, 0.020883, 0.175781, -1.634766, -0.015675, 0.037354, -3.555054, -0.060978, 168.640137, -11.291504, 1.823730, 8.361816, -94.909698, -1.245524, 39.245605, -2.075195, 0.526937,jerking
B, 0.193970, -0.138428, -0.000378, 0.159546, -0.166626, -0.000113, 0.258179, -0.184570, 0.000549, 5.432129, -29.418953, -2.751058, 23.071297, -22.705086, -0.786947, 3.356935, -24.841316, -0.785726,jerking
A, 1.298706, -1.314941, -0.025050, 2.171143, -1.634766, 0.016794, 3.736816, -3.555054, 0.125699, 168.640137, -239.807190, -2.649334, 98.022491, -94.909698, -1.317139, 51.452652, -43.579102, -0.538330,jerking
B, 0.193970, -0.199219, -0.001047, 0.173462, -0.166626, 0.002406, 0.258179, -0.252686, 0.004964, 28.381355, -29.418953, 1.230469, 23.071297, -23.132332, 0.564372, 23.925789, -24.841316, 0.428467,jerking
A, 1.298706, -1.314941, 0.001725, 2.171143, -2.195679, -0.003325, 3.736816, -3.555054, 0.012711, 242.126526, -239.807190, -0.432943, 98.022491, -94.909698, 3.045248, 51.452652, -52.978531, -0.292155,jerking
