device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
B, 0.029297, -0.033081, -0.003040, 0.051514, -0.024658, 0.008805, 0.051025, -0.015259, 0.010097, 9.765629, -6.958008, 0.617676, 7.629396, -2.807617, 0.796712, 6.103516, -4.577637, -0.076498,jerking
A, 0.028687, -0.029907, 0.001282, 0.068726, -0.070801, -0.001528, 0.089722, -0.100952, -0.004607, 7.568359, -7.385256, 0.705973, 1.403809, -3.112793, -0.219320, 3.234863, -3.295898, -0.058594,jerking
B, 0.029297, -0.019043, 0.000347, 0.040771, -0.024658, 0.000185, 0.019531, -0.015259, -0.000863, 4.516602, -6.958008, -0.125732, 5.187988, -2.807617, 0.196940, 1.281738, -3.906251, -0.310059,jerking
A, 0.012939, -0.029907, -0.000981, 0.068726, -0.054810, -0.002550, 0.089722, -0.052734, 0.003691, 7.568359, -9.826660, 0.189209, 1.403809, -3.112793, -0.315348, 3.234863, -3.295898, -0.167236,jerking
B, 0.016479, -0.018066, 0.000342, 0.020264, -0.024658, -0.001186, 0.019531, -0.015015, -0.000968, 4.516602, -2.441406, 0.489095, 2.563477, -1.464844, 0.113525, 1.281738, -0.976563, 0.141195,jerking
A, 1.137939, -0.463623, 0.020381, 0.395264, -0.435425, -0.015434, 2.864624, -3.429810, 0.059264, 82.458496, -123.107941, 0.260010, 1.403809, -103.759796, -6.199545, 12.390141, -51.818863, -0.556234,jerking
B, 0.330200, -0.220703, 0.002338, 0.065430, -0.241821, -0.006371, 0.191895, -0.215942, -0.007762, 17.578125, -10.437012, -0.281169, 20.935059, -15.136723, 0.078939, 17.150879, -20.690918, -0.229085,jerking
A, 1.137939, -1.041626, 0.005649, 0.395264, -0.552734, -0.012240, 3.942871, -3.429810, 0.080333, 124.877960, -123.107941, -0.543620, 153.625488, -103.759796, 6.136477, 57.128922, -51.818863, 0.541585,jerking
B, 0.330200, -0.317383, 0.000605, 0.234009, -0.241821, -0.001605, 0.220703, -0.215942, -0.001113, 17.578125, -14.709469, 0.129801, 20.935059, -20.141602, -0.258789, 22.583008, -20.690918, 0.299479,jerking
