device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.019409, -0.025513, 0.000463, 0.156250, -0.072754, 0.000149, 0.097168, -0.081055, -0.002554, 5.615236, -3.356933, 0.324707, 1.525879, -2.014160, -0.135905, 1.892090, -2.380371, -0.099691,jerking
B, 0.030762, -0.033691, 0.002791, 0.046021, -0.063232, -0.004671, 0.065308, -0.040771, -0.009768, 15.625004, -9.521484, -0.036214, 6.347658, -6.164551, -0.232341, 5.798340, -4.272461, -0.081380,jerking
A, 0.008301, -0.013306, -0.000656, 0.062378, -0.072754, -0.004215, 0.051392, -0.029297, 0.003402, 4.882813, -3.295898, -0.030518, 0.732422, -1.525879, -0.072428, 1.892090, -1.464844, 0.155843,jerking
B, 0.027100, -0.022095, 0.001704, 0.030762, -0.033936, -0.000849, 0.016846, -0.040771, -0.005958, 8.728027, -6.835939, 0.034994, 3.601075, -4.455566, -0.360107, 4.028320, -2.746582, 0.264893,jerking
A, 1.035889, -0.891357, 0.022142, 4.028320, -3.588989, -0.038210, 3.613159, -0.760132, 0.109614, 411.132935, -506.286743, 3.327638, 50.537125, -36.437988, -1.126709, 80.200195, -148.193359, -2.896729,jerking
B, 0.021973, -0.017944, -0.000682, 0.013916, -0.033936, -0.000638, 0.026489, -0.033569, 0.002483, 8.728027, -6.835939, -0.219320, 3.601075, -3.662110, -0.214437, 3.112794, -2.380371, -0.080973,jerking
A, 1.035889, -1.070435, -0.003416, 4.028320, -4.264526, -0.071595, 3.613159, -3.390869, 0.079332, 516.174316, -506.286743, -4.097902, 50.537125, -50.598160, 1.097005, 151.306152, -148.193359, 1.172282,jerking
B, 0.016602, -0.017944, -0.001392, 0.015259, -0.014282, 0.001187, 0.026489, -0.011230, 0.004214, 8.728027, -4.333496, 0.727539, 3.601075, -2.685547, 0.019938, 3.112794, -1.953125, 0.309245,jerking
A, 1.035889, -1.070435, 0.004696, 4.028320, -4.264526, 0.016517, 3.613159, -3.390869, -0.008416, 516.174316, -506.286743, -1.854250, 50.537125, -50.598160, 1.772868, 151.306152, -148.193359, 0.635173,jerking
