device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.008423, -0.007446, 0.000314, 0.038208, -0.032227, 0.001335, 0.037598, -0.043945, -0.001497, 2.075195, -1.525879, 0.036621, 1.342773, -1.525879, 0.037028, 1.159668, -0.915528, 0.014242,jerking
B, 0.016602, -0.019531, 0.000067, 0.028564, -0.029297, 0.000614, 0.018433, -0.019897, -0.000263, 4.821777, -4.272461, 0.202230, 2.624512, -2.929688, -0.119629, 3.723145, -1.586915, 0.181071,jerking
A, 0.008423, -0.007446, -0.000374, 0.032227, -0.032227, 0.000414, 0.037598, -0.043945, 0.002206, 1.159668, -1.525879, 0.000407, 1.342773, -1.525879, -0.044759, 1.098633, -0.915528, -0.080973,jerking
B, 0.016602, -0.013794, -0.000602, 0.028564, -0.023682, 0.001006, 0.017578, -0.017822, 0.001386, 2.746582, -4.272461, -0.003255, 2.624512, -1.586914, 0.014242, 1.037598, -1.586915, -0.055339,jerking
A, 0.194580, -0.072876, 0.004465, 1.285034, -2.448120, -0.007979, 0.655762, -0.682495, 0.023494, 178.894104, -178.649963, -5.203857, 1.831055, -12.390141, -0.531006, 53.100601, -1.892090, 2.135417,jerking
B, 0.144897, -0.127441, 0.002059, 0.164917, -0.170410, 0.002974, 0.117920, -0.075684, -0.002531, 13.366703, -43.395996, -1.454671, 18.249512, -10.925297, 0.065511, 16.113281, -13.671879, -0.238444,jerking
A, 0.194580, -0.186890, 0.002061, 2.435547, -2.448120, 0.038039, 0.655762, -0.682495, 0.012764, 185.180725, -178.649963, 4.925537, 13.977055, -12.390141, 1.343994, 53.100601, -57.556168, -2.156982,jerking
B, 0.144897, -0.140991, -0.001388, 0.164917, -0.170410, 0.001513, 0.117920, -0.117676, 0.000554, 43.884277, -43.395996, 1.445720, 18.249512, -17.028809, 0.181885, 16.113281, -15.625000, 0.282389,jerking
A, 0.194580, -0.186890, 0.000950, 2.435547, -2.448120, -0.010076, 0.655762, -0.682495, -0.004858, 185.180725, -178.649963, 0.205483, 13.977055, -12.390141, -0.036621, 53.100601, -57.556168, -0.161947,jerking
