device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
B, 0.022705, -0.022217, -0.000251, 0.028076, -0.032227, 0.001575, 0.030640, -0.025757, 0.000678, 3.967286, -6.164551, -0.485026, 2.319336, -3.601075, -0.306803, 1.831055, -2.807617, -0.004476,jerking
A, 0.553467, -0.552124, 0.001640, 0.203491, -0.133545, 0.011881, 0.123657, -0.203369, -0.006056, 10.559086, -10.925297, 0.299886, 5.615234, -5.920410, 0.090739, 7.263186, -7.141115, 0.335287,jerking
B, 0.022705, -0.022217, -0.000572, 0.028076, -0.022827, 0.001475, 0.030640, -0.025757, 0.001563, 3.234864, -6.164551, -0.406087, 2.319336, -3.601075, -0.085042, 1.831055, -2.807617, -0.234375,jerking
B, 0.029297, -0.146973, -0.003066, 0.170044, -0.040771, 0.001018, 0.157593, -0.022827, 0.007290, 2.929688, -21.911621, -0.864665, 4.638672, -9.399414, -0.362142, 1.586914, -9.338379, -0.179850,jerking
B, 0.149902, -0.146973, -0.000634, 0.182007, -0.177124, 0.003179, 0.157593, -0.151245, 0.003468, 25.085457, -21.911621, 0.936279, 19.348145, -13.244633, 0.623779, 18.920898, -9.399414, 0.130208,jerking
